Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	*ItemProbSum	*ItemProbTotal	*TreasureClassDropChance	firstLadderSeason	lastLadderSeason	noAlwaysSpawn	*eol
Act 1 (N) Junk			1						Act 5 Junk	60	Potion 2	1000	Misc 0	640	Ammo	640	Whetstones 1	100	cha	100	Lesser Orbs	800	kom	350	High Orbs	250									0
Act 2 (N) Junk			1						Act 5 Junk	48	Potion 3	1000	Misc 0	640	Ammo	640	Whetstones 1	100	cha	100	Lesser Orbs	800	kom	350	High Orbs	250									0
Act 3 (N) Junk			1						Act 5 Junk	48	Potion 4	1000	Misc 0	640	Ammo	640	Whetstones 1	100	cha	100	Lesser Orbs	800	kom	350	High Orbs	250									0
Act 4 (N) Junk			1						Act 5 Junk	48	Potion 4	1000	Misc 0	640	Ammo	640	Whetstones 1	100	cha	100	Lesser Orbs	800	kom	350	High Orbs	250									0
Act 5 (N) Junk			1						Act 5 Junk	48	Potion 4	1000	Misc 0	640	Ammo	640	Whetstones 1	100	cha	100	Lesser Orbs	800	kom	350	High Orbs	250									0
Act 1 (H) Junk			1						Act 5 Junk	240	Potion 6	1000	Misc 2	640	Ammo	640	kom	350	High Orbs	250	kob	11	cha	55	ulx	10									0
Act 2 (H) Junk			1						Act 5 Junk	240	Potion 6	1000	Misc 2	640	Ammo	640	kom	350	High Orbs	250	kob	17	cha	60	ulx	10									0
Act 3 (H) Junk			1						Act 5 Junk	240	Potion 6	1000	Misc 2	640	Ammo	640	kom	350	High Orbs	250	kob	20	cha	65	ulx	10									0
Act 4 (H) Junk			1						Act 5 Junk	240	Potion 6	1000	Misc 2	640	Ammo	640	kom	350	High Orbs	250	kob	22	cha	70	ulx	10									0
Act 5 (H) Junk			1						Act 5 Junk	240	Potion 6	1000	Misc 2	640	Ammo	640	kom	350	High Orbs	250	kob	30	cha	75	ulx	10									0
Act 1 Equip A	1	0	1	175	1	80			weap3	10	armo3	10																							0
Act 1 Equip B	1	5	1	175	1	80			weap3	10	armo3	10	weap6	10	armo6	10																			0
Act 1 Equip C	1	9	1	175	1	80			weap3	10	armo3	10	weap6	10	armo6	10	weap9	10	armo9	10	weap12	10	armo12	10											0
Act 2 Equip A	1	12	1	175	1	80			weap6	10	armo6	10	weap9	10	armo9	10	weap12	10	armo12	10	weap15	10	armo15	10	Act 1 Equip C	50			36	66	0.4545				0
Act 2 Equip B	1	15	1	175	1	80			weap9	10	armo9	10	weap12	10	armo12	10	weap15	10	armo15	10	weap18	10	armo18	10	Act 2 Equip A	50			36	96	0.625				0
Act 2 Equip C	1	18	1	175	1	80			weap12	10	armo12	10	weap15	10	armo15	10	weap18	10	armo18	10	weap21	10	armo21	10	Act 2 Equip B	50			36	116	0.6897				0
Act 3 Equip A	1	20	1	175	1	80			weap15	10	armo15	10	weap18	10	armo18	10	weap21	10	armo21	10	weap24	10	armo24	10	Act 2 Equip C	50			36	136	0.7353				0
Act 3 Equip B	1	22	1	175	1	80			weap18	10	armo18	10	weap21	10	armo21	10	weap24	10	armo24	10	weap27	10	armo27	10	Act 3 Equip A	50			36	236	0.8475				0
Act 3 Equip C	1	24	1	175	1	80			weap21	10	armo21	10	weap24	10	armo24	10	weap27	10	armo27	10	weap30	10	armo30	10	Act 3 Equip B	50			36	376	0.9043				0
Act 4 Equip A	1	26	1	175	1	80			weap24	10	armo24	10	weap27	10	armo27	10	weap30	10	armo30	10	weap33	10	armo33	10	Act 3 Equip C	50			33	463	0.9287				0
Act 4 Equip B	1	29	1	175	1	80			weap27	10	armo27	10	weap30	10	armo30	10	weap33	10	armo33	10	weap36	10	armo36	10	Act 4 Equip A	50			32	532	0.9398				0
Act 5 Equip A	1	32	1	175	1	80			weap27	10	armo27	10	weap30	10	armo30	10	weap33	10	armo33	10	weap36	10	armo36	10	Act 4 Equip B	50			41	670	0.9388				0
Act 5 Equip B	1	34	1	175	1	80			weap30	10	armo30	10	weap33	10	armo33	10	weap36	10	armo36	10	weap39	10	armo39	10	Act 5 Equip A	50			35	766	0.9543				0
Act 5 Equip C	1	36	1	175	1	80			weap30	10	armo30	10	weap33	10	armo33	10	weap36	10	armo36	10	weap39	10	armo39	10	Act 5 Equip B	50			35	868	0.9597				0
Act 1 (N) Equip A	1	38	1	375	1	80			weap33	10	armo33	10	weap36	10	armo36	10	weap39	10	armo39	10	weap42	10	armo42	10	Act 5 Equip C	50			36	971	0.9629				0
Act 1 (N) Equip B	1	40	1	375	1	80			weap33	10	armo33	10	weap36	10	armo36	10	weap39	10	armo39	10	weap42	10	armo42	10	Act 1 (N) Equip A	50			42	1147	0.9634				0
Act 1 (N) Equip C	1	42	1	375	1	80			weap36	10	armo36	10	weap39	10	armo39	10	weap42	10	armo42	10	weap45	10	armo45	10	Act 1 (N) Equip A	50			36	1056	0.9659				0
Act 2 (N) Equip A	1	44	1	375	1	80			weap36	10	armo36	10	weap39	10	armo39	10	weap42	10	armo42	10	weap45	10	armo45	10	Act 1 (N) Equip B	50			42	1275	0.9671				0
Act 2 (N) Equip B	1	46	1	375	1	80			weap39	10	armo39	10	weap42	10	armo42	10	weap45	10	armo45	10	weap48	10	armo48	10	Act 2 (N) Equip A	50			36	1141	0.9684				0
Act 2 (N) Equip C	1	48	1	375	1	80			weap39	10	armo39	10	weap42	10	armo42	10	weap45	10	armo45	10	weap48	10	armo48	10	Act 2 (N) Equip A	50			42	1360	0.9691				0
Act 3 (N) Equip A	1	50	1	375	1	80			weap42	10	armo42	10	weap45	10	armo45	10	weap48	10	armo48	10	weap51	10	armo51	10	Act 2 (N) Equip B	50			36	1226	0.9706				0
Act 3 (N) Equip B	1	52	1	375	1	80			weap42	10	armo42	10	weap45	10	armo45	10	weap48	10	armo48	10	weap51	10	armo51	10	Act 3 (N) Equip A	50			42	1487	0.9718				0
Act 3 (N) Equip C	1	54	1	375	1	80			weap45	10	armo45	10	weap48	10	armo48	10	weap51	10	armo51	10	weap54	10	armo54	10	Act 3 (N) Equip A	50			36	1311	0.9725				0
Act 4 (N) Equip A	1	56	1	375	1	80			weap45	10	armo45	10	weap48	10	armo48	10	weap51	10	armo51	10	weap54	10	armo54	10	Act 3 (N) Equip B	50			42	1572	0.9733				0
Act 4 (N) Equip B	1	58	1	375	1	80			weap48	10	armo48	10	weap51	10	armo51	10	weap54	10	armo54	10	weap57	10	armo57	10	Act 4 (N) Equip A	50			36	1396	0.9742				0
Act 4 (N) Equip C	1	60	1	375	1	80			weap48	10	armo48	10	weap51	10	armo51	10	weap54	10	armo54	10	weap57	10	armo57	10	Act 4 (N) Equip A	50			42	1700	0.9753				0
Act 5 (N) Equip A	1	62	1	375	1	80			weap51	10	armo51	10	weap54	10	armo54	10	weap57	10	armo57	10	weap60	10	armo60	10	Act 4 (N) Equip B	50			36	1481	0.9757				0
Act 5 (N) Equip B	1	64	1	375	1	80			weap51	10	armo51	10	weap54	10	armo54	10	weap57	10	armo57	10	weap60	10	armo60	10	Act 5 (N) Equip A	50			42	1785	0.9765				0
Act 5 (N) Equip C	1	66	1	375	1	80			weap54	10	armo54	10	weap57	10	armo57	10	weap60	10	armo60	10	weap63	10	armo63	10	Act 5 (N) Equip B	50			36	1566	0.977				0
Act 1 (H) Equip A	1	99	1	375	1	80			weap54	10	armo54	10	weap57	10	armo57	10	weap60	10	armo60	10	weap63	10	armo63	10	Act 5 (N) Equip C	50			42	1827	0.977				0
Act 1 (H) Equip B	1	99	1	375	1	80			weap57	10	armo57	10	weap60	10	armo60	10	weap63	10	armo63	10	weap66	10	armo66	10	Act 1 (H) Equip A	50			36	1566	0.977				0
Act 1 (H) Equip C	1	99	1	375	1	80			weap57	10	armo57	10	weap60	10	armo60	10	weap63	10	armo63	10	weap66	10	armo66	10	Act 1 (H) Equip A	50			42	1827	0.977				0
Act 2 (H) Equip A	1	99	1	375	1	80			weap60	10	armo60	10	weap63	10	armo63	10	weap66	10	armo66	10	weap69	10	armo69	10	Act 1 (H) Equip B	50			36	1566	0.977				0
Act 2 (H) Equip B	1	99	1	375	1	80			weap60	10	armo60	10	weap63	10	armo63	10	weap66	10	armo66	10	weap69	10	armo69	10	Act 2 (H) Equip A	50			42	1827	0.977				0
Act 2 (H) Equip C	1	99	1	375	1	80			weap63	10	armo63	10	weap66	10	armo66	10	weap69	10	armo69	10	weap72	10	armo72	10	Act 2 (H) Equip A	50			36	1566	0.977				0
Act 3 (H) Equip A	1	99	1	375	1	80			weap63	10	armo63	10	weap66	10	armo66	10	weap69	10	armo69	10	weap72	10	armo72	10	Act 2 (H) Equip B	50			42	1827	0.977				0
Act 3 (H) Equip B	1	99	1	375	1	80			weap66	10	armo66	10	weap69	10	armo69	10	weap72	10	armo72	10	weap75	10	armo75	10	Act 3 (H) Equip A	50			36	1566	0.977				0
Act 3 (H) Equip C	1	99	1	375	1	80			weap66	10	armo66	10	weap69	10	armo69	10	weap72	10	armo72	10	weap75	10	armo75	10	Act 3 (H) Equip A	50			42	1827	0.977				0
Act 4 (H) Equip A	1	99	1	375	1	80			weap69	10	armo69	10	weap72	10	armo72	10	weap75	10	armo75	10	weap78	10	armo78	10	Act 3 (H) Equip B	50			36	1566	0.977				0
Act 4 (H) Equip B	1	99	1	375	1	80			weap69	10	armo69	10	weap72	10	armo72	10	weap75	10	armo75	10	weap78	10	armo78	10	Act 4 (H) Equip A	50			42	1827	0.977				0
Act 4 (H) Equip C	1	99	1	375	1	80			weap72	10	armo72	10	weap75	10	armo75	10	weap78	10	armo78	10	weap81	10	armo81	10	Act 4 (H) Equip A	50			36	1566	0.977				0
Act 5 (H) Equip A	1	99	1	375	1	80			weap75	10	armo75	10	weap78	10	armo78	10	weap81	10	armo81	10	weap84	10	armo84	10	Act 4 (H) Equip B	50			36	1566	0.977				0
Act 5 (H) Equip B	1	99	1	375	1	80			weap78	10	armo78	10	weap81	10	armo81	10	weap84	10	armo84	10	weap87	10	armo87	10	Act 5 (H) Equip A	50			36	1566	0.977				0
Act 5 (H) Equip C	1	99	1	375	1	80			weap81	10	armo81	10	weap84	10	armo84	10	weap87	10	armo87	10	weap87	10	armo87	10	Act 5 (H) Equip B	50			35	1565	0.9776				0
Act 1 Melee A	2	0	1	375	1	80			mele3	9	armo3	9																							0
Act 1 Melee B	2	5	1	375	1	80			mele3	9	armo3	9	mele6	9	armo6	9																			0
Act 1 Melee C	2	9	1	375	1	80			mele3	9	armo3	9	mele6	9	armo6	9	mele9	9	armo9	9	mele12	9	armo12	9											0
Act 2 Melee A	2	12	1	375	1	80			mele6	9	armo6	9	mele9	9	armo9	9	mele12	9	armo12	9	mele15	9	armo15	9	Act 1 Melee C	54			36	66	0.4545				0
Act 2 Melee B	2	15	1	375	1	80			mele9	9	armo9	9	mele12	9	armo12	9	mele15	9	armo15	9	mele18	9	armo18	9	Act 2 Melee A	54			36	96	0.625				0
Act 2 Melee C	2	18	1	375	1	80			mele12	9	armo12	9	mele15	9	armo15	9	mele18	9	armo18	9	mele21	9	armo21	9	Act 2 Melee B	54			36	126	0.7143				0
Act 3 Melee A	2	20	1	375	1	80			mele15	9	armo15	9	mele18	9	armo18	9	mele21	9	armo21	9	mele24	9	armo24	9	Act 2 Melee C	54			36	156	0.7692				0
Act 3 Melee B	2	22	1	375	1	80			mele18	9	armo18	9	mele21	9	armo21	9	mele24	9	armo24	9	mele27	9	armo27	9	Act 3 Melee A	54			36	186	0.8065				0
Act 3 Melee C	2	24	1	375	1	80			mele21	9	armo21	9	mele24	9	armo24	9	mele27	9	armo27	9	mele30	9	armo30	9	Act 3 Melee B	54			36	216	0.8333				0
Act 4 Melee A	2	26	1	375	1	80			mele24	9	armo24	9	mele27	9	armo27	9	mele30	9	armo30	9	mele33	9	armo33	9	Act 3 Melee C	54			33	243	0.8642				0
Act 4 Melee B	2	29	1	375	1	80			mele27	9	armo27	9	mele30	9	armo30	9	mele33	9	armo33	9	mele36	9	armo36	9	Act 4 Melee A	54			32	292	0.8904				0
Act 5 Melee A	2	32	1	375	1	80			mele27	9	armo27	9	mele30	9	armo30	9	mele33	9	armo33	9	mele36	9	armo36	9	Act 4 Melee B	54			41	441	0.907				0
Act 5 Melee B	2	34	1	375	1	80			mele30	9	armo30	9	mele33	9	armo33	9	mele36	9	armo36	9	mele39	9	armo39	9	Act 5 Melee A	54			35	524	0.9332				0
Act 5 Melee C	2	36	1	375	1	80			mele30	9	armo30	9	mele33	9	armo33	9	mele36	9	armo36	9	mele39	9	armo39	9	Act 5 Melee B	54			35	664	0.9473				0
Act 1 (N) Melee A	2	38	1	375	1	80			weap33	9	armo33	9	weap36	9	armo36	9	weap39	9	armo39	9	weap42	9	armo42	9	Act 5 Melee C	54			36	805	0.9553				0
Act 1 (N) Melee B	2	40	1	375	1	80			weap36	9	armo36	9	weap39	9	armo39	9	weap42	9	armo42	9	weap45	9	armo45	9	Act 1 (N) Melee A	54			36	971	0.9629				0
Act 2 (N) Melee A	2	42	1	375	1	80			weap36	9	armo36	9	weap39	9	armo39	9	weap42	9	armo42	9	weap45	9	armo45	9	Act 1 (N) Melee B	54			42	1190	0.9647				0
Act 2 (N) Melee B	2	44	1	375	1	80			weap39	9	armo39	9	weap42	9	armo42	9	weap45	9	armo45	9	weap48	9	armo48	9	Act 2 (N) Melee A	54			36	1056	0.9659				0
Act 3 (N) Melee A	2	46	1	375	1	80			weap42	9	armo42	9	weap45	9	armo45	9	weap48	9	armo48	9	weap51	9	armo51	9	Act 2 (N) Melee B	54			36	1099	0.9672				0
Act 3 (N) Melee B	2	48	1	375	1	80			weap45	9	armo45	9	weap48	9	armo48	9	weap51	9	armo51	9	weap54	9	armo54	9	Act 3 (N) Melee A	54			36	1141	0.9684				0
Act 4 (N) Melee A	2	51	1	375	1	80			weap45	9	armo45	9	weap48	9	armo48	9	weap51	9	armo51	9	weap54	9	armo54	9	Act 3 (N) Melee B	54			42	1381	0.9696				0
Act 4 (N) Melee B	2	54	1	375	1	80			weap48	9	armo48	9	weap51	9	armo51	9	weap54	9	armo54	9	weap57	9	armo57	9	Act 4 (N) Melee A	54			36	1226	0.9706				0
Act 5 (N) Melee A	2	57	1	375	1	80			weap51	9	armo51	9	weap54	9	armo54	9	weap57	9	armo57	9	weap60	9	armo60	9	Act 4 (N) Melee B	54			36	1311	0.9725				0
Act 5 (N) Melee B	2	60	1	375	1	80			weap51	9	armo51	9	weap54	9	armo54	9	weap57	9	armo57	9	weap60	9	armo60	9	Act 5 (N) Melee A	54			42	1785	0.9765				0
Act 5 (N) Melee C	2	63	1	375	1	80			weap54	9	armo54	9	weap57	9	armo57	9	weap60	9	armo60	9	weap63	9	armo63	9	Act 5 (N) Melee B	54			36	1566	0.977				0
Act 1 (H) Melee A	2	66	1	375	1	80			weap54	9	armo54	9	weap57	9	armo57	9	weap60	9	armo60	9	weap63	9	armo63	9	Act 5 (N) Melee C	54			42	1823	0.977				0
Act 1 (H) Melee B	2	68	1	375	1	80			weap57	9	armo57	9	weap60	9	armo60	9	weap63	9	armo63	9	weap66	9	armo66	9	Act 1 (H) Melee A	54			36	1566	0.977				0
Act 2 (H) Melee A	2	99	1	375	1	80			weap60	9	armo60	9	weap63	9	armo63	9	weap66	9	armo66	9	weap69	9	armo69	9	Act 1 (H) Melee B	54			36	1566	0.977				0
Act 2 (H) Melee B	2	99	1	375	1	80			weap63	9	armo63	9	weap66	9	armo66	9	weap69	9	armo69	9	weap72	9	armo72	9	Act 2 (H) Melee A	54			36	1566	0.977				0
Act 3 (H) Melee A	2	99	1	375	1	80			weap63	9	armo63	9	weap66	9	armo66	9	weap69	9	armo69	9	weap72	9	armo72	9	Act 2 (H) Melee B	54			42	1823	0.977				0
Act 3 (H) Melee B	2	99	1	375	1	80			weap66	9	armo66	9	weap69	9	armo69	9	weap72	9	armo72	9	weap75	9	armo75	9	Act 3 (H) Melee A	54			36	1566	0.977				0
Act 4 (H) Melee A	2	99	1	375	1	80			weap69	9	armo69	9	weap72	9	armo72	9	weap75	9	armo75	9	weap78	9	armo78	9	Act 3 (H) Melee B	54			36	1566	0.977				0
Act 4 (H) Melee B	2	99	1	375	1	80			weap72	9	armo72	9	weap75	9	armo75	9	weap78	9	armo78	9	weap81	9	armo81	9	Act 4 (H) Melee A	54			36	1566	0.977				0
Act 5 (H) Melee A	2	99	1	375	1	80			weap75	9	armo75	9	weap78	9	armo78	9	weap81	9	armo81	9	weap84	9	armo84	9	Act 4 (H) Melee B	54			36	1566	0.977				0
Act 5 (H) Melee B	2	99	1	375	1	80			weap78	9	armo78	9	weap81	9	armo81	9	weap84	9	armo84	9	weap87	9	armo87	9	Act 5 (H) Melee A	54			36	1566	0.977				0
Act 5 (H) Melee C	2	99	1	375	1	80			weap81	9	armo81	9	weap84	9	armo84	9	weap87	9	armo87	9	weap87	9	armo87	9	Act 5 (H) Melee B	54			35	1565	0.9776				0
Act 1 Bow A	3	0	1	375	1	80			bow3	10																									0
Act 1 Bow B	3	5	1	375	1	80			bow3	10	bow6	10																							0
Act 1 Bow C	3	9	1	375	1	80			bow3	10	bow6	10	bow9	10																					0
Act 2 Bow A	3	12	1	375	1	80			bow3	10	bow6	10	bow9	10	bow12	10																			0
Act 2 Bow B	3	15	1	375	1	80			bow3	10	bow6	10	bow9	10	bow12	10	bow15	10																	0
Act 2 Bow C	3	18	1	375	1	80			bow3	10	bow6	10	bow9	10	bow12	10	bow15	10	bow18	10															0
Act 3 Bow A	3	20	1	375	1	80			bow3	10	bow6	10	bow9	10	bow12	10	bow15	10	bow18	10	bow21	10													0
Act 3 Bow B	3	22	1	375	1	80			bow3	10	bow6	10	bow9	10	bow12	10	bow15	10	bow18	10	bow21	10	bow24	10											0
Act 3 Bow C	3	24	1	375	1	80			bow3	10	bow6	10	bow9	10	bow12	10	bow15	10	bow18	10	bow21	10	bow24	10											0
Act 4 Bow A	3	26	1	375	1	80			bow6	10	bow9	10	bow12	10	bow15	10	bow18	10	bow21	10	bow24	10	bow27	10	Act 3 Bow C	50			36	146	0.7534				0
Act 4 Bow B	3	29	1	375	1	80			bow6	10	bow9	10	bow12	10	bow15	10	bow18	10	bow21	10	bow24	10	bow27	10	Act 4 Bow A	50			36	216	0.8333				0
Act 5 Bow A	3	32	1	375	1	80			bow9	10	bow12	10	bow15	10	bow18	10	bow21	10	bow24	10	bow27	10	bow30	10	Act 4 Bow B	50			36	306	0.8824				0
Act 5 Bow B	3	34	1	375	1	80			bow9	10	bow12	10	bow15	10	bow18	10	bow21	10	bow24	10	bow27	10	bow30	10	Act 5 Bow A	50			36	416	0.9135				0
Act 5 Bow C	3	36	1	375	1	80			bow9	10	bow12	10	bow15	10	bow18	10	bow21	10	bow24	10	bow27	10	bow30	10	Act 5 Bow B	50			36	536	0.9328				0
Act 1 (N) Bow A	3	38	1	375	1	100			bow12	10	bow15	10	bow18	10	bow21	10	bow24	10	bow27	10	bow30	10	bow33	10	Act 5 Bow C	50			36	666	0.9459				0
Act 1 (N) Bow B	3	40	1	375	1	100			bow15	10	bow18	10	bow21	10	bow24	10	bow27	10	bow30	10	bow33	10	bow36	10	Act 1 (N) Bow A	50			36	806	0.9553				0
Act 2 (N) Bow A	3	42	1	375	1	100			bow18	10	bow21	10	bow24	10	bow27	10	bow30	10	bow33	10	bow36	10	bow39	10	Act 1 (N) Bow B	50			36	956	0.9623				0
Act 2 (N) Bow B	3	44	1	375	1	100			bow21	10	bow24	10	bow27	10	bow30	10	bow33	10	bow36	10	bow39	10	bow42	10	Act 2 (N) Bow A	50			36	1106	0.9675				0
Act 3 (N) Bow A	3	46	1	375	1	100			bow24	10	bow27	10	bow30	10	bow33	10	bow36	10	bow39	10	bow42	10	bow45	10	Act 2 (N) Bow B	50			36	1256	0.9713				0
Act 3 (N) Bow B	3	48	1	375	1	100			bow27	10	bow30	10	bow33	10	bow36	10	bow39	10	bow42	10	bow45	10	bow48	10	Act 3 (N) Bow A	50			36	1406	0.9744				0
Act 4 (N) Bow A	3	51	1	375	1	100			bow30	10	bow33	10	bow36	10	bow39	10	bow42	10	bow45	10	bow48	10	bow51	10	Act 3 (N) Bow B	50			36	1556	0.9769				0
Act 4 (N) Bow B	3	54	1	375	1	100			bow33	10	bow36	10	bow39	10	bow42	10	bow45	10	bow48	10	bow51	10	bow54	10	Act 4 (N) Bow A	50			36	1706	0.9789				0
Act 5 (N) Bow A	3	57	1	375	1	100			bow36	10	bow39	10	bow42	10	bow45	10	bow48	10	bow51	10	bow54	10	bow57	10	Act 4 (N) Bow B	50			36	1856	0.9806				0
