Hireling	*SubType	Version	Id	Class	Act	Difficulty	Level	Seller	NameFirst	NameLast	Gold	Exp/Lvl	HP	HP/Lvl	Defense	Def/Lvl	Str	Str/Lvl	Dex	Dex/Lvl	AR	AR/Lvl	Dmg-Min	Dmg-Max	Dmg/Lvl	ResistFire	ResistFire/Lvl	ResistCold	ResistCold/Lvl	ResistLightning	ResistLightning/Lvl	ResistPoison	ResistPoison/Lvl	HireDesc	DefaultChance	Skill1	Mode1	Chance1	ChancePerLvl1	Level1	LvlPerLvl1	Skill2	Mode2	Chance2	ChancePerLvl2	Level2	LvlPerLvl2	Skill3	Mode3	Chance3	ChancePerLvl3	Level3	LvlPerLvl3	Skill4	Mode4	Chance4	ChancePerLvl4	Level4	LvlPerLvl4	Skill5	Mode5	Chance5	ChancePerLvl5	Level5	LvlPerLvl5	Skill6	Mode6	Chance6	ChancePerLvl6	Level6	LvlPerLvl6	HiringMaxLevelDifference	resurrectcostmultiplier	resurrectcostdivisor	resurrectcostmax	equivalentcharclass
Rogue Scout	Fire - Hell	0	4	271	1	3	49	150	merc01	merc41	12500	120	4380	160	3780	360	300	1	250	1	7416	360	272	304	30	96	8	125	8	125	7	125	7	strhirespecial1	75	Flaming Arrow	4	10	0	14	20	Frost Arrow	4	69	0	14	20	Lightning Speed	4	50	0	5	20																			5	15	2	3000	ama
Rogue Scout	Ice - Hell	0	5	271	1	3	49	150	merc01	merc41	14000	125	4380	160	3780	360	300	1	250	1	7416	360	272	304	30	96	8	125	8	125	7	125	7	strhirespecial2	75	Flaming Arrow	4	10	0	14	20	Frost Arrow	4	69	0	14	20	Lightning Speed	4	50	0	5	20																			5	15	2	3000	ama
Rogue Scout	Fire - Normal	100	0	271	1	1	3	150	merc01	merc41	100	100	450	90	150	160	300	1	250	1	120	144	16	48	10	0	13	0	13	0	10	0	10	strhirespecial1	75	Flaming Arrow	4	10	0	1	20	Frost Arrow	4	25	5	1	20	Lightning Speed	4	50	0	5	20																			1	15	2	3000	ama
Rogue Scout	Fire - Normal	100	0	271	1	1	36	150	merc01	merc41	6000	110	3420	180	2790	300	300	1	250	1	4872	288	144	176	20	79	10	103	10	103	9	103	9	strhirespecial1	75	Flaming Arrow	4	10	0	12	20	Frost Arrow	4	67	0	12	20	Lightning Speed	4	50	0	5	20																			1	15	2	3000	ama
Rogue Scout	Fire - Normal	100	0	271	1	1	67	150	merc01	merc41	12500	120	9000	300	7440	460	300	1	250	1	13800	432	400	432	30	145	8	189	8	189	7	189	7	strhirespecial1	75	Flaming Arrow	4	10	0	22	20	Frost Arrow	4	67	0	22	20	Lightning Speed	4	50	0	5	20																			1	15	2	3000	ama
Rogue Scout	Ice - Normal	100	1	271	1	1	3	150	merc01	merc41	150	105	450	90	150	160	300	1	250	1	120	144	16	48	10	0	13	0	13	0	10	0	10	strhirespecial2	75	Flaming Arrow	4	10	0	1	20	Frost Arrow	4	25	5	1	20	Lightning Speed	4	50	0	5	20																			1	15	2	3000	ama
Rogue Scout	Ice - Normal	100	1	271	1	1	36	150	merc01	merc41	7500	115	3420	180	2790	300	300	1	250	1	4872	288	144	176	20	79	10	103	10	103	9	103	9	strhirespecial2	75	Flaming Arrow	4	10	0	12	20	Frost Arrow	4	67	0	12	20	Lightning Speed	4	50	0	5	20																			1	15	2	3000	ama
Rogue Scout	Ice - Normal	100	1	271	1	1	67	150	merc01	merc41	14000	125	9000	300	7440	460	300	1	250	1	13800	432	400	432	30	145	8	189	8	189	7	189	7	strhirespecial2	75	Flaming Arrow	4	10	0	22	20	Frost Arrow	4	67	0	22	20	Lightning Speed	4	50	0	5	20																			1	15	2	3000	ama
Rogue Scout	Fire - Nightmare	100	2	271	1	2	36	150	merc01	merc41	6000	110	3420	180	2790	300	300	1	250	1	4872	288	144	176	20	79	10	103	10	103	9	103	9	strhirespecial1	75	Flaming Arrow	4	10	0	12	20	Frost Arrow	4	67	0	12	20	Lightning Speed	4	50	0	5	20																			1	15	2	3000	ama
Rogue Scout	Fire - Nightmare	100	2	271	1	2	67	150	merc01	merc41	12500	120	9000	300	7440	460	300	1	250	1	13800	432	400	432	30	145	8	189	8	189	7	189	7	strhirespecial1	75	Flaming Arrow	4	10	0	22	20	Frost Arrow	4	67	0	22	20	Lightning Speed	4	50	0	5	20																			1	15	2	3000	ama
Rogue Scout	Ice - Nightmare	100	3	271	1	2	36	150	merc01	merc41	7500	115	3420	180	2790	300	300	1	250	1	4872	288	144	176	20	79	10	103	10	103	9	103	9	strhirespecial2	75	Flaming Arrow	4	10	0	12	20	Frost Arrow	4	67	0	12	20	Lightning Speed	4	50	0	5	20																			1	15	2	3000	ama
Rogue Scout	Ice - Nightmare	100	3	271	1	2	67	150	merc01	merc41	14000	125	9000	300	7440	460	300	1	250	1	13800	432	400	432	30	145	8	189	8	189	7	189	7	strhirespecial2	75	Flaming Arrow	4	10	0	22	20	Frost Arrow	4	67	0	22	20	Lightning Speed	4	50	0	5	20																			1	15	2	3000	ama
Rogue Scout	Fire - Hell	100	4	271	1	3	67	150	merc01	merc41	12500	120	9000	300	7440	460	300	1	250	1	13800	432	400	432	30	145	8	189	8	189	7	189	7	strhirespecial1	75	Flaming Arrow	4	10	0	22	20	Frost Arrow	4	67	0	22	20	Lightning Speed	4	50	0	5	20																			1	15	2	3000	ama
Rogue Scout	Ice - Hell	100	5	271	1	3	67	150	merc01	merc41	14000	125	9000	300	7440	460	300	1	250	1	13800	432	400	432	30	145	8	189	8	189	7	189	7	strhirespecial2	75	Flaming Arrow	4	10	0	22	20	Frost Arrow	4	67	0	22	20	Lightning Speed	4	50	0	5	20																			1	15	2	3000	ama
Desert Mercenary	Comb-Normal	0	6	338	2	1	9	198	merca201	merca221	350	110	1200	150	450	220	300	1	250	1	240	144	112	224	20	22	13	29	13	29	10	29	10	skillname99	30	Evil Spearit	4	70	4	3	20	Holy Spearit	4	10	0	3	20	Lightning Speed	4	50	0	5	20																			5	15	2	3000	
Desert Mercenary	Comb-Normal	0	6	338	2	1	31	198	merca201	merca221	350	110	3400	200	2430	320	300	1	250	1	2880	240	288	400	30	74	10	96	10	96	9	96	9	skillname99	30	Evil Spearit	4	92	4	10	20	Holy Spearit	4	10	0	10	20	Lightning Speed	4	50	0	5	20																			5	15	2	3000	
Desert Mercenary	Comb-Normal	0	6	338	2	1	55	198	merca201	merca221	350	110	8200	350	6270	480	300	1	250	1	8640	360	576	688	40	125	7	163	7	163	5	163	5	skillname99	30	Evil Spearit	4	116	4	18	20	Holy Spearit	4	10	0	18	20	Lightning Speed	4	50	0	5	20																			5	15	2	3000	
Desert Mercenary	Def-Normal	0	7	338	2	1	9	198	merca201	merca221	350	110	1200	100	450	180	300	1	250	1	240	120	112	224	20	22	13	29	13	29	10	29	10	skillname104	30	Evil Spearit	4	70	4	3	20	Holy Spearit	4	10	0	3	20	Lightning Speed	4	50	0	5	20																			5	15	2	3000	
Desert Mercenary	Def-Normal	0	7	338	2	1	31	198	merca201	merca221	350	110	3400	200	2430	320	300	1	250	1	2880	240	288	400	30	74	10	96	10	96	9	96	9	skillname104	30	Evil Spearit	4	92	4	10	20	Holy Spearit	4	10	0	10	20	Lightning Speed	4	50	0	5	20																			5	15	2	3000	
Desert Mercenary	Def-Normal	0	7	338	2	1	55	198	merca201	merca221	350	110	8200	350	6270	480	300	1	250	1	8640	360	576	688	40	125	7	163	7	163	5	163	5	skillname104	30	Evil Spearit	4	116	4	18	20	Holy Spearit	4	10	0	18	20	Lightning Speed	4	50	0	5	20																			5	15	2	3000	
Desert Mercenary	Off-Normal	0	8	338	2	1	9	198	merca201	merca221	350	110	1200	100	450	180	300	1	250	1	240	120	112	224	20	22	13	29	13	29	10	29	10	skillname108	30	Evil Spearit	4	70	4	3	20	Holy Spearit	4	10	0	3	20	Lightning Speed	4	50	0	5	20																			5	15	2	3000	
Desert Mercenary	Off-Normal	0	8	338	2	1	31	198	merca201	merca221	350	110	3400	200	2430	320	300	1	250	1	2880	240	288	400	30	74	10	96	10	96	9	96	9	skillname108	30	Evil Spearit	4	92	4	10	20	Holy Spearit	4	10	0	10	20	Lightning Speed	4	50	0	5	20																			5	15	2	3000	
Desert Mercenary	Off-Normal	0	8	338	2	1	55	198	merca201	merca221	350	110	8200	350	6270	480	300	1	250	1	8640	360	576	688	40	125	7	163	7	163	5	163	5	skillname108	30	Evil Spearit	4	116	4	18	20	Holy Spearit	4	10	0	18	20	Lightning Speed	4	50	0	5	20																			5	15	2	3000	
Desert Mercenary	Comb-Nightmare	0	9	338	2	2	31	198	merca201	merca221	7900	120	3060	200	2190	320	300	1	250	1	2592	240	256	368	30	71	10	92	10	92	9	92	9	skillname103	30	Evil Spearit	4	120	4	9	20	Holy Spearit	4	10	0	5	20	Lightning Speed	4	50	0	5	20																			5	15	2	3000	
Desert Mercenary	Comb-Nightmare	0	9	338	2	2	55	198	merca201	merca221	7900	120	7860	350	6030	480	300	1	250	1	8352	360	544	656	40	121	7	157	7	157	5	157	5	skillname103	30	Evil Spearit	4	144	4	17	20	Holy Spearit	4	10	0	13	20	Lightning Speed	4	50	0	5	20																			5	15	2	3000	
Desert Mercenary	Def-Nightmare	0	10	338	2	2	31	198	merca201	merca221	7900	120	3060	200	2190	320	300	1	250	1	2592	240	256	368	30	71	10	92	10	92	9	92	9	skillname114	30	Evil Spearit	4	120	4	9	20	Holy Spearit	4	10	0	6	20	Lightning Speed	4	50	0	5	20																			5	15	2	3000	
Desert Mercenary	Def-Nightmare	0	10	338	2	2	55	198	merca201	merca221	7900	120	7860	350	6030	480	300	1	250	1	8352	360	544	656	40	121	7	157	7	157	5	157	5	skillname114	30	Evil Spearit	4	144	4	17	20	Holy Spearit	4	10	0	14	20	Lightning Speed	4	50	0	5	20																			5	15	2	3000	
Desert Mercenary	Off-Nightmare	0	11	338	2	2	31	198	merca201	merca221	7900	120	3060	200	2190	320	300	1	250	1	2592	240	256	368	30	71	10	92	10	92	9	92	9	skillname98	30	Evil Spearit	4	120	4	9	20	Holy Spearit	4	10	0	7	20	Lightning Speed	4	50	0	5	20																			5	15	2	3000	
Desert Mercenary	Off-Nightmare	0	11	338	2	2	55	198	merca201	merca221	7900	120	7860	350	6030	480	300	1	250	1	8352	360	544	656	40	121	7	157	7	157	5	157	5	skillname98	30	Evil Spearit	4	144	4	17	20	Holy Spearit	4	10	0	13	20	Lightning Speed	4	50	0	5	20																			5	15	2	3000	
Desert Mercenary	Comb-Hell	0	12	338	2	3	55	198	merca201	merca221	15000	130	7070	350	5430	480	300	1	250	1	7512	360	512	624	40	118	7	153	7	153	5	153	5	skillname99	30	Evil Spearit	4	104	4	16	20	Holy Spearit	4	10	0	16	20	Lightning Speed	4	50	0	5	20																			5	15	2	3000	
Desert Mercenary	Def-Hell	0	13	338	2	3	55	198	merca201	merca221	15000	130	7070	350	5430	480	300	1	250	1	7512	360	512	624	40	118	7	153	7	153	5	153	5	skillname104	30	Evil Spearit	4	104	4	16	20	Holy Spearit	4	10	0	16	20	Lightning Speed	4	50	0	5	20																			5	15	2	3000	
Desert Mercenary	Off-Hell	0	14	338	2	3	55	198	merca201	merca221	15000	130	7070	350	5430	480	300	1	250	1	7512	360	512	624	40	118	7	153	7	153	5	153	5	skillname108	30	Evil Spearit	4	104	4	16	20	Holy Spearit	4	10	0	16	20	Lightning Speed	4	50	0	5	20																			5	15	2	3000	
Desert Mercenary	Prayer-Normal	100	6	338	2	1	9	198	merca201	merca221	350	110	1200	150	450	220	300	1	250	1	240	144	112	224	20	22	13	29	13	29	10	29	10	skillname99	30	Evil Spearit	4	70	4	3	20	Holy Spearit	4	10	0	3	20	Lightning Speed	4	50	0	5	20																			1	15	2	3000	
Desert Mercenary	Prayer-Normal	100	6	338	2	1	43	198	merca201	merca221	7900	110	6300	250	4190	380	300	1	250	1	5136	288	384	496	30	103	10	134	10	134	9	134	9	skillname99	30	Evil Spearit	4	104	4	14	20	Holy Spearit	4	10	0	11	20	Lightning Speed	4	50	0	5	20																			1	15	2	3000	
Desert Mercenary	Prayer-Normal	100	6	338	2	1	75	198	merca201	merca221	15000	110	14300	400	10270	560	300	1	250	1	14352	432	768	880	40	170	7	221	7	221	5	221	5	skillname99	30	Evil Spearit	4	136	4	24	20	Holy Spearit	4	10	0	18	20	Lightning Speed	4	50	0	5	20																			1	15	2	3000	
Desert Mercenary	Defiance-Normal	100	7	338	2	1	9	198	merca201	merca221	350	110	1200	150	450	220	300	1	250	1	240	144	112	224	20	22	13	29	13	29	10	29	10	skillname104	30	Evil Spearit	4	70	4	3	20	Holy Spearit	4	10	0	3	20	Lightning Speed	4	50	0	5	20																			1	15	2	3000	
Desert Mercenary	Defiance-Normal	100	7	338	2	1	43	198	merca201	merca221	7900	110	6300	250	4190	380	300	1	250	1	5136	288	384	496	30	103	10	134	10	134	9	134	9	skillname104	30	Evil Spearit	4	104	4	14	20	Holy Spearit	4	10	0	11	20	Lightning Speed	4	50	0	5	20																			1	15	2	3000	
Desert Mercenary	Defiance-Normal	100	7	338	2	1	75	198	merca201	merca221	15000	110	14300	400	10270	560	300	1	250	1	14352	432	768	880	40	170	7	221	7	221	5	221	5	skillname104	30	Evil Spearit	4	136	4	24	20	Holy Spearit	4	10	0	18	20	Lightning Speed	4	50	0	5	20																			1	15	2	3000	
Desert Mercenary	BlessedAim-Normal	100	8	338	2	1	9	198	merca201	merca221	350	110	1200	150	450	220	300	1	250	1	240	144	112	224	20	22	13	29	13	29	10	29	10	skillname108	30	Evil Spearit	4	70	4	3	20	Holy Spearit	4	10	0	3	20	Lightning Speed	4	50	0	5	20																			1	15	2	3000	
Desert Mercenary	BlessedAim-Normal	100	8	338	2	1	43	198	merca201	merca221	7900	110	6300	250	4190	380	300	1	250	1	5136	288	384	496	30	103	10	134	10	134	9	134	9	skillname108	30	Evil Spearit	4	104	4	14	20	Holy Spearit	4	10	0	11	20	Lightning Speed	4	50	0	5	20																			1	15	2	3000	
Desert Mercenary	BlessedAim-Normal	100	8	338	2	1	75	198	merca201	merca221	15000	110	14300	400	10270	560	300	1	250	1	14352	432	768	880	40	170	7	221	7	221	5	221	5	skillname108	30	Evil Spearit	4	136	4	24	20	Holy Spearit	4	10	0	18	20	Lightning Speed	4	50	0	5	20																			1	15	2	3000	
Desert Mercenary	Prayer-Nightmare	100	30	338	2	2	43	198	merca201	merca221	7900	110	6300	250	4190	380	300	1	250	1	5136	288	384	496	30	103	10	134	10	134	9	134	9	skillname99	30	Evil Spearit	4	104	4	14	20	Holy Spearit	4	10	0	11	20	Lightning Speed	4	50	0	5	20																			1	15	2	3000	
Desert Mercenary	Prayer-Nightmare	100	30	338	2	2	75	198	merca201	merca221	15000	110	14300	400	10270	560	300	1	250	1	14352	432	768	880	40	170	7	221	7	221	5	221	5	skillname99	30	Evil Spearit	4	136	4	24	20	Holy Spearit	4	10	0	18	20	Lightning Speed	4	50	0	5	20																			1	15	2	3000	
Desert Mercenary	Defiance-Nightmare	100	31	338	2	2	43	198	merca201	merca221	7900	110	6300	250	4190	380	300	1	250	1	5136	288	384	496	30	103	10	134	10	134	9	134	9	skillname104	30	Evil Spearit	4	104	4	14	20	Holy Spearit	4	10	0	11	20	Lightning Speed	4	50	0	5	20																			1	15	2	3000	
Desert Mercenary	Defiance-Nightmare	100	31	338	2	2	75	198	merca201	merca221	15000	110	14300	400	10270	560	300	1	250	1	14352	432	768	880	40	170	7	221	7	221	5	221	5	skillname104	30	Evil Spearit	4	136	4	24	20	Holy Spearit	4	10	0	18	20	Lightning Speed	4	50	0	5	20																			1	15	2	3000	
Desert Mercenary	BlessedAim-Nightmare	100	32	338	2	2	43	198	merca201	merca221	7900	110	6300	250	4190	380	300	1	250	1	5136	288	384	496	30	103	10	134	10	134	9	134	9	skillname108	30	Evil Spearit	4	104	4	14	20	Holy Spearit	4	10	0	11	20	Lightning Speed	4	50	0	5	20																			1	15	2	3000	
Desert Mercenary	BlessedAim-Nightmare	100	32	338	2	2	75	198	merca201	merca221	15000	110	14300	400	10270	560	300	1	250	1	14352	432	768	880	40	170	7	221	7	221	5	221	5	skillname108	30	Evil Spearit	4	136	4	24	20	Holy Spearit	4	10	0	18	20	Lightning Speed	4	50	0	5	20																			1	15	2	3000	
Desert Mercenary	Thorns-Nightmare	100	9	338	2	2	43	198	merca201	merca221	7900	120	6300	250	4190	380	300	1	250	1	5136	288	384	496	30	103	10	134	10	134	9	134	9	skillname103	30	Evil Spearit	4	104	4	13	20	Holy Spearit	4	10	0	11	20	Lightning Speed	4	50	0	5	20																			1	15	2	3000	
Desert Mercenary	Thorns-Nightmare	100	9	338	2	2	75	198	merca201	merca221	15000	120	14300	400	10270	560	300	1	250	1	14352	432	768	880	40	170	7	221	7	221	5	221	5	skillname103	30	Evil Spearit	4	136	4	23	20	Holy Spearit	4	10	0	21	20	Lightning Speed	4	50	0	5	20																			1	15	2	3000	
Desert Mercenary	HolyFreeze-Nightmare	100	10	338	2	2	43	198	merca201	merca221	7900	120	6300	250	4190	380	300	1	250	1	5136	288	384	496	30	103	10	134	10	134	9	134	9	skillname114	30	Evil Spearit	4	104	4	13	20	Holy Spearit	4	10	0	6	20	Lightning Speed	4	50	0	5	20																			1	15	2	3000	
Desert Mercenary	HolyFreeze-Nightmare	100	10	338	2	2	75	198	merca201	merca221	15000	120	14300	400	10270	560	300	1	250	1	14352	432	768	880	40	170	7	221	7	221	5	221	5	skillname114	30	Evil Spearit	4	136	4	23	20	Holy Spearit	4	10	0	16	20	Lightning Speed	4	50	0	5	20																			1	15	2	3000	
Desert Mercenary	Might-Nightmare	100	11	338	2	2	43	198	merca201	merca221	7900	120	6300	250	4190	380	300	1	250	1	5136	288	384	496	30	103	10	134	10	134	9	134	9	skillname98	30	Evil Spearit	4	104	4	13	20	Holy Spearit	4	10	0	7	20	Lightning Speed	4	50	0	5	20																			1	15	2	3000	
Desert Mercenary	Might-Nightmare	100	11	338	2	2	75	198	merca201	merca221	15000	120	14300	400	10270	560	300	1	250	1	14352	432	768	880	40	170	7	221	7	221	5	221	5	skillname98	30	Evil Spearit	4	136	4	23	20	Holy Spearit	4	10	0	15	20	Lightning Speed	4	50	0	5	20																			1	15	2	3000	
Desert Mercenary	Comb-Hell	100	12	338	2	3	75	198	merca201	merca221	15000	130	14300	400	10270	560	300	1	250	1	14352	432	768	880	40	170	7	221	7	221	5	221	5	skillname99	30	Evil Spearit	4	136	4	24	20	Holy Spearit	4	10	0	18	20	Lightning Speed	4	50	0	5	20																			1	15	2	3000	
Desert Mercenary	Def-Hell	100	13	338	2	3	75	198	merca201	merca221	15000	130	14300	400	10270	560	300	1	250	1	14352	432	768	880	40	170	7	221	7	221	5	221	5	skillname104	30	Evil Spearit	4	136	4	24	20	Holy Spearit	4	10	0	18	20	Lightning Speed	4	50	0	5	20																			1	15	2	3000	
Desert Mercenary	Off-Hell	100	14	338	2	3	75	198	merca201	merca221	15000	130	14300	400	10270	560	300	1	250	1	14352	432	768	880	40	170	7	221	7	221	5	221	5	skillname108	30	Evil Spearit	4	136	4	24	20	Holy Spearit	4	10	0	18	20	Lightning Speed	4	50	0	5	20																			1	15	2	3000	
Desert Mercenary	Thorns-Hell	100	33	338	2	3	75	198	merca201	merca221	15000	130	14300	400	10270	560	300	1	250	1	14352	432	768	880	40	170	7	221	7	221	5	221	5	skillname103	30	Evil Spearit	4	136	4	23	20	Holy Spearit	4	10	0	21	20	Lightning Speed	4	50	0	5	20																			1	15	2	3000	
Desert Mercenary	HolyFreeze-Hell	100	34	338	2	3	75	198	merca201	merca221	15000	130	14300	400	10270	560	300	1	250	1	14352	432	768	880	40	170	7	221	7	221	5	221	5	skillname114	30	Evil Spearit	4	136	4	23	20	Holy Spearit	4	10	0	16	20	Lightning Speed	4	50	0	5	20																			1	15	2	3000	
Desert Mercenary	Might-Hell	100	35	338	2	3	75	198	merca201	merca221	15000	130	14300	400	10270	560	300	1	250	1	14352	432	768	880	40	170	7	221	7	221	5	221	5	skillname98	30	Evil Spearit	4	136	4	23	20	Holy Spearit	4	10	0	15	20	Lightning Speed	4	50	0	5	20																			1	15	2	3000	
Eastern Sorceror	Fire-Normal	0	15	359	3	1	15	252	merca222	merca241	1000	110	1600	80	800	80	300	1	250	1	180	120	16	112	20	30	10	39	10	39	9	39	9	strhirespecial7	10	Lightning Rod	7	60	0	6	20	Spirit Circle	7	30	0	4	20	Lightning Speed	4	50	0	5	20																			5	15	2	3000	
Eastern Sorceror	Fire-Normal	0	15	359	3	1	37	252	merca222	merca241	1000	110	3360	140	1680	200	300	1	250	1	2820	240	192	288	20	77	10	100	10	100	9	100	9	strhirespecial7	10	Lightning Rod	7	60	0	13	20	Spirit Circle	7	30	0	11	20	Lightning Speed	4	50	0	5	20																			5	15	2	3000	
Eastern Sorceror	Fire-Normal	0	15	359	3	1	61	252	merca222	merca241	1000	110	6720	200	4080	360	300	1	250	1	8580	360	384	480	20	127	9	165	9	165	8	165	8	strhirespecial7	10	Lightning Rod	7	60	0	21	20	Spirit Circle	7	30	0	19	20	Lightning Speed	4	50	0	5	20																			5	15	2	3000	
Eastern Sorceror	Cold-Normal	0	16	359	3	1	15	252	merca222	merca241	1500	120	1600	80	800	80	300	1	250	1	180	120	16	112	20	30	10	39	10	39	9	39	9	strhirespecial6	10	Lightning Rod	7	60	0	1	20	Spirit Circle	7	1000	0	2	20	Lightning Speed	4	50	0	5	20																			5	15	2	3000	
Eastern Sorceror	Cold-Normal	0	16	359	3	1	37	252	merca222	merca241	1500	120	3360	140	1680	200	300	1	250	1	2820	240	192	288	20	77	10	100	10	100	9	100	9	strhirespecial6	10	Lightning Rod	7	60	0	5	20	Spirit Circle	7	1000	0	9	20	Lightning Speed	4	50	0	5	20																			5	15	2	3000	
Eastern Sorceror	Cold-Normal	0	16	359	3	1	61	252	merca222	merca241	1500	120	6720	200	4080	320	300	1	250	1	8580	360	384	480	20	127	7	165	7	165	5	165	5	strhirespecial6	10	Lightning Rod	7	60	0	9	20	Spirit Circle	7	1000	0	17	20	Lightning Speed	4	50	0	5	20																			5	15	2	3000	
Eastern Sorceror	Ltng-Normal	0	17	359	3	1	15	252	merca222	merca241	1000	110	1600	80	800	80	300	1	250	1	180	120	16	112	20	30	10	39	10	39	9	39	9	strhirespecial5	10	Lightning Rod	7	60	0	4	20	Spirit Circle	7	30	0	3	20	Lightning Speed	4	50	0	5	20																			5	15	2	3000	
Eastern Sorceror	Ltng-Normal	0	17	359	3	1	37	252	merca222	merca241	1000	110	3360	140	1680	200	300	1	250	1	2820	240	192	288	20	77	10	100	10	100	9	100	9	strhirespecial5	10	Lightning Rod	7	60	0	8	20	Spirit Circle	7	30	0	10	20	Lightning Speed	4	50	0	5	20																			5	15	2	3000	
Eastern Sorceror	Ltng-Normal	0	17	359	3	1	61	252	merca222	merca241	1000	110	6720	200	4080	320	300	1	250	1	8580	360	384	480	20	127	7	165	7	165	5	165	5	strhirespecial5	10	Lightning Rod	7	60	0	12	20	Spirit Circle	7	30	0	18	20	Lightning Speed	4	50	0	5	20																			5	15	2	3000	
Eastern Sorceror	Fire-Nightmare	0	18	359	3	2	37	252	merca222	merca241	9500	120	3020	140	1510	200	300	1	250	1	2544	240	160	256	20	73	10	95	10	95	9	95	9	strhirespecial7	10	Lightning Rod	7	60	0	12	20	Spirit Circle	7	30	0	10	20	Lightning Speed	4	50	0	5	20																			5	15	2	3000	
