index	*ID	*order	*copied	*legendary	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
Dragon Heartstring	11	11			0	1		1	1	5	14	wnd	Wand		5	5000	lblu	lblu		invwndu				sock		1	1	oskill	Avalanche	5	5	att-skill	Wave of Force	10	10	att-skill	Snowball	7	10	swing2		40	40	hp		100	100	mana		100	100	regen		80	80	oskill	Ravager	2	2	enr		20	30										0
Maelstromwrath	12	12			0	1		1	1	28	36	ywn	Yew Wand		5	5000	dblu	dblu						nec		2	2	sor		2	2	oskill	Wave of Force	9	12	oskill	Spirit Circle	9	12	prop-dmgtounholy		35	50	extra-cold		35	50	enr		30	50	res-all		25	25	oskill	Ravager	1	1														0
Gravenspine	13	13			0	0		1	1	40	20	bwn	Bone Wand		5	5000	cgrn			invbwnu				sock		1	1	fire-max		53	53	att	0	577	577	hit-skill	Taunt	18	18	ac		385	385	mana		134	134	mana%		53	53	dmg-max		11	11	res-all		17	17	dex		11	11	ac%		511	511	regen		33	33		0
Umes Lament	14	14			0	0		1	1	57	28	gwn	Grim Wand		5	5000	lblu	lblu						sock		1	1	thorns		127	127	vit		17	17	freeze		1	1	regen		33	33	dmg%		440	440	all-stats		44	44	red-dmg		8	8	att		220	220	mag%		30	30	dmg-pois	150	299	299	str		15	25		0
Felloak	15	15			0	1		1	1	6	12	clb	Club		5	5000	lgry			invclbu				lifesteal		20	20	manasteal		20	20	bar		1	1	red-dmg		50	50	move3		40	40	dmg%		300	300	oskill	Frenzy	3	3																						0
Storm Gambit	16	16			0	1		1	1	10	12	scp	Scepter		5	5000	dred	dred						hit-skill	Scepter of Zeus	5	10	hit-skill	Judgement Cross	5	10	oskill	Storm Strike	2	3	mana-kill		10	20	dmg-undead		491	491	move3		40	40	dmg%		300	300	att		200	400	oskill	Judgement Cross	3	3	oskill	Scepter Master	3	3										0
Agamemnon	17	17			0	1		1	1	23	26	gsc	Grand Scepter		5	5000	lgld	lgld						oskill	99	2	3	hit-skill	Wind Strike	15	18	vit		13	18	red-dmg		80	90	att		600	700	light		40	50	dmg%		200	300	oskill	Lightning Speed	2	3	oskill	Judgement Cross	2	3	prop-dmgtofragment		15	25										0
Stormeye	18	18			0	1		1	1	46	23	wsp	War Scepter		5	5000	cred	cred						sock		1	1	ac		91	91	stupidity		1	1	ltng-min		4	4	ltng-max		48	48	att	0	243	243	dmg-max		60	60	res-all-max		8	8	ama		2	2	dmg-min		16	16	oskill	150	22	22	dmg%		511	511		0
Crushing Death	19	19			0	1		1	1	10	12	spc	Spiked Club		5	5000	dgry			invspcu				sock		1	1	ass		1	1	oskill	Death Spikes	2	4	gethit-skill	Death Spikes	10	12	ac		50	75	hp		75	100	mana		300	400	res-all		10	20																		0
Terminal Crush	20	20			0	1		1	1	18	20	mac	Mace		5	5000	blac	blac						sock		1	1	bar		2	2	oskill	Mace Mastery	3	3	hp		100	100	red-dmg%		20	20	dmg-demon		300	300	dmg-undead		300	300	gethit-skill	Electrical Storm	12	8																		0
Gigas Stone Crush	21	21			0	1		1	1	20	27	mst	Morning Star		5	5000	blac	blac		invmstu				bar		1	1	att		400	500	swing2		20	30	prop-dmgtoearth		10	50	dex		10	30	att-skill	Volcanic Strike	15	15	dmg-undead		100	200	dmg%		100	300	oskill	Rocksplit	2	2														0
The Generals Tan Do Li Ga	22	22			0	1		1	1	42	45	fla	Flail		5	5000	dblu	dblu						sock		1	1	pal		3	3	res-all	0	60	60	dex		60	60	dmg-norm		50	50	swing2		40	40	manasteal		20	20	att		500	500																		0
Ironstone	23	23			0	1		1	1	25	32	whm	War Hammer		5	5000	cblu	cblu						sock		1	1	light		40	40	pal		3	3	enr		25	25	cast2		40	40	dmg-demon		300	300	reduce-ac		12	12																						0
Underhammer	24	24			0	1		1	1	48	52	mau	Maul		5	5000	blac	blac		invmauu				gethit-skill	Bloodborne	1	28	pal		3	3	nec		3	3	prop-dmgtoholy		40	50	prop-dmgtounholy		40	50	att-skill	Spirit Circle	12	15	att-skill	Shotgun Bolts	12	15	att		500	600																		0
Magnetic Malus	25	25			0	1		1	1	58	62	gma	Great Maul		5	5000	cgrn	cgrn		invgma				gethit-skill	Electromagnetic Wave	28	30	oskill	Electromagnetic	3	3	pal		4	4	aura	Conviction	3	3	extra-ltng		40	60	oskill	Runic Hammer	3	3	att-skill	Electromagnetic Wave	25	30	att		500	600	dmg%		100	400	prop-dmgtonova		30	40	hp		350	500	ac		500	500		0
Flaming Saber	26	26			0	1		1	1	6	12	ssd	Short Sword		5	5000	lred	lred						sock		1	1	fire-min		100	200	fire-max		100	200	oskill	Volcanic Strike	1	3	oskill	Holy Sword Strike	1	4	dmg%		100	300	dmg-mag		100	150	dmg-demon		200	200	crush		12	30	res-fire		30	35										0
Blood Crescent	27	27			0	1		1	1	15	20	scm	Scimitar		5	5000	lblu			invscmu				sock		1	1	lifesteal		10	40	dmg%		200	400	red-mag		60	60	cold-max		100	300	aura	Holy Freeze	2	8																										0
Krintizs Skewer	28	28			0	1		1	1	21	23	sbr	Saber		5	5000	cblu			inv9sbu				sock		1	1	res-all		10	31	swing1		20	41	openwounds		12	41	dmg%		100	300	enr		12	31	dmg-mag		344	444	oskill	Holy Sword Strike	3	9																		0
Gleamscythe	29	29			0	1		1	1	24	29	flc	Falchion		5	5000	lred			invflcu				sock		1	1	enr		10	15	cast2		20	40	oskill	Toxic Gases	3	3	gethit-skill	Sludge Wave	10	12	move2		10	40	dmg%		200	200	ac%		100	250																		0
Azureslash	30	30			0	1		1	1	27	32	crs	Crystal Sword		5	5000	lgry			invcrsu				all-stats		25	25	allskills		1	1	swing1		20	30	cast2		20	30	gethit-skill	Intimidation	12	12	aura	Fanaticism	5	5																										0
Griswolds Edge	31	31			0	0		1	1	34	40	bsd	Broad Sword		5	5000	cred			invbsdu				sock		1	1	dmg%		1	511	vit		3	13	res-all-max		1	5	bar		2	2	pal		2	2	oskill	Holy Sword Strike	1	8	oskill	Climhazard	1	8	reduce-ac		12	12														0
Durandal	32	32			0	1		1	1	45	45	lsd	Long Sword		5	5000	dred			invlsdu				sock		1	1	climandholyswordsynergybonus		50	100	ac		500	500	ac%		100	200	oskill	Holy Shield	3	3	oskill	Holy Sword Strike	3	3	enr		20	40	att-skill	Holy Sword Strike	20	20																		0
Culwens Point	33	33			0	1		1	1	58	65	wsd	War Sword		5	5000	whit	whit						bar		3	3	dmg%		300	400	all-stats		30	30	oskill	Swordsplosion	3	3	oskill	Zantetsuken	3	3	att-skill	Wave Of Light	10	22	prop-dmgtonova		50	70	ac		200	400	hp		300	350														0
Knights Ally	34	34			0	1		1	1	24	26	2hs	2-Handed Sword		5	5000	cgrn			inv2hsu				prop-dmgtoholy		15	30	vit		10	15	prop-dmgtomeleeexplosion		15	30	oskill	Holy Sword Strike	8	17	att		300	500	bar		2	2	pal		2	2	hp%		5	6	dmg%		100	300	oskill	Holy Shield	3	3	swing2		60	70						0
Crimson Balrog	35	35			0	1		1	1	32	40	clm	Claymore		5	5000	lred	lred						att-skill	Volcanic Strike	25	25	att		1000	1000	enr		20	35	extra-fire		20	40	bar		2	2	sor		4	4	dmg-fire		500	1000	dmg-max		100	100	dmg%		100	400	dmg-demon		200	200	oskill	Enchant	1	1	swing2		40	50		0
Kinemils Awl	36	36			0	0		1	1	46	23	gis	Giant Sword		5	5000	dblu			invgisu				sock		1	1	oskill	8	10	10	str		20	20	dmg-cold	75	14	14	vit		15	15	light		11	11	att		506	506	ac		152	304	swing2		75	75	dru		4	4	fire-min		36	36	fire-max		76	76		0
Colossus Of Cloud	37	37			0	1		1	1	52	61	bsw	Bastard Sword		5	5000	lgrn			invbswu				gethit-skill	Storm Totem	7	30	gethit-skill	Wind Strike	12	30	oskill	Storm Strike	20	25	pal		3	3	light		40	40	maxchainhits-stormstrike		3	3	att		500	1000	dmg%		200	400	swing2		20	70	hp		350	350	str		70	70	dex		70	70		0
Ripsaw	38	38			0	1		1	1	52	54	flb	Flamberge		5	5000	cblu	cblu						oskill	Volcanic Shout	3	3	oskill	Flame Cloak	12	12	ac		150	200	bar		3	3	sor		3	3	gethit-skill	Eldritch Fire	8	20	att		500	1000	dmg%		200	400	swing2		20	70	hp		350	350	str		40	50	str%		3	3		0
Corrupted Blade	39	39	1	1	0	1		20	1	91	91	gsd	Great Sword		5	5000	blac	blac		invgsdu				ease		60	60	sock		1	1	prop-swordsplosioncdr		1	1	oskill	Swordsplosion	18	18	att-skill	Zantetsuken	25	40	att		400	400	swing2		20	40	bar		2	2	prop-dmgtomeleeexplosion		30	40	prop-Torment		1	2										0
Gouge	40	40			0	1		1	1	9	12	dgr	Dagger		5	5000	lgry	lgry						dex		1	30	oskill	Ghostly Daggers	1	3	oskill	Knife Mastery	1	3	oskill	Hells Knife	1	3	att-skill	Bloodborne	20	12	dmg%		100	300	att		100	600	nec		1	1																		0
The Diggler	41	41			0	1		1	1	22	24	dir	Dirk		5	5000	dgry	dgry						sock		1	1	dex		1	50	res-all		1	50	att-skill	Razor Winds	15	11	nec		1	2	dmg%		100	300	att		100	600	att-skill	Frigid Winds	18	15																		0
The Jade Tan Do	42	42			0	1		1	1	39	42	kri	Kris		5	5000	oran			invkrsu				sock		1	1	block		20	20	move2		10	30	dmg-norm		50	100	att%		100	150	nofreeze		1	1	dmg%		100	400	dex		20	50	hp		150	150	oskill	Evade	6	6	swing2		20	60	oskill	Stonefist	3	3		0
Irices Shard	43	43			0	1		1	1	51	54	bld	Blade		5	5000	dblu	dblu						sock		1	1	dex		1	100	res-all		1	50	att-skill	Razor Winds	15	11	prop-dmgtowind		40	40	att-skill	Snowball	15	11	extra-cold		30	40	nec		3	3	oskill	Knife Mastery	3	3	oskill	Frostborne	7	7	swing2		20	50	gethit-skill	Frigid Winds	10	12		0
Nine Dragons	44	44			0	1		1	1	16	24	spr	Spear		5	5000	dpur	dpur						ease		40	70	oskill	Enchant	3	5	ama		2	2	dmg-fire		400	500	att%		50	100	prop-dmgtowind		30	60	oskill	Wind Strike	3	3	att-skill	Volcanic Strike	15	20	hp		150	150	dmg-demon		200	200	swing2		30	60	str		40	50		0
Golden Ray	45	45			0	1		1	1	22	27	tri	Trident		5	5000	dgld	dgld		invtriu				sock		1	1	oskill	Warrior of Light	15	15	balance2		40	60	swing2		40	70	dmg%		400	500	light		10	50	hp		150	300	att-skill	Judgement Cross	20	15																		0
Bloodthief	46	46			0	1		1	1	34	38	brn	Brandistock		5	5000	whit	whit						sock		1	1	all-stats		20	30	cast2		20	45	swing2		20	45	dmg%		200	400	mana		500	700	hp		200	350	att		900	900	gethit-skill	Blood Nova	15	20	lifesteal		25	25										0
Variable Pierce	47	47			0	1		1	1	45	50	spt	Spetum		5	5000	lred	lred						prop-dmgtofragment		40	40	prop-dmgtohoming		40	40	prop-dmgbombardment		40	40	prop-dmgtochained		40	40	prop-dmgtomeleeexplosion		40	40	prop-dmgtonova		40	40	prop-dmgtomultishot		40	40	prop-dmgtowind		40	40	prop-dmgtoearth		40	40	prop-dmgtoholy		40	40	prop-dmgtotrap		40	40	prop-dmgtosummon		40	40		0
Teslas Point	48	48			0	1		1	1	62	70	pik	Pike		5	5000	dyel	dyel						dmg%		200	500	extra-ltng		30	30	ease		50	50	prop-dmgtohoming		30	60	gethit-skill	Lightning Fury	12	30	ac		200	500	att		500	1000	att%		200	300	cast2		60	70	ama		4	4	str		50	80						0
Forecast	49	49			0	1		1	1	16	16	bar	Bardiche		5	5000	blac	blac						dmg%		200	300	prop-dmgtowind		10	40	oskill	Polearm Mastery	1	3	att		100	300	gethit-skill	Wind Strike	15	15	mana		100	300	ac		100	150	dex		10	20	att%		50	100	swing2		10	40	dru		1	1	oskill	Sweeping Gale	1	2		0
Steelgoad	50	50			0	1		1	1	35	40	vou	Voulge		5	5000	cgrn	cgrn						dru		3	3	prop-dmgtoearth		20	60	oskill	Guardian Of Earth	3	3	att		100	700	gethit-skill	Volcanic Shout	15	20	prop-dmgtohoming		20	40	ac		800	1000	att		1000	1000	att%		200	300	swing2		10	60	cast2		10	60	oskill	Strength Of Nature	3	3		0
Brothers Grim	51	51			0	1		1	1	40	45	scy	Scythe		5	5000	dgry			invscyu				nec		4	4	all-stats		50	60	cast2		30	60	gethit-skill	Bloodstream	33	25	prop-bloodskilldamage		70	80	dmg%		500	500	oskill	Weaken	15	15	oskill	Bloodstream	3	3	oskill	Bloodborne	3	3	lifesteal		50	50	oskill	Shaman Strike	14	14						0
The Battlebranch	52	52			0	0		1	1	51	25	pax	Poleaxe		5	5000	lblu	lblu						sock		1	1	thorns		33	33	skilltab	11	5	5	dex		63	63	res-fire		58	58	reduce-ac		12	12																										0
Hell Skewer	53	53			0	1		1	1	57	73	hal	Halberd		5	5000	lred	lred						oskill	Molten Smash	3	3	att-skill	Molten Smash	33	36	swing2		30	50	ac		1400	1400	extra-fire		40	70	prop-dmgtomeleeexplosion		30	120	dru		4	4	gethit-skill	Volcanic Shout	18	28	att%		200	300	att		1000	1000	att-skill	Frigid Winds	10	15	oskill	Guardian Of Earth	3	3		0
The Grim Reaper	54	54			0	1		1	1	58	60	wsc	War Scythe		5	5000	lpur	lpur						oskill	Skeleton Sentry	3	3	oskill	FireGolem	3	3	swing2		30	50	ac		1400	1400	prop-dmgtosummon		30	50	prop-dmgtounholy		30	50	enr%		4	4	gethit-skill	Spirit Circle	10	25	cast2		50	60	oskill	Spirit Circle	3	3	kill-skill	Spirit Circle	4	20	str		30	40		0
Crumbling Cane	55	55			0	1		1	1	5	12	sst	Short Staff		5	5000	blac	blac						sock		1	1	mana		300	300	res-all		40	50	ac		150	200	dmg-max		20	20	manasteal		10	10	gethit-skill	Weaken	15	10	oskill	Bloodborne	5	5	dex		30	30	str		25	25										0
Serpent Lord	56	56			0	1		1	1	18	20	lst	Long Staff		5	5000	cgrn	cgrn						sock		1	1	enr		20	70	oskill	Unstable Current	15	15	att-skill	Lightning Orb	6	18	dmg-max		80	80	oskill	Vengence	10	10	vit		20	20	oskill	Lightning Speed	3	3	sor		2	2														0
Thermomagnetic Stave	57	57			0	1		1	1	23	27	cst	Gnarled Staff		5	5000	lgry	dyel	dyel	invcstu				sock		1	1	oskill	Lightning Rod	2	3	oskill	Lightning Orb	3	3	att-skill	Lightning Orb	12	12	gethit-skill	Lightning Rod	20	15	ac		150	400	vit		20	20	oskill	Ice Queen	2	3	swing3		20	50	dmg-max		40	50	ease		40	50						0
Ullrs Warstaff	58	58			0	1		1	1	42	45	bst	Battle Staff		5	5000	dred	dred						ac%		200	300	sor		3	3	swing2		40	40	prop-projectilestoiceshard		1	1	oskill	Ice Shard	20	20	gethit-skill	Ice Shard	12	25	vit		20	20	ac		125	400	extra-cold		10	40	hp		250	400	mana		400	600	res-cold-max		3	8		0
Cypress	59	59			0	1		1	1	60	60	wst	War Staff		5	5000	dyel	dyel						att-skill	Bloodstream	30	20	att-skill	Weaken	10	18	dmg%		300	300	ac		800	1000	hp		300	400	swing2		20	60	nec		3	5	oskill	Toxic Gases	20	20																		0
Evergreen	60	60			0	1		1	1	6	12	sbw	Short Bow		5	5000	cblu	cblu						att		200	250	ama		1	2	dex		20	25	prop-arrowpower		5	5	enr		15	30	dmg%		100	300	oskill	Ravager	2	5	reduce-ac		5	10																		0
Boreas Shot	61	61			0	1		1	1	16	25	hbw	Hunter\92s Bow		5	5000	lred	lred						dmg%		200	300	hit-skill	Wind Strike	10	15	gethit-skill	Wind Strike	10	15	prop-dmgtowind		10	60	hit-skill	Lightning Speed	10	12	prop-arrowpower		5	5	ama		1	2	hp		50	200	aura	Agility	4	4	str		10	40	ease		10	50						0
Rimeraven	62	62			0	1		1	1	30	15	lbw	Long Bow		5	5000	dred	dred						sock		1	1	lifesteal		40	40	hp		250	250	dmg%		511	511	res-fire-max		10	10	res-cold-max		8	8	enr		40	40	move3		50	50																		0
Death Whisper	63	63			0	1		1	1	25	32	cbw	Composite Bow		5	5000	cred			invcbwu				hit-skill	Brain Grenade	12	17	lifesteal		10	10	dmg%		250	350	prop-bloodskilldamage		20	50	oskill	Bloodborne	1	7	prop-arrowpower		5	5	ama		1	1	move3		20	20	red-dmg		60	60	dex		20	30	ease		10	30						0
Nimbulus	64	64			0	1		1	1	25	35	sbb	Short Battle Bow		5	5000	whit	whit		invsbbu				oskill	Storm Cloak	5	12	prop-dmgtofragment		30	50	dmg%		250	350	hit-skill	Electrical Storm	8	14	extra-ltng		10	20	enr		10	20	att		350	600	move3		10	20	ama		1	1	dex		10	25	ease		10	50						0
Wizendraw	65	65			0	1		1	1	60	70	lbb	Long Battle Bow		5	5000	dgrn	dgrn						sor		4	4	oskill	Flaming Arrow	15	15	oskill	Frost Arrow	15	15	oskill	Lightning Arrow	15	15	prop-arrowpower		5	5	oskill	Flame Cloak	3	3	att		350	600	move3		50	50	enr%		5	5	prop-maxmultiarrow		2	2	ease		50	50						0
Hellclap	66	66			0	0		1	1	54	27	swb	Short War Bow		5	5000	cgrn			invswbu				sock		1	1	mana		86	86	death-skill	Meteor	100	45	res-all		34	34	dmg%		511	511	att		283	283	regen-stam/lvl	2			ease		-39	-39	ac		43	43	res-ltng		35	35	red-dmg		12	12	move3		79	79		0
Rotten Splinter	67	67			0	1		1	1	57	60	lwb	Long War Bow		5	5000	dgrn	lyel						ama		4	4	hit-skill	Poison Vials	10	15	hit-skill	Chi Burst	10	15	res-all		60	60	oskill	Corrosion	5	5	oskill	Venom	8	8	att		1000	1000	move3		50	50	red-dmg		100	100	dex%		6	6	gethit-skill	Festering Claw	10	15	dmg-pois	25	2500	2500		0
Leadcrow	68	68			0	1		1	1	10	13	lxb	Light Crossbow		5	5000	dyel			invlxbu				sock		1	1	oskill	Lightning Speed	5	6	dmg%		250	400	dmg-ltng		300	500	move2		30	50	dex		20	40	enr		20	40																						0
Marked For Dead	69	69			0	1		1	1	36	40	mxb	Crossbow		5	5000	lgld			invmxbu				dmg%		300	500	oskill	Bloodborne	3	3	att		600	800	hit-skill	Brain Grenade	5	25	oskill	Barrage	3	3	gethit-skill	Brain Grenade	10	15	death-skill	Blood Geysers	100	40	ease		20	20	lifesteal		18	18	swing2		30	60										0
Deadmans Crosseye	70	70			0	1		1	1	36	40	hxb	Heavy Crossbow		5	5000	dgld			invhxbu				hit-skill	Spirit Circle	10	15	swing1		20	70	prop-dmgtochained		30	50	oskill	Ricochet	3	3	nec		2	2	dex		30	30	vit		20	20	ease		30	30	lifesteal		18	18	oskill	Bloodborne	3	3	gethit-skill	Eldritch Fire	15	20	att		600	700		0
Shattered Dreams	71	71			0	1		1	1	60	69	rxb	Repeating Crossbow		5	5000	cblu	cblu		invrxbu				extra-cold		30	70	nec		3	3	sor		3	3	gethit-skill	Avalanche	26	30	prop-increasedtargetstoavalanche		3	3	cast2		80	80	oskill	Avalanche	16	16	hp		350	400	mana		700	800	aura	Holy Freeze	9	9	ease		90	90						0
War Bonnet	72	72			0	1		1	1	6	9	cap	Cap		5	5000	dpur			invcapu				sock		1	1	allskills		1	1	swing2		25	35	all-stats		15	25	dmg%		1	200																														0
Tarnhelm	73	73			0	1		1	1	10	15	skp	Skull Cap		5	5000	oran	oran						ass		1	1	oskill	Combination Strike	3	3	swing2		25	30	gethit-skill	Mind Blast	12	8	oskill	Dispersion Strike	3	3	ac		25	60																										0
Coif of Decay	74	74			0	1		1	1	12	24	hlm	Helm		5	5000	whit			invhlmu				sock		1	1	nec		1	1	mag%		0	20	att		150	300	half-freeze		1	1	ac		25	75	ease		40	40	hp		100	120	prop-dmgtounholy		30	40	aura	Conviction	3	3	gethit-skill	Spirit Circle	10	8						0
Duskdeep	75	75			0	1		1	1	27	30	fhl	Full Helm		5	5000	dyel			invfhlu				sor		2	2	oskill	Lightning Rod	3	3	swing2		25	35	aura	Agility	3	3	extra-ltng		30	40	gethit-skill	Lightning Orb	9	15	ease		40	40	hp		150	200	prop-dmgtomeleeexplosion		40	50	aura	99	3	3	att-skill	Lightning Rod	8	25						0
Akans Braincage	76	76			0	1		1	1	38	40	bhm	Bone Helm		5	5000	lgrn			invbhmu				nec		2	2	oskill	Spirit Circle	2	3	prop-dmgtofragment		30	50	enr		10	30	ac		350	400	cast2		10	30	move2		10	20	ease		30	30																		0
Nocturne	77	77			0	1		1	1	45	50	ghm	Great Helm		5	5000	dgry	dgry						sock		1	1	oskill	Holy Spearit	2	3	prop-dmgtoholy		30	50	all-stats		10	40	red-dmg		60	100	pal		1	1	ama		1	1	reduce-ac		12	12																		0
Leoric's Crown	78	78	1	1	100	0		20	1	91	91	crn	Crown		5	5000	blac	blac						sock		3	3	cast2		50	60	allskills		3	3	all-stats		10	35	red-dmg		60	100	dr%		50	100	mdr%		50	100	res-all		40	50																		0
The Face of Horror	79	79			0	1		1	1	45	45	msk	Mask		5	5000	lblu	lblu						sock		1	1	dmg-norm		100	100	dmg%		250	250	gethit-skill	Mind Blast	12	30	dex%		2	2	str%		2	2	oskill	Claw Mastery	3	3	ass		2	2	oskill	Shadow Claw	3	3	swing2		20	30	extra-pois		12	20	oskill	Venom	3	3		0
Survival Vest	80	80			0	1		1	1	15	20	qui	Quilted Armor		5	5000	lgry	lgry						hp%		8	13	dex		5	45	str		25	45	dmg-max		50	80	ac		75	100	gethit-skill	Fade	10	7	lifesteal		4	9	oskill	Dodge	3	3																		0
Jungle Garb	81	81			0	1		1	1	18	22	lea	Leather Armor		5	5000	lgrn	dred						oskill	Flaming Spears	2	3	prop-dmgtofragment		20	30	oskill	Spear Maiden	2	3	dmg-max		50	80	ac		50	75	hp		100	150	lifesteal		4	9	oskill	Dodge	3	3	res-all		20	30	ama		1	1										0
The Centurion	82	82			0	1		1	1	28	30	hla	Hard Leather		5	5000	cred	cred						sock		1	1	light		10	10	dmg-fire		75	75	ama		1	1	ac%		345	345	gethit-skill	44	12	10	abs-fire%		33	33	res-cold		123	123	res-all	0	15	15	res-fire	0	123	123	pal		3	3	lifesteal		22	22		0
Lower Council's Vest	83	83			0	1		1	1	20	28	stu	Studded Leather		5	5000	lgrn	lgrn						ama		1	1	dex		40	70	prop-dmgtomultishot		20	50	ac		100	150	move2		10	20	gethit-skill	Intimidation	8	20	oskill	Bloodborne	2	6	hp		100	150	nec		2	2	res-all		20	30										0
Skadi's Shelter	84	84			0	1		1	1	20	29	rng	Ring Mail		5	5000	lblu	lblu						hit-skill	Skadi's Spear	5	15	cold-min		400	400	oskill	Frostborne	4	6	att		200	400	oskill	Skadi's Spear	3	3	balance2		15	40	lifesteal		15	27	att%		50	50																		0
Purity Wear	85	85			0	1		1	1	25	30	scl	Scale Mail		5	5000	cgrn	cgrn						sock		1	1	oskill	Heavens Fury	3	3	aura	Conviction	6	6	dmg-max		50	50	pal		1	1	gethit-skill	Shotgun Bolts	5	15	light		10	30	ac		300	300																		0
Sparking Mail	86	86			0	1		1	1	30	32	chn	Chain Mail		5	5000	lyel	lyel						prop-dmgtochained		60	60	oskill	Snowball	2	3	oskill	Volcanic Strike	2	3	oskill	Bone Spikes	2	3	oskill	Ricochet	2	3	sor		2	2	nec		2	2	ac		125	300	att		300	400	hp		100	150	gethit-skill	Weaken	10	12	lifesteal		10	10		0
Venomsward	87	87			0	1		1	1	40	50	brs	Breast Plate		5	5000	dyel	dyel						sock		1	1	res-pois-max		8	8	extra-pois		50	50	oskill	Venom	10	10	att-skill	Acid Cloud	12	15	lifesteal		20	20	lifesteal		4	9																						0
Iceblink	88	88			0	1		1	1	45	50	spl	Splint Mail		5	5000	lgld	lgld						att-skill	Teleport	25	10	oskill	Splitting Staff	3	3	gethit-skill	Mind Blast	10	10	oskill	Frostborne	12	12	ac		200	250	lifesteal		10	10	res-cold		70	80	att		400	500	extra-cold		40	50	sor		2	2	gethit-skill	Twin Peaks	10	20	half-freeze		1	1		0
