skill	*type	*Id	charclass	skilldesc	srvstfunc	srvdofunc	srvstopfunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	useServerMissilesOnRemoteClients	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	passivestate	passiveitype	passivereqweaponcount	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passivestat6	passivecalc6	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltstopfunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	KeepCursorStateOnKill	ContinueCastUnselected	ClearSelectedOnHold	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	localdelay	globaldelay	leftskill	rightskill	repeat	alwayshit	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	prgchargestocast	prgchargesconsumed	passive	progressive	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	calc6	*calc6 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	Param9	*Param9 Description	Param10	*Param10 Description2	Param11	*Param11 Description	Param12	*Param12 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add	*eol
Rocksplit	melee explosion, earth	443	bar	rocksplit	39	11													rocksplitmissle	rocksplitmissle	rocksplitmissle				attackbuffstate			9	dmgtofragment	lvl*2																																																																19						rocksplitmissle	rocksplitmissle	rocksplitmissle										1	8		h2h		mace	club	axe								A1	A1	xx				1		1	1								1		1			1									6	35														1	1					1	8	16	2	1											1		50				0				stat('rockstr'.accr)*(stat('strength'.accr)/4)	leg syn					1		1																		1	100	30						8		79	94	184	212	245	302	198	108	198	227	274	346	stat('dexterity'.accr) + stat('dmgtomeleeexplosion'.accr) + stat('dmgtoearth'.accr) + clc6 + (stat('physaxeskilldmg'.accr)*blvl)																						512	8000	0
Swordsplosion	fragment	444	bar	swordsplosion	13	29		1	11										swordsplosionmissle						thunderstorm		ln12																																																				sorceress_thunder_cast											light_cast_2						19				swordsplosionmissle				1								1	5		none												SC	SC	xx				1																1									12	35														0	1					1	8	0	0	1		1	1	clc6							2										50/(1 +stat('swordsplosioncdr'.accr))	leg syn	3600	Buff Duration baseline	600	Buff Duration per level	10	Periodic Damage Rate Min	100	Periodic Damage Rate Multiplier	0	Min % reduction of periodic damage rate	1	Max % reduction of periodic damage rate	6	Radius											1					128			8		79	94	184	212	245	302	198	108	198	227	274	346	stat('dexterity'.accr) + stat('dmgtofragment'.accr)																						768	32000	0
Ravager		445	bar	ravager																																											rejuvinatestate			item_healafterkill	ln12	item_manaafterkill	ln34																																																											1	0		none												SC	SC	xx				1																									12	35														0	0					0	8	0	0	1								1															50	Stamina % baseline	20	Stamina % per level	20		10																		1								8																																				512	8000	0
Zantetsuken	bombardment, fragment	446	bar	zantetsuken	6	11		1											fallingswordmissle	fallingswordmissle	fallingswordmissle																																																																					cast_slowmissiles				84						fallingswordmissle	fallingswordmissle	fallingswordmissle										1	7		h2h		swor										A1	A1	xx				1		1	1								1		1			1						paladin_holybolt_cast			20	35														1	1					1	8	20	2	1											1										stat('zansyn'.accr)*skill('Blade Mastery'.blvl)																										1	100	30						8		78	92	182	213	243	303	197	108	197	227	273	345	stat('dexterity'.accr) + stat('dmgtofragment'.accr) + stat('dmgbombardment'.accr) + clc6																						384	3000	0
Leap Attack 		143		leap attack 	41	78													leapattack				bash																																																							1		barbarian_leapattack_1													30	44						leapattack												1	6		none		mele										SQ	A1	xx	14		1	1	4	1											1												18	35														1	1					1	8	10	0	1											ln34+skill('Leap'.blvl)*par8	Damage %	par7	Leap Speed %			0	% Damage Dealt as Elemental									200	Damage % baseline	30	Damage % per level	12	Minimum Airborn Frames			175	Leap Speed %	10	Damage synergy									1	100	20						8	128	78	92	182	213	243	303	197	108	197	227	273	345	stat('item_fastermovevelocity'.accr) + stat('item_fasterattackrate'.accr)																						640	16000	0
Forcewave	earth, chained	451	bar	forcewave	10	14													swordcyclone	swordcyclone	swordcyclone							par1																																																																								swordcyclone	swordcyclone	swordcyclone										1	8		h2h		mace	club	axe								A1	A1	xx				1		1	1								1		1			1									12	35														1	1					1	8	10	2	1											11	Range of Bolt Missiles	dm34 + stat('forcewavemaxchainhits'.accr)	# of target jump hits			0	% Damage Dealt as Elemental (Used only if there is an Etype)			stat('rockstr'.accr)*(stat('strength'.accr)/4)		11	Radius of jump to next target			2	# of target jump hits baseline	7	# of target jump hits per level																	1	100	30						8		79	94	184	212	245	302	198	108	198	227	274	346	stat('dexterity'.accr) + stat('dmgtochained'.accr) + stat('dmgtoearth'.accr) + clc6 + (stat('physaxeskilldmg'.accr)*blvl)																						256	1000	0
Frostborne		447	bar	frostborn		25																			frostbornstate		ln12		coldmindam	enma	coldmaxdam	exma	tohit	blvl*75	passive_cold_pierce	(blvl)*clc6																																											sorceress_enchant																																	1	0		none												SC	SC	xx																				1			1			sorceress_enchant			18	35														1	1					1	8	50	2	1	1																				stat('coldrrtoFB'.accr)	leg syn	3600	Buff Duration baseline	600	Buff Duration per level	33	% Damage for Ranged Weapons									9	Damage synergy									1								8															cold	84	16	37	59	80	100	106	27	47	68	90	111	stat('energy'.accr) + stat('enchantfrostborneLSdmg'.accr)	50					1		640	16000	0
Electrical Storm	homing	449	bar	electrical storm		10													homingthundercontrol	homingthundercontrol								ln34																																																			sorceress_cast_fire											fire_cast_1				18						homingthundercontrol												1	2		none												SC	SC	xx				1													1			1						sorceress_cast_fire			14	35														1	1					1	8	20	2	1											ln12 + stat('electricalstormtargets'.accr)	# of missles created									stat('dmgtowind'.accr)*(stat('eswind'.accr))	leg syn	5		0		12		0																		1								8		26	31	61	71	81	101	66	36	66	76	91	115	stat('dexterity'.accr) + stat('dmgtohoming'.accr) + clc6	ltng	218	113	139	167	193	218	270	126	154	178	206	231	stat('energy'.accr) + stat('dmgtohoming'.accr) + clc6								256	1000	0
Frenzy		147	bar	frenzy	67	9																			frenzy		par7+skill('Increased Stamina'.blvl)*10		velocitypercent	dm34	attackrate	dm56																																																														39																		1	3		h2h	3	mele					mele					SQ	A1	xx	11			1		1	1								1		1												24	35														1	1					1	8	10	1												ln12+(skill('Double Swing'.blvl) + skill('Taunt'.blvl))*par8	Damage %					skill('Berserk'.blvl)	% Damage Dealt as Elemental (Used only if there is an Etype)					90	Damage % base	5	Damage % per level	20	Velocity % Min	200	Velocity % Max	0	Attack Speed % Min	50	Attack Speed % Max	150	Duration	8	Damage synergy									1	100	7						8	128														mag																					768	32000	0
Fundamentals		548	bar	fundamentals																																											fundamental			strength	10 + (blvl*5)	dexterity	10 + (blvl*5)	item_armor_percent	40 + (blvl*10)	normaldrpercent	1 + (blvl/2)																																																							1	0		none												SC	SC	xx				1																									16	35														0	0					0	8	0	0	1								1															7	Velocity %	50	Velocity % per level																					1								8																																				768	32000	0
Battle Orders		149	bar	battle orders		68													battleorders						battleorders	battleorders	ln12+(skill('Shout'.blvl)+skill('Battle Command'.blvl))*par8		item_maxmana_percent	10 + lvl	item_maxhp_percent	10 + lvl	skill_staminapercent	10 + lvl	maxfireresist	clc6	maxlightresist	clc6	maxcoldresist	clc6																																								barbarian_battleorders_1														25						battleorders				0	Missile Velocity Adder							1	9		none												SC	SC	xx				1																									24	35														1	1					1	8	50	3	1	1																				stat('bores'.accr)	leg syn	750	Duration baseline	250	Duration per level	35	HP Mana Stamina % baseline	3	HP Mana Stamina % per level							125	Duration synergy									1	50	10						8																																				768	32000	0
Intimidation		517	bar	intimidation		30													intimidationmissle					3		intimidationstate	75 + (blvl*2)	6 + (blvl/2)	damageresist	(-10 - (lvl/2))*clc6	attackrate	(-10 - (lvl/2))																																															necromancer_curse_cast														18	30						intimidationmissle												1	9		none												SC	SC	xx				1	4															1						necromancer_curse_cast			20	35												50		1	1					1	8	25	2	1																					(1 + stat('dblintimidate'.accr))	leg syn																									1								8																																				768	32000	0
Whirlwind		151	bar	whirlwind	38	76	1																		whirlwind																																																					1	barbarian_whirlwind														31	45	1																	1	3		none	2	mele										SQ	A1	xx	10		1			1									1														30	35														1	1					1	8	20	2												ln12	Damage %											30	Damage % baseline	5	Damage % per level																					1	50	5						8	128																																			896	64000	0
Hellfire	earth, multishot	453	bar	hellfire		102													twinaxemissle																																																												diablo_fire_cast											fire_cast_1				58						twinaxemissle												1	2		none												SC	SC	xx				1													1			1							SC		12	35														1	1					1	8	12	2	1											3 + clc6	# of Missiles created							stat('hfsyn'.accr)*skill('Arcane Warrior'.blvl)	leg syn	stat('hfproj'.accr)	leg syn																									1								8		26	31	61	71	81	101	66	36	66	76	91	115	stat('dexterity'.accr) + stat('dmgtoearth'.accr) + stat('dmgtomultishot'.accr) + clc5	fire	218	113	139	167	193	218	270	126	154	178	206	231	stat('energy'.accr) + stat('dmgtoearth'.accr) + stat('dmgtomultishot'.accr) + clc5								256	1000	0
Arcane Warrior		454	bar	arcane warrior		25																		73731	innerpowerstate		ln56		normal_damage_reduction	ln12	magic_damage_reduction	ln12	armorclass	ln34	passive_fire_pierce	clc6																																											sorceress_enchant																																	1	4		none												xx	xx	xx																				1			1			sorceress_enchant			20	35														0	1					1	8	100	2	1	1	1	1	500																	(blvl)*stat('awpierce'.accr)	leg syn	20	Resistance % Min	15	Resistance % Max	250		75																		1								8																																				896	64000	0
Baal Sword	bombardment	455	bar	baal sword		124													swordraincontrol	swordraincontrol	swordraincontrol				armageddon		ln12	par3																																																														teleport						92				swordraintail	swordrainrock			25	Missile Frames	30	Missile Fall Rate	9	Missile Slide Rate			1	0		none												SC	SC	xx				1	4															1									30	35								1						1	1					1	8	100	3	1																					stat('Bsfromsword'.accr)*skill('Swordsplosion'.blvl)		75	Duration baseline	0	Duration per level	6	Radius	2	Delay between Missiles created																	1								8		65	77	152	177	203	252	164	90	164	189	228	288	stat('dexterity'.accr) + stat('dmgbombardment'.accr) + clc6																						896	64000	0
Battle Command		155	bar	battle command		68													battlecommand						battlecommand	battlecommand	ln12+(skill('Shout'.blvl)+skill('Battle Orders'.blvl))*par8		item_allskills	par3																																																		barbarian_command_1														25						battlecommand				0	Missile Velocity Adder							1	9		none												SC	SC	xx				1																									30	35														0	1					1	8	12	2	1																							750	Duration baseline	250	Duration per level	1	Bonus to All Skills									125	Duration synergy									1								8																																				896	64000	0
Fire Hit		156			42	83																																																																																																										1	0		none												SQ	SQ	xx				1																									1															0	0									1																																															1	20	10						8																																					0	0
UnHolyBolt		157				85													unholybolt1																																																																																unholybolt1													1	0		none												SQ	SQ	xx																													1															0	0									1																																															1								8																																					0	0
SkeletonRaise		158																																																																																																														1	0		none												SQ	SQ	xx								1	1		1																		1															0	0									1																																															1								8																																					0	0
MaggotEgg		159			43	84																																																																									sandmaggotegg_hatch_1															46																		1	0		none												SQ	SQ	xx																													1															0	0									1											"(lvl < 5) ? lvl : min(12,5+(lvl-5)/3)"	# of units to spawn																																			1								8																																					0	0
ShamanFire		160				85													shafire1																																																																																													1	0		none												SQ	SQ	xx																													1															0	0									1																																															1								8																																					0	0
MagottUp		161			44																																																																										sandmaggot_emerge														32							dirt pile	sand pile											1	0		none												SQ	SQ	xx																													1															0	0									1																																															1								8																																					0	0
MagottDown		162			45	86																																																																									sandmaggot_burrow														33	47																		1	0		none												SQ	SQ	xx																													1															0	0									1											10	HP % Healed																																			1								8																																					0	0
MagottLay		163				87																																																																																																										1	0		none												SQ	SQ	xx																													1															0	0									1																																															1								8																																					0	0
AndrialSpray		164			46	88													andarielspray																																																																										34	48						andarielspray												1	0		none												SQ	SQ	xx																													1															0	0									1																																															1								8																																					0	0
Jump		165			47	89																																																																																																										1	0		none												SQ	SQ	xx																													1															0	0									1											10	Damage %																																			1	15	5						8																																					0	0
Swarm Move		166			48	90																																																																																							35	49																		1	0		none												SQ	SQ	xx																													1															0	0									1											11	Anim Sequence Start Frame	19	Anim Sequence Stop Frame																																	1								8																																					0	0
Nest		167			49	91																																																																																							36	50																		1	0		none												SQ	SQ	xx																													1															0	0									1																																															1								8																																					0	0
Quick Strike		168			50	92													raven1																																																																																													1	0		none												SQ	SQ	xx							1																						1															0	0									1																																															1								8																																					0	0
VampireFireball		169														vampirefireball																																																																																			vampirefireball													1	0		none												SQ	SQ	SC																													1															0	0									1																																															1								8																																					0	0
VampireFirewall		170				24													vampirefirewallmaker	vampirefirewall																																																																										26						vampirefirewallmaker												1	0		none												SQ	SQ	SC																													1															0	0									1											par1	# of max Fire Walls (oldest is removed when the limit is hit)											0	# of max Fire Walls (oldest is removed when the limit is hit)																							1																																													0	0
VampireMeteor		171				28													vampiremeteorcenter									ln12																																																							sorceress_meteor							fire_cast_2				28						vampiremeteorcenter												1	0		none												SQ	SQ	SC																													1															0	0									1											ln12	Explosion Radius											5	Explosion Radius baseline	1	Explosion Radius per level	30	Duration of ground fire baseline	15	Duration of ground fire per level																	1								8															fire	5	5	5	5	5	5	10	5	5	5	5	5										0	0
GargoyleTrap		172				93													shafire3																																																																											51						shafire3												1	0		none												SQ	SQ	xx	18																												1															0	0									1																																															1								8																																					0	0
SpiderLay		173				23													spidergoolay						spiderlay	slowed	300		velocitypercent	-100																																																																						spidergoolay												1	0		none												SQ	SQ	A2																													1															0	0									1																	20	Frames to apply aura to target					30	Slow Duration per level	75	Buff Duration per level																					1								8																																					0	0
VampireHeal		174																																																																																																														1	0		none												SQ	SQ	SC																													1															0	0									1																																															1								8																																					0	0
VampireRaise		175																																																																																																														1	0		none												SQ	SQ	SC							1	1	1		1																		1															0	0									1																																															1								8																																					0	0
Submerge		176			51	94																																																																																							37	52																		1	0		none												SQ	SQ	xx																													1															0	0									1																																															1								8																																					0	0
FetishAura		177				111																						ln12																																																			necromancer_curse_1															53						curseeffectred				3	Missile Density							1	0		none												SQ	SQ	SC																													1															0	0									1																							10	Attack Speed % baseline	50	Duration baseline & per level	5	Attack Speed % per level	10	Radius baseline (+2 per level)																	1								8																																					0	0
FetishInferno		178			53	95													fetishinferno1																																																																										54	54						fetishinferno1	fetishinferno2											1	0		none												SQ	SQ	A1																													1															0	0									1											0	"Missile Range (If 0, then use Missile Param2)"	par1	Anim Frame Adder (Min=1)	3	Anim Frame Density (Min=1)							15	Anim Frame Adder (Min=1)																							1								8																																					0	0
ZakarumHeal		179				96																	receiving																																																															receiving				healing																						1	0		none												SQ	SQ	S1																													1															0	0									1											15+5*lvl	Heal % Min	50	Heal % Max																																	1								8																																					0	0
Emerge		180			52																																																																																								38																			1	0		none												SQ	SQ	S1																													1															0	0									1																																															1								8																																					0	0
Resurrect		181				97																																																																									fallenshaman_resurrect_cast											healing			39																			1	0		none												SQ	SQ	xx							1	1	1		1					1													1															0	0									1																																															1								8																																					0	0
Bestow		182				96																	receiving																																																															receiving				healing																						1	0		none												SQ	SQ	xx							1																						1															0	0									1											15+5*lvl	Heal % Min	50	Heal % Max																																	1								8																																					0	0
MissileSkill1		183				110																																																																																								66																		1	0		none												SQ	SQ	S1																													1															0	0									1																																															1								8																																					0	0
MonTeleport		184				98																																																																									sorceress_teleport											teleport																						1	0		none												SQ	SQ	S1																													1															0	0									1																																															1								8																																					0	0
PrimeLightning		185														monsterlight																																																															mephisto_lightning_cast																				monsterlight													1	0		none												SQ	SQ	A2																													1															0	0									1																																															1								8																																					0	0
PrimeBolt		186				17													chargedstrikebolt																																																												mephisto_chargedbolt_cast															23						chargedbolt												1	0		none												SQ	SQ	A1																													1															0	0									1											lvl+2	# of Bolt Missiles created																																			1								8																																					0	0
PrimeBlaze		187				23													blaze						blaze		dm12																																																				monster_cast_fire																				blaze													1	0		none												SQ	SQ	A1																													1															0	0									1																							0	Buff Duration Min	60	Buff Duration Max																					1								8																																					0	0
PrimeFirewall		188				24													vampirefirewallmaker	vampirefirewall																																																											monster_cast_fire															26						vampirefirewallmaker												1	0		none												SQ	SQ	A1																													1															0	0									1											par1	# of max Fire Walls (oldest is removed when the limit is hit)											0	# of max Fire Walls (oldest is removed when the limit is hit)																							1								8																																					0	0
PrimeSpike		189														monglacialspike											ln12	ln34																																																			monster_cast_cold																				monglacialspike													1	0		none												SQ	SQ	A1																													1															0	0									1																							4	Radius baseline	0	Radius per level	25	Freeze frames baseline	10	Freeze frames per level																	1								8																																					0	0
PrimeIceNova		190				22													frostnova																																																												monster_cast_cold															25						frostnova				0	Missile Velocity Adder							1	0		none												SQ	SQ	A1																													1															0	0									1											0	Missile Velocity Adder																																			1								8																																					0	0
PrimePoisonball		191				8													poisonball																																																												mephisto_orb_cast															17						poisonball												1	0		none												SQ	SQ	A1																													1															0	0									1											"min(ln12,24)"	# of Missiles created	par3	Missile Activation Frame	0	# of missiles that can trigger item modifier events							3	# of Missiles created baseline	0	# of Missiles created per level	1	Missile Activation Frame																			1								8																																					0	0
PrimePoisonNova		192				99													primepoisoncloud																																																																											55						primepoisoncloud												1	0		none												SQ	SQ	A1																													1															0	0									1											lvl-1	# of Missile Subloops	2	Missiles Created Modifier (used as 16/#=Total Missiles created) (Min=1)																																	1								8																																					0	0
DiabLight		193			53	152													diablight																																																												diablo_laser_cast														40	56						diablight				0	Delay between Missiles created							1	0		none												SQ	SQ	SC																													1															0	0									1	1										0	"Missile Range (If 0, then use Missile Param2)"	par1	Anim Frame Adder (Min=1)	2	Missile Frame Density (Min=1)							40	Anim Frame Adder																							1								8																																					0	0
DiabCold		194				100																																																																									diablo_cold_cast																																	1	0		none												SQ	SQ	S2																													1															0	0									1	1																								200	Frames																					1								8															mag	15	9	9	9	9	9	25	12	12	12	12	12		100	50	50	50					0	0
DiabFire		195				22													diabfire																																																												diablo_fire_cast															25						diabfire				0	Missile Velocity Adder							1	0		none												SQ	SQ	S1																													1															0	0									1	1										0	Missile Velocity Adder																																			1								8																																					0	0
FingerMageSpider		196				101													fingermagespider							fingermagecurse	ln12		manarecovery	-par3 * lvl																																																	fingermage_bolt_cast_1															57						fingermagespider												1	0		none												SQ	SQ	S1																													1															0	0									1											lvl-1	# of Missile Subloops											30	Duration for Mana drain baseline	10	Duration for Mana drain per level	24	Mana Recovery % Reduction																			1								8																																					0	0
DiabWall		197		firestorm		102													diabwallmaker																																																												diablo_fire_cast															58						diabwallmaker												1	0		none												SQ	SQ	S1																				1									1															0	0									1	1										lvl	# of Missiles created																																			1								8																																					0	0
DiabRun		198			54	103																																																																									diablo_run														41	59																		1	0		none												SQ	SQ	xx	22																												1															0	0									1	1										20	Velocity %											8	Anim Run Stop Frame Length	14	Anim Run Stop Event Frame	5	Anim Run Start Event Frame	13	Anim Run Loop Repeat Event Frame	16	Anim Run Loop Frame Length	6	Anim Run Loop Start Event Frame													1				5				8		17	9	9	9	9	9	33	9	9	9	9	9																								0	0
DiabPrison		199				104																																																								boneprison1	none																diablo_boneprison_rise																																	1	0		none												SQ	SQ	S3																													1															0	0									1	1																																														1								8																																					0	0
PoisonBallTrap		200														trap poison ball left																																																																																			trap poison ball left													1	0		none												SC	SC	S1																													1															0	0									1																																															1								8		10	10	10	10	10	10	20	10	10	10	10	10																								0	0
AndyPoisonBolt		201														andypoisonbolt																																																																																			andypoisonbolt													1	0		none												SQ	SQ	A1																													1															0	0									1																																															1								8																																					0	0
HireableMissile		202				110																																																																																								66																		1	0		none												SQ	SQ	A1																													1															0	0									1																																															1								8																																					0	0
DesertTurret		203				105													desertfireball																																																																											60						desertfireball												1	0		none												SQ	SQ	xx	26																												1															0	0									1											3	# of Missiles created																																			1								8																																					0	0
ArcaneTower		204				106													lightningtowernova																																																												lightningorb_attack_1															61						lightningtowernova												1	0		none												SQ	SQ	xx	27																												1															0	0									1																																															1								8																																					0	0
MonBlizzard		205				28													monblizcenter																																																												monster_cast_cold											ice_cast_2				28						monblizcenter												1	3		none												SQ	SQ	S1																													1															0	0									1																																															1								8																																					0	0
Mosquito		206			55	107																																																																																							42	62																		1	0		none												SQ	SQ	xx	34																												1															0	0									1											4	# of Anim loops Min (1 loop = 1 frame)	7	# of Anim Frame loops Max (1 loop = 1 frame)	25	Heal % of current HP							12	Anim Repeat Start Frame																							1								8		2	2	2	2	2	2	4	2	2	2	2	2			2	3	3	3	3	3	4	3	3	3	3	3		200								0	0
CursedBallTrapRight		207														trap cursed skull right																																																																																			trap cursed skull right													1	0		none												SC	SC	S2																													1															0	0									1																																															1								8		10	5	5	5	5	5	20	5	5	5	5	5																								0	0
CursedBallTrapLeft		208														trap cursed skull left																																																																																			trap cursed skull left													1	0		none												SC	SC	S2																													1															0	0									1																																															1								8		10	5	5	5	5	5	20	5	5	5	5	5																								0	0
MonFrozenArmor		209				18																			frozenarmor		ln34		skill_armor_percent	ln12																																																	monster_cast_cold				sorceress_frozenarmor							ice_cast_3																						1	0		none												SQ	SQ	SC																													1															0	0									1																							30	Armor % baseline	5	Armor % per level	3600	Duration	300	Duration per level	30	Freeze Frames	3	Freeze Frames per level													1								8																																		1			0	0
MonBoneArmor		210				18																			bonearmor				bonearmor	ln12*256	bonearmormax	ln12*256																																															necromancer_bonearmor																																	1	0		none												SQ	SQ	S1																													1															0	0									1																							20	Damage absorbed baseline	10	Damage absorbed per level																					1								8																																					0	0
MonBoneSpirit		211				10													monbonespirit	monbonespirit																																																											monster_cast_fire															18						monbonespirit	monbonespirit											1	0		none												SQ	SQ	S1																													1															0	0									1											0	Damage %											15	Search range																							1								8																																					0	0
MonCurseCast		212				112																					ln34	ln12																																																																	18	30						curseeffectred		cursecast										1	5		none												SQ	SQ	S2																													1															0	0									1																							3	Radius baseline	1	Radius per level	300	Duration baseline	60	Duration per level	25	Resistance % reduction Min	70	Resistance % reduction Max	-50	Attack Speed % and Velocity %											1								8																																					0	0
HellMeteor		213				28													hellmeteordown																																																																										44																			1	4		none												SQ	SQ	A1																													1															0	0									1																																															1								8																																					0	0
RegurgitatorEat		214				108																																																																									regurgitator_eat_1															63						corpseexplosion	bigblood1											1	2		none												SQ	SQ	S1									1		1																		1															0	0									1											33	Heal % of target's max HP																																			1								8																																					0	0
MonFrenzy		215			64	109																			monfrenzy		ln12		velocitypercent	dm34	attackrate	dm34	other_animrate	dm34																																																																														1	3		none												SQ	SQ	A2				1		1	1																						1															0	0									1											0	Damage %											200	Duration baseline	25	Duration per level	30	Speed % Min	110	Speed % Max																	1	10	10						8	128																																				0	0
QueenDeath		216																																																																																												64																		1	0		none												SQ	SQ	xx	41																												1															0	0																																																								1								8																																					0	0
Scroll of Identify		217		scroll of identify		113																																																																																																											0		none												SC	SC	xx																													1									1						0	1										1									1																																					1								8																																					0	0
Book of Identify		218		book of identify		113																																																																																																											0		none												SC	SC	xx																													1									1						0	1										1									1																																					1								8																																					0	0
Scroll of Townportal		219		scroll of townportal		113																																																																																																											0		none												SC	SC	xx																													1									1						0	1																			1																																					1								8																																					0	0
Book of Townportal		220		book of townportal		113																																																																																																											0		none												SC	SC	xx																													1									1						0	1																			1																																					1								8																																					0	0
Frigid Winds		493	dru	frigid winds		30																		3		windpierce	125 + (blvl*2)	20 + (lvl/3)	velocitypercent	(-25) - (blvl/2) 	attackrate	(-25) - (blvl/2)	damageresist	(-1)*clc6																																													necromancer_curse_cast														18	30						fridgidwindmissle		fridgidwindmissle										1	9		none												SC	SC	SC					4															1						necromancer_curse_cast			1	35												50		1	1					1	8	20	2	1																					stat('windsdebuff'.accr)																										1								8																																				768	32000	0
Totem Mastery		494	dru	totem mastery																																											totemmaster			dmgtototem	lvl*3																																																													1	0		none												SC	SC	xx				1																									1	35														0	0					0	8	0	0	1								1															0	Resistance % Min	80	Resistance % Max																					1								8																																				896	64000	0
Bovine Barrier		501	dru	bovine barrier		25																			cowbuff		500		normal_damage_reduction	(blvl*12) + stat('energy'.accr)	magic_damage_reduction	(blvl*12) + stat('energy'.accr)	item_fasterattackrate	blvl	dmgtomeleeexplosion	(blvl)*clc6																																											sorceress_enchant																																	1	4		none												SC	SC	xx																				1			1			sorceress_enchant			1	35								2	bear					0	1					1	8	50	2	1	1																				stat('exptobovine'.accr)																										1								8																																		1		640	16000	0
Shape Shifting	ALSO COWS MIGHT	224	dru	shape shifting		25																			fundamental		100 + (skill( 'Moo Moo Martial Artist'.blvl)*200)		hpregen%	30 + (blvl*5)	strength	30 + (blvl*5)																																																																																1	0		none												SC	SC	xx				1																						sorceress_enchant			1	15								2	bear					1	1					0	8	10	0	1	1																																														1								8																																				256	1000	0
Molten Smash	melee explosion, earth	486	dru	molten smash	39	11													fireclubmissle	fireclubmissle	fireclubmissle				attackbuffstate			7	passive_cold_mastery	(blvl*2)*clc6	damagepercent	blvl*clc5																																																														19						fireclubmissle	fireclubmissle	fireclubmissle										1	5		h2h		blun	pole									A1	A1	xx				1		1	1								1		1			1									1	35														1	1					1	8	5	3	1											1	# of Bolt Missiles created	75				0	% Damage Dealt as Elemental (Used only if there is an Etype)	stat('strnat'.accr)		(1 + stat('smashbuff'.accr))	leg syn	1		1		1		1																		1	100	30						8															fire	52	61	121	142	162	202	131	72	131	151	182	230	stat('energy'.accr) + stat('dmgtomeleeexplosion'.accr) + stat('dmgtoearth'.accr)								640	16000	0
Strength Of Nature		495	dru	strength of nature																																											naturestrength			item_maxhp_percent	lvl																																																													1	0		none												SC	SC	xx				1																									6	35														0	0					0	8	0	0	1								1													stat('strnat'.accr)		0	Resistance % Min	80	Resistance % Max																					1								8																																				896	64000	0
