code	*order	*class	*used	*legendary	*Enabled	func1	stat1	set1	val1	func2	stat2	set2	val2	func3	stat3	set3	val3	func4	stat4	set4	val4	func5	stat5	set5	val5	func6	stat6	set6	val6	func7	stat7	set7	val7	*Tooltip	*Parameter	*Min	*Max	*Notes	*eol
light	74				1	1	item_lightradius																											+# to Light Radius		Min #	Max #		0
color	75				1	1	item_lightcolor	1																												Min #	Max #	Currently Not Used	0
ease	76				1	1	item_req_percent																											Requirements -#%		Min %	Max %		0
move1	77				1	8	item_fastermovevelocity																											+#% Faster Run/Walk		Min %	Max %		0
move2	78				1	8	item_fastermovevelocity																											+#% Faster Run/Walk		Min %	Max %		0
move3	79				1	8	item_fastermovevelocity																											+#% Faster Run/Walk		Min %	Max %		0
balance1	80				1	8	item_fastergethitrate																											+#% Faster Hit Recovery		Min %	Max %		0
balance2	81				1	8	item_fastergethitrate																											+#% Faster Hit Recovery		Min %	Max %		0
balance3	82				1	8	item_fastergethitrate																											+#% Faster Hit Recovery		Min %	Max %		0
block1	83				1	8	item_fasterblockrate																											+#% Faster Block Rate		Min %	Max %		0
block2	84				1	8	item_fasterblockrate																											+#% Faster Block Rate		Min %	Max %		0
block3	85				1	8	item_fasterblockrate																											+#% Faster Block Rate		Min %	Max %		0
cast1	86				1	8	item_fastercastrate																											+#% Faster Cast Rate		Min %	Max %		0
cast2	87				1	8	item_fastercastrate																											+#% Faster Cast Rate		Min %	Max %		0
cast3	88				1	8	item_fastercastrate																											+#% Faster Cast Rate		Min %	Max %		0
res-pois-len	89				1	1	item_poisonlengthresist																											Poison Length Reduced by #%		Min %	Max %		0
dmg	90				1	1	item_normaldamage																											Damage +#		Min #	Max #		0
howl	91				1	1	item_howl																											Hit Causes Monster to Flee #%		Min %/128	Max %/128		0
stupidity	92				1	1	item_stupidity																											Hit Blinds Target +#		Min #	Max #		0
ignore-ac	93				1	1	item_ignoretargetac																											Ignore Target's Defense		1	1		0
reduce-ac	94				1	1	item_fractionaltargetac																											-#% Target Defense		Min #	Max #		0
noheal	95				1	1	item_preventheal																											Prevent Monster Heal		1	1		0
half-freeze	96				1	1	item_halffreezeduration																											Half Freeze Duration		1	1		0
att%	97				1	1	item_tohit_percent																											#% Bonus to Attack Rating		Min %	Max %		0
dmg-ac	98				1	1	item_damagetargetac																											-# to Monster Defense Per Hit		Min #	Max #		0
dmg-demon	99				1	1	item_demondamage_percent																											+#% Damage to Demons		Min %	Max %		0
dmg-undead	100				1	1	item_undeaddamage_percent																											+#% Damage to Undead		Min %	Max %		0
att-demon	101				1	1	item_demon_tohit																											+# to Attack Rating against Demons		Min #	Max #		0
att-undead	102				1	1	item_undead_tohit																											+# to Attack Rating against Undead		Min #	Max #		0
throw	103				1	1	item_throwable																													1	1	Currently Not Used	0
fireskill	104				1	21	item_elemskill		1																									+# to Fire Skills		Min #	Max #		0
allskills	105				1	1	item_allskills																											+# to All Skills		Min #	Max #		0
light-thorns	106				1	1	item_attackertakeslightdamage																											Attacker Takes Lightning Damage of #		Min #	Max #		0
freeze	107				1	1	item_freeze																											Freezes Target +#		Min #	Max #		0
openwounds	108				1	1	item_openwounds																											#% Chance of Open Wounds		Min %	Max %		0
crush	109				1	1	item_crushingblow																											#% Chance of Crushing Blow		Min %	Max %		0
kick	110				1	1	item_kickdamage																											+# Kick Damage		Min %	Max %		0
mana-kill	111				1	1	item_manaafterkill																											+# to Mana after each Kill		Min #	Max #		0
demon-heal	112				1	1	item_healafterdemonkill																											+# Life after each Demon Kill		Min #	Max #		0
bloody	113				1	1	item_extrablood																													Min #	Max #	Visuals Only	0
deadly	114				1	1	item_deadlystrike																											#% Deadly Strike		Min #	Max #		0
slow	115				1	1	item_slow																											Slows Target by #%		Min #	Max #		0
nofreeze	116				1	1	item_cannotbefrozen																											Cannot Be Frozen		1	1		0
stamdrain	117				1	1	item_staminadrainpct																											#% Slower Stamina Drain		Min #	Max #		0
reanimate	118				1	24	item_reanimate																											Reanimate As: [Returned]	monstats.txt hcIdx	Min %	Max %		0
pierce	119				1	1	item_pierce																											Piercing Attack		Min %	Max %		0
magicarrow	120				1	1	item_magicarrow																											Fires Magic Arrows		Min #	Max #		0
explosivearrow	121				1	1	item_explosivearrow																											Fires Explosive Arrows or Bolts		Min #	Max #		0
Expansion	122																																						0
dru	123				1	21	item_addclassskills		5																									+# to Druid Skill Levels		Min #	Max #		0
ass	124				1	21	item_addclassskills		6																									+# to Assassin Skill Levels		Min #	Max #		0
skill	125				1	22	item_singleskill																											+# to [Skill] ([Class] only)	Skill	Min #	Max #		0
skilltab	126				1	10	item_addskill_tab																											+# to [Class Skill Tab] Skills	Class Skill Tab ID	Min #	Max #	"[Class Skill Tab ID] = (Amazon = 0-2, Sorceress = 3-5, Necromancer = 6-8, Paladin = 9-11, Barbarian = 12-14, Druid = 15-17,  Assassin = 18-20)"	0
aura	127				1	22	item_aura			24	item_aura_display																							Level # [Skill] Aura When Equipped	Skill	Min #	Max #		0
att-skill	128				1	11	item_skillonattack																											#% Chance to cast level # [Skill] on attack	Skill	"% Chance (If 0, then default to 5)"	Skill Level		0
hit-skill	129				1	11	item_skillonhit																											#% Chance to cast level # [Skill] on striking	Skill	"% Chance (If 0, then default to 5)"	Skill Level		0
gethit-skill	130				1	11	item_skillongethit																											#% Chance to cast level # [Skill] when struck	Skill	"% Chance (If 0, then default to 5)"	Skill Level		0
gembonus	131																																						0
regen-dur	132																																						0
fire-fx	133																																						0
ltng-fx	134																																						0
sock	135				1	14	item_numsockets																											Socketed (#)		Min #	Max #		0
dmg-fire	136				1	15	firemindam			16	firemaxdam																							Adds #-# Fire Damage		Min #	Max #		0
dmg-ltng	137				1	15	lightmindam			16	lightmaxdam																							Adds #-# Lightning Damage		Min #	Max #		0
dmg-mag	138				1	15	magicmindam			16	magicmaxdam																							Adds #-# Magic Damage		Min #	Max #		0
dmg-cold	139				1	15	coldmindam			16	coldmaxdam			17	coldlength																			Adds #-# Cold Damage	Length (Frames)	Min #	Max #	# of Frames (25 Frames = 1 Second)	0
dmg-pois	140				1	15	poisonmindam			16	poisonmaxdam			17	poisonlength																			Adds #-# Poison Damage Over # Seconds	Length (Frames)	Min #	Max #	# of Frames (25 Frames = 1 Second)	0
dmg-throw	141				1	15	item_throw_mindamage			16	item_throw_maxdamage																									Min #	Max #	Currently Not Used	0
dmg-norm	142				1	15	mindamage			16	maxdamage																							Adds #-# Damage		Min #	Max #		0
ac/lvl	143				1	17	item_armor_perlevel																											+# Defense (Based on Character Level)	ac/lvl (8ths)				0
ac%/lvl	144				1	17	item_armorpercent_perlevel																											+#% Enhanced Defense (Based on Character Level)	#/8 per Level				0
hp/lvl	145				1	17	item_hp_perlevel																											+# to Life (Based on Character Level)	#/8 per Level				0
mana/lvl	146				1	17	item_mana_perlevel																											+# to Mana (Based on Character Level)	#/8 per Level				0
dmg/lvl	147				1	17	item_maxdamage_perlevel																											+# to Maximum Damage (Based on Character Level)	#/8 per Level				0
dmg%/lvl	148				1	17	item_maxdamage_percent_perlevel																											+#% Enhanced Maximum Damage (Based on Character Level)	#/8 per Level				0
str/lvl	149				1	17	item_strength_perlevel																											+# to Strength (Based on Character Level)	#/8 per Level				0
dex/lvl	150				1	17	item_dexterity_perlevel																											+# to Dexterity (Based on Character Level)	#/8 per Level				0
enr/lvl	151				1	17	item_energy_perlevel																											+# to Energy (Based on Character Level)	#/8 per Level			Currently Not Used	0
vit/lvl	152				1	17	item_vitality_perlevel																											+# to Vitality (Based on Character Level)	#/8 per Level				0
att/lvl	153				1	17	item_tohit_perlevel																											+# to Attack Rating (Based on Character Level)	#/2 per Level				0
att%/lvl	154				1	17	item_tohitpercent_perlevel																											#% Bonus to Attack Rating (Based on Character Level)	#/2 per Level				0
dmg-cold/lvl	155				1	17	item_cold_damagemax_perlevel																											+# to Maximum Cold Damage (Based on Character Level)	#/8 per Level			Currently Not Used	0
dmg-fire/lvl	156				1	17	item_fire_damagemax_perlevel																											+# to Maximum Fire Damage (Based on Character Level)	#/8 per Level			Currently Not Used	0
dmg-ltng/lvl	157				1	17	item_ltng_damagemax_perlevel																											+# to Maximum Lightning Damage (Based on Character Level)	#/8 per Level			Currently Not Used	0
dmg-pois/lvl	158				1	17	item_pois_damagemax_perlevel																											+# to Maximum Poison Damage (Based on Character Level)	#/8 per Level			Currently Not Used	0
res-cold/lvl	159				1	17	item_resist_cold_perlevel																											Cold Resist +#% (Based on Character Level)	#/8 per Level				0
res-fire/lvl	160				1	17	item_resist_fire_perlevel																											Fire Resist +#% (Based on Character Level)	#/8 per Level				0
res-ltng/lvl	161				1	17	item_resist_ltng_perlevel																											Lightning Resist +#% (Based on Character Level)	#/8 per Level				0
res-pois/lvl	162				1	17	item_resist_pois_perlevel																											Poison Resist +#% (Based on Character Level)	#/8 per Level				0
abs-cold/lvl	163				1	17	item_absorb_cold_perlevel																											Absorbs Cold Damage (Based on Character Level)	#/8 per Level				0
abs-fire/lvl	164				1	17	item_absorb_fire_perlevel																											Absorbs Fire Damage (Based on Character Level)	#/8 per Level				0
abs-ltng/lvl	165				1	17	item_absorb_ltng_perlevel																											Absorbs Lightning Damage (Based on Character Level)	#/8 per Level			Currently Not Used	0
abs-pois/lvl	166				1	17	item_absorb_pois_perlevel																											Absorbs Poison Damage (Based on Character Level)	#/8 per Level			Currently Not Used	0
thorns/lvl	167				1	17	item_thorns_perlevel																											Attacker Takes Damage of # (Based on Character Level)	#/8 per Level				0
gold%/lvl	168				1	17	item_find_gold_perlevel																											#% Extra Gold from Monsters (Based on Character Level)	#/8 per Level				0
mag%/lvl	169				1	17	item_find_magic_perlevel																											#% Better Chance of Getting Magic Items (Based on Character Level)	#/8 per Level				0
regen-stam/lvl	170				1	17	item_regenstamina_perlevel																											Heal Stamina Plus #% (Based on Character Level)	#/8 per Level				0
stam/lvl	171				1	17	item_stamina_perlevel																											+# Maximum Stamina (Based on Character Level)	#/8 per Level				0
dmg-dem/lvl	172				1	17	item_damage_demon_perlevel																											+#% Damage to Demons (Based on Character Level)	#/8 per Level				0
dmg-und/lvl	173				1	17	item_damage_undead_perlevel																											+#% Damage to Undead (Based on Character Level)	#/8 per Level				0
att-dem/lvl	174				1	17	item_tohit_demon_perlevel																											+# to Attack Rating against Demons (Based on Character Level)	#/2 per Level				0
att-und/lvl	175				1	17	item_tohit_undead_perlevel																											+# to Attack Rating against Undead (Based on Character Level)	#/2 per Level				0
crush/lvl	176				1	17	item_crushingblow_perlevel																											#% Chance of Crushing Blow (Based on Character Level)	#/8 per Level			Currently Not Used	0
wounds/lvl	177				1	17	item_openwounds_perlevel																											#% Chance of Open Wounds (Based on Character Level)	#/8 per Level			Currently Not Used	0
kick/lvl	178				1	17	item_kick_damage_perlevel																											+# Kick Damage (Based on Character Level)	#/8 per Level			Currently Not Used	0
deadly/lvl	179				1	17	item_deadlystrike_perlevel																											#% Deadly Strike (Based on Character Level)	#/8 per Level				0
gems%/lvl	180																																						0
rep-dur	181				1	17	item_replenish_durability																											Repairs 1 durability in # seconds	Repair Speed			Repair 1 Durability every 100/[Repair Speed] seconds	0
rep-quant	182				1	17	item_replenish_quantity																											Replenishes quantity	Repair Speed			Replenish 1 Quantity every 100/[Repair Speed] seconds	0
stack	183				1	1	item_extra_stack																											Increased Stack Size		Min #	Max #		0
item%	184																																						0
dmg-slash	185																																						0
dmg-slash%	186																																						0
dmg-crush	187																																						0
dmg-crush%	188																																						0
dmg-thrust	189																																						0
dmg-thrust%	190																																						0
abs-slash	191																																						0
abs-crush	192																																						0
abs-thrust	193																																						0
abs-slash%	194																																						0
abs-crush%	195																																						0
abs-thrust%	196																																						0
prop-lightningfurymaxprojectiles	197	ama	2	1	1	1	lightningfurymaxprojectiles																											additional projectiles to lightning fury		1	1	use small x	0
prop-windstrikeconverttoltng	198	ama	2		1	1	windstrikeconverttoltng																											100% of wind strikes weapon damage is converted to ltng, 100% additional aoe damage to wind strike		Min %	Max %	uxe x%	0
prop-lifeandmanaafterkilltospearmaiden	199	ama	1	1	1	1	lifeandmanaafterkilltospearmaiden																											life after kill to spear maiden		Min %	Max %	use x	0
prop-enabledoublebenefittomagicquiver	200	ama	2		1	1	enabledoublebenefittomagicquiver																											doubles the base stat benefits of magic quiver		Min #	Max #	boolean	0
prop-FCRsynergytometeorarrow	201	ama	2	1	1	1	FCRsynergytometeorarrow																											increases damage to meteor arrow proportionate to faster cast rate		Min #	Max #	use 1	0
prop-coldrrtoshatterjav	202	ama	2	1	1	1	coldrrtoshatterjav																											cold resist reduction to shatter javelin while attacking		Min #	Max #	use x%	0
prop-clustercdr	203	ama	2	1	1	1	clustercdr																											increased effectiveness of cluster grenades		Min #	Max #	use 1	0
prop-arrowrainrangedmg	204	ama	2	1	1	1	arrowrainrangedmg																											increased effectiveness of arrow rain		Min #	Max #	use 1	0
prop-fragmentdmgtoeleleg	205	ama	2	1	1	1	fragmentdmgtoeleleg																											increased damage to fragment skills per elemental legend base level		Min #	Max #	use small x%	0
prop-skillsynFOGandES	206	ama	1	1	1	1	skillsynFOGandES																											fan of glaives and evil spearit synergy		Min #	Max #	use small x%	0
prop-skillsynHAandHS	207	ama	2	1	1	1	skillsynHAandHS																											heavens arrow and holy spearit synergy		Min #	Max #	use small x%	0
prop-FARVSS	208	sor	2	1	1	1	FARVSS																											volcanic strike, snowball, storm strike dmg from attack speed		Min #	Max #	use 1	0
prop-FTduration	209	sor	2	1	1	1	FTduration																											flame torrent duration and cdr		Min #	Max #	use 1	0
prop-hptoflamecloak	210	sor	1	1	1	1	hptoflamecloak																											hp while flame cloak is active		Min #	Max #	use small x%	0
prop-LRduration	211	sor	2	1	1	1	LRduration																											lightning rod state duration		Min #	Max #	in frames	0
prop-skillsynSCandLO	212	sor	2	1	1	1	skillsynSCandLO																											storm cloak/ lightning orb synergy		Min #	Max #	use low %	0
prop-winddmgtoeleleg	213	ama	1	1	1	1	winddmgtoeleleg																											wind damage to elemental legend per base level		Min %	Max %	use small x%	0
prop-multishottoPOA	214	ama	2	1	1	1	multishottoPOA																											multishot dmg to power of arrows		Min %	Max %	use small x%	0
prop-heavensarrowcd	215	ama	2	1	1	1	heavensarrowcd																											heavens arrow cooldown		Min %	Max %	use 1	0
prop-chainedwarmth	216	sor	2	1	1	1	chainedwarmth																											base damage to chained skills per warmth		Min %	Max %	use small x%	0
prop-TPproj	217	sor	2	1	1	1	TPproj																											projectiles to Twin peaks		Min %	Max %	use 1	0
prop-projtobloodstream	218	nec	2		1	1	projtobloodstream																											propjectiles to bloodstream				use small x	0
prop-blooddmgtoacidskull	219	nec	2	1	1	1	blooddmgtoacidskull																											blood damage after using acid skull per base level				use small x%	0
prop-dblharbinger	220	nec	2	11	1	1	dblharbinger																											doubles effects of harbinger				use 1	0
prop-bloodnovacast	221	nec	2	1	1	1	bloodnovacast																											scales nova damage and size on FCR				use 1	0
prop-hellknifemasterysyn	222	nec	2	1	1	1	hellknifemasterysyn																											increased hells knife damage per knife mastery base level				use small x%	0
prop-gdproj	223	nec	2	1	1	1	gdproj																											+1 proj to ghostly dagger				use 1	0
prop-necromagedr	224	nec	2	1	1	1	necromagedr																											doubles damage reduction from necromage				use 1	0
prop-bbdmg	225	nec	2	1	1	1	bbdmg																											doubles bloodborne max damage				use 1	0
prop-unholymark	226	nec	2	1	1	1	unholymark																											dmg to unholy per marksman base level				use small X%	0
prop-foncd	227	nec	2	1	1	1	foncd																											cdr divisor for fan of knives				use 1	0
prop-agentbuff	228	nec	2	1	1	1	agentbuff																											increased damage to bone spikes per knife mastery base level				use 1	0
prop-skillsynBSandSC	229	nec	2	1	1	1	skillsynBSandSC																											skillsynergy between spiritc circle and bone storm				use 1	0
prop-novabrain	230	nec	2	1	1	1	novabrain																											after using brain grenade, gain enhanced damage				use small %	0
prop-holyswordlight	231	pal	2	1	1	1	holyswordlight																											after using holy sword strike, increase your light radius by half your energy				use 1	0
prop-bloodgeyserrange	232	nec	2	1	1	1	bloodgeyserrange																											reduces range of blood geysers				use 5 twice	0
prop-ricfrommark	233	nec	2	1	1	1	ricfrommark																											increase ricochet damage from marksmanship				use small x%	0
pierce-fire	234				1	1	passive_fire_pierce																											-#% to Enemy Fire Resistance		Min %	Max %		0
pierce-ltng	235				1	1	passive_ltng_pierce																											-#% to Enemy Lightning Resistance		Min %	Max %		0
pierce-cold	236				1	1	passive_cold_pierce																											-#% to Enemy Cold Resistance		Min %	Max %		0
pierce-pois	237				1	1	passive_pois_pierce																											-#% to Enemy Poison Resistance		Min %	Max %		0
dmg-mon	238																																						0
dmg%-mon	239																																						0
att-mon	240																																						0
att%-mon	241																																						0
ac-mon	242																																						0
ac%-mon	243																																						0
indestruct	244				1	20																												Indestructible		1	1		0
charged	245				1	19	item_charged_skill																											Level # [Skill] (#/# Charges)	Skill	# of Max Charges	Skill Level		0
extra-fire	246				1	1	passive_fire_mastery																											+#% to Fire Skill Damage		Min %	Max %		0
extra-ltng	247				1	1	passive_ltng_mastery																											+#% to Lightning Skill Damage		Min %	Max %		0
extra-cold	248				1	1	passive_cold_mastery																											+#% to Cold Skill Damage		Min %	Max %		0
extra-pois	249				1	1	passive_pois_mastery																											+#% to Poison Skill Damage		Min %	Max %		0
dmg-elem	250				1	15	firemindam			16	firemaxdam			15	lightmindam			16	lightmaxdam			15	coldmindam			16	coldmaxdam			17	coldlength			Adds #-# Fire/Lightning/Cold Damage		Min #	Max #		0
dmg-elem-min	251				1	1	firemindam			3	lightmindam			3	coldmindam																			+# to Minimum Fire/Lightning/Cold Damage		Min #	Max #	Currently Not Used	0
dmg-elem-max	252				1	1	firemaxdam			3	lightmaxdam			3	coldmaxdam			17	coldlength															+# to Maximum Fire/Lightning/Cold Damage		Min #	Max #	Currently Not Used	0
all-stats	253				1	1	strength			3	energy			3	dexterity			3	vitality															+# to all Attributes		Min #	Max #		0
addxp	254				1	1	item_addexperience																											+#% to Experience Gained		Min %	Max %		0
heal-kill	255				1	1	item_healafterkill																											+# Life after each Kill		Min #	Max #		0
cheap	256				1	1	item_reducedprices																											Reduces all Vendor Prices #%		Min %	Max %		0
rip	257				1	1	item_restinpeace																											Slain Monsters Rest in Peace		1	1		0
att-mon%	258				1	24	attack_vs_montype																											#% to Attack Rating versus [Monster Type]	monstats.txt MonType	Min #	Max #	Currently Not Used	0
dmg-mon%	259				1	24	damage_vs_montype																											#% to Damage versus [Monster Type]	monstats.txt MonType	Min #	Max #	Currently Not Used	0
kill-skill	260				1	11	item_skillonkill																											#% Chance to cast level # [Skill] when you Kill an Enemy	Skill	"% Chance (If 0, then default to 5)"	Skill Level		0
death-skill	261				1	11	item_skillondeath																											#% Chance to cast level # [Skill] when you Die	Skill	"% Chance (If 0, then default to 5)"	Skill Level		0
levelup-skill	262				1	11	item_skillonlevelup																											#% Chance to cast level # [Skill] when you Level-Up	Skill	"% Chance (If 0, then default to 5)"	Skill Level		0
skill-rand	263				1	12	item_singleskill																											+# to [Skill] ([Class] only)	Skill Level	Min Skill ID	Max Skill ID		0
fade	264				1	17	fade																													Min #	Max #	Visuals Only	0
levelreq	265				1	1	item_levelreq																											Required Level: #		Min #	Max #		0
ethereal	266				1	23																												Ethereal		1	1		0
oskill	267				1	22	item_nonclassskill			22	item_nonclassskill_display																							+# to [Skill]	Skill	Min #	Max #		0
state	268				1	24	state																												State	1	1	Applies a State on the unit	0
randclassskill	269				1	36	item_addclassskills		3																									+# to [Class] Skill Levels		Min Class ID	Max Class ID	val1 = # of Skill levels	0
noconsume	270				1	1	item_noconsume																											+# to not Consume Quantity		Min %	Max %		0
extra-mag	278				1	1	passive_mag_mastery																											+#% to Magic Skill Damage		Min %	Max %		0
maxchainhits-volcanicstrike	279	sor	2		1	1	volcanicstrikemaxchainhits																											max chain hits to volcanic strike		Min #	Max #		0
throwingaxe-damage	280	bar	2		1	1	homingaxespercentincrease																											damage to throwing axes		Min %	Max %		0
maxchainhits-stormstrike	281	sor	2		1	1	stormstrikemaxchainhits																											max chain hits to storm strike		Min #	Max #		0
maxchainhits-snowball	282	sor	2		1	1	snowballmaxchainhits																											max chain hits to snowball		Min #	Max #		0
prop-maxmultiarrow	283	ama	2		1	1	maxarrowstomultishotelement																											max arrows to elemental multishot arrows		Min #	Max #		0
prop-judgesyn	284	pal	2	1	1	1	judgesyn																											damage synergy to judgement cross from scepter master		Min #	Max #		0
skilldam-physaxe	285	bar	2	1	1	1	physaxeskilldmg																											physical axe skill damage		Min %	Max %		0
prop-pvrange	286	ass	2		1	1	pvrange																											range to poison vials		Min #	Max #		0
additionalprojectiles-cursedhammer	287	pal	2		1	1	maximumcursedhammers																											max projectiles to cursed hammer		Min #	Max #		0
skillmod-auracooldownelemental	288	pal	2		1	1	auracooldownelemental																											reduced cooldown to offensive fire/cold/lightning paladin auras		1	1		0
synergybonus-paladinelementalauradamage	289	pal	1	1	1	1	paladinauradamage																											increased damage to elemental paladin auras		Min #	Max #		0
climandholyswordsynergybonus	290	pal	2		1	1	climandhssdmg																											increased damage to climhazard and holy sword strike		Min #	Max #		0
enchantFBLSdmgincrease	291	sor	1	1	1	1	enchantfrostborneLSdmg																											increased damage to enchant, frostborne and lightning speed		Min #	Max #		0
prop-projectilestomacetoss	292	pal	2		1	1	projectilestomacetoss																											increased projectiles to macetoss		Min #	Max #		0
prop-maxtargetstovolcanicshout	293	bar	2		1	1	volcanicshouttargets																											maxtargets to volcanic shout		Min #	Max #		0
