Name	*order	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	multiply	add
of Life	85	100	1	1	34		7				8	27	ac		51	68										armo	shld	amul	ring	lcha	jewl							0	0
of the Jackal	86	100	1	1	60		13				8	27	att%		28	56										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of the Fox	87	100	1	1	9		3				8	27	lifesteal		1	1										weap	glov	ring	amul	misl	belt	lcha						0	0
of the Wolf	88	100	1	1	21		4				8	27	lifesteal		1	1										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of the Wolf	89	100	1	1	67		13				8	27	red-dmg		14	25										armo	shld	amul	ring	lcha	jewl							0	0
of the Tiger	90	100	1	1	30		6				8	27	str		9	15										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of the Mammoth	91	100	1	1	36		7				8	27	att		95	152										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of the Mammoth	92	100	1	1	70		15				8	27	light		18	21										scha	mcha											0	0
of the Colosuss	93	100	1	1	45		11				8	27	regen-mana		12	16										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of the Leech	94	100	1	1	9		3				8	28	block1		2	2	str		2	4						scha	mcha	jewl										0	0
of the Locust	95	100	1	1	30		6				8	28	dmg%		85	102										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of the Bat	96	100	1	1	9		3				8	29	move2		3	4	dex		2	4						scha	mcha	jewl										0	0
of the Vampire	97	100	1	1	60		13				8	29	cast1		20	28										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Defiance	98	100	1	1	37		8				8	30	hp		29	38	mana		19	23						scha	mcha											0	0
of Amelioration	99	100	1	1	70		15				8	30	ac		105	140										armo	shld	amul	ring	lcha								0	0
of Remedy	100	100	1	1	10		3				8	30	red-dmg		6	10										armo	shld	amul	ring	lcha	jewl							0	0
	101	100																								wand	staf	boot	ring	amul	armo	mcha						0	0
of Simplicity	102	100	1	1	70		15				8	32	red-dmg%		1	6										armo	shld	amul	ring	lcha								0	0
of Ease	103	100	1	1	22		5				8	32	ac		42	56										armo	shld	amul	ring	lcha	jewl							0	0
	104	100																								wand	staf	boot	ring	amul	armo	mcha						0	0
of Strength	105	100	1	1	7		1				8	34	mag%		3	3										weap	glov	ring	amul	misl	belt	lcha						0	0
of Might	106	100	1	1	15		3				8	34	block1		3	3	str		3	5						scha	mcha											0	0
of the Ox	107	100	1	1	27		6				8	34	regen		150	225										armo	shld	amul	ring	lcha	jewl							0	0
of the Ox	108	100	1	1	70		15				8	34	ac%		25	28										armo	shld	amul	ring	lcha								0	0
of the Giant	109	100	1	1	60		13				8	34	hp		14	22										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of the Giant	110	100	1	1	70		15				8	34	prop-dmgtoholy		30	36										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of the Titan	111	100	1	1	45		11				8	34	regen		200	300										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Pacing	112	100	1	1	1		1				8	35	heal-kill		8	15										weap	glov	ring	amul	misl	belt	lcha						0	0
of Haste	113	100	1	1	50		12				8	35	att		130	208										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Speed	114	100	1	1	33		7				8	35	extra-pois		3	5										scha	mcha											0	0
Expansion	115	100																								wand	staf	boot	ring	amul		mcha							
of Health	116	100	1	1	10		3				8	1	res-cold		10	14										armo	shld	amul	ring	lcha	jewl							0	0
of Protection	117	100	1	1	27		6				8	1	ac		45	60										armo	shld	amul	ring	lcha	jewl							0	0
of Absorption	118	100	1	1	39		9				8	1	mag%		19	25	gold%		19	25						mcha												0	0
of Life	119	100	1	1	52		12				8	1	cast1		18	26										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Life Everlasting	120	100	1	1	67		13				8	1	regen		280	420										armo	shld	amul	ring	lcha	jewl							0	0
of Protection	121	100	1	1	36		7				8	1	res-all		4	8	enr		4	8						scha	mcha											0	0
of Absorption	122	100	1	1	48		11				8	1	regen		200	300										armo	shld	amul	ring	lcha	jewl							0	0
of Life	123	100	1	1	61		13				8	1	block1		6	6	str		6	11						scha	mcha											0	0
of Anima	124	100	1	1	70		15				8	1	dex		15	27										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Warding	125	100	1	1	10		3				8	2	res-mag		2	3										armo	shld	amul	ring	lcha	jewl							0	0
of the Sentinel	126	100	1	1	27		6				8	2	ac%		11	12										armo	shld	amul	ring	lcha	jewl							0	0
of Guarding	127	100	1	1	39		9				8	2	dmg-fire		20	100										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Negation	128	100	1	1	63		13				8	2	move2		8	11	dex		6	11						scha	mcha											0	0
of the Sentinel	129	100	1	1	36		7				8	2	block1		4	4	str		4	8						scha	mcha											0	0
of Guarding	130	100	1	1	48		11				8	2	res-pois		18	26										armo	shld	amul	ring	lcha	jewl							0	0
of Negation	131	100	1	1	61		13				8	2	regen-mana		17	22										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Coolness	132	100	1	1	16		3				8	3	res-ltng		12	17										armo	shld	amul	ring	lcha	jewl							0	0
of Incombustibility	133	100	1	1	28		6				8	3	dmg-fire		17	85										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Amianthus	134	100	1	1	42		9				8	3	vit		10	18										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Fire Quenching	135	100	1	1	57		13				8	3	dmg%		140	168										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Coolness	136	100	1	1	19		4				8	3	swing1		10	14										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Incombustibility	137	100	1	1	33		7				8	3	res-ltng		15	22										armo	shld	amul	ring	lcha	jewl							0	0
of Amianthus	138	100	1	1	49		11				8	3	balance1		8	12										armo	shld	amul	ring	lcha	jewl							0	0
of Fire Quenching	139	100	1	1	69		13				8	3	dmg-mag		30	150										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Faith	140	100	1	1	34		7				8	3	res-mag		3	5										armo	shld	amul	ring	lcha	jewl							0	0
of Resistance	141	100	1	1	16		3				8	3	extra-fire		3	4	dmg-fire		13	26						scha	mcha											0	0
of Insulation	142	100	1	1	28		6				8	3	red-mag		8	14										armo	shld	amul	ring	lcha	jewl							0	0
of Grounding	143	100	1	1	42		9				8	3	reduce-ac		8	12										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of the Dynamo	144	100	1	1	57		13				8	3	dmg-mag		28	140										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Resistance	145	100	1	1	19		4				8	3	mana-kill		7	14										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Insulation	146	100	1	1	33		7				8	3	mag%		9	10	gold%		5	7						scha	mcha											0	0
of Grounding	147	100	1	1	49		12				8	3	red-dmg%		1	4										armo	shld	amul	ring	lcha	jewl							0	0
of the Dynamo	148	100	1	1	69		13				8	3	dmg%		150	180										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Stoicism	149	100	1	1	33		7				8	3	regen-mana		10	14										scha	mcha											0	0
of Warming	150	100	1	1	16		3				8	3	res-mag		3	4										armo	shld	amul	ring	lcha	jewl							0	0
of Thawing	151	100	1	1	28		6				8	3	mana		75	90	regen-mana		6	9						mcha												0	0
of the Dunes	152	100	1	1	42		9				8	3	swing1		14	20										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of the Sirocco	153	100	1	1	57		13				8	3	dmg-ltng		28	140										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Warming	154	100	1	1	19		4				8	3	cast1		10	14										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Thawing	155	100	1	1	33		7				8	3	extra-fire		3	5	dmg-fire		17	34						scha	mcha											0	0
of the Dunes	156	100	1	1	49		12				8	3	ac		60	80										armo	shld	amul	ring	lcha	jewl							0	0
of the Sirocco	157	100	1	1	69		13				8	3	dmg-ltng		30	150										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Desire	158	100	1	1	34		7				8	3	move1		7	9										armo	shld	amul	ring	lcha	jewl							0	0
of Piercing	159	100	1	1	37		8				8	4	ac%		13	15										armo	shld	amul	ring	lcha	jewl							0	0
of Bashing	160	100	1	1	24		6				8	5	dex		8	14										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Puncturing	161	100	1	1	9		3				8	5	regen-mana		7	9										scha	mcha	jewl										0	0
of Thorns	162	100	1	1	21		4				8	6	res-ltng		13	18										armo	shld	amul	ring	lcha	jewl							0	0
of Spikes	163	100	1	1	70		15				8	6	str		18	32										weap	glov	ring	amul	misl	belt	lcha						0	0
of Razors	164	100	1	1	51		12				8	6	dmg-ltng		26	130										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Swords	165	100	1	1	70		15				8	6	att%		35	70										weap	glov	ring	amul	misl	belt	lcha						0	0
of Malice	166	100	1	1	55		13				8	6	ac		104	130	red-dmg		13	26						mcha												0	0
of Readiness	167	100	1	1	7		1				8	7	heal-kill		9	17										weap	glov	ring	amul	misl	belt	lcha						0	0
of Alacrity	168	100	1	1	37		9				8	7	extra-ltng		4	6	dmg-ltng		19	38						scha	mcha											0	0
of Swiftness	169	100	1	1	51		12				8	7	swing1		18	26										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Quickness	170	100	1	1	69		13				8	7	dmg-min		24	24	dmg-max		33	33						weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Alacrity	171	100	1	1	64		13				8	7	extra-pois		6	8										scha	mcha											0	0
of Fervor	172	100	1	1	58		13				8	7	str		14	25										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Blocking	173	100	1	1	1		1				8	8	gold%		7	9										weap	glov	ring	amul	misl	belt	lcha						0	0
of Deflecting	174	100	1	1	16		3				8	8	extra-pois		3	4										scha	mcha											0	0
of the Apprentice	175	100	1	1	7		1				8	9	regen		110	165										weap	glov	ring	amul	misl	belt	lcha						0	0
of the Magus	176	100	1	1	43		9				8	9	att%		20	40										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Frost	177	100	1	1	1		1				8	10	ac		40	50	red-dmg		5	10						mcha	jewl											0	0
of the Icicle	178	100	1	1	19		4				8	10	att%		14	28										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of the Glacier	179	100	1	1	40		9				8	10	dmg-min		16	16	dmg-max		22	22						weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Winter	180	100	1	1	67		13				8	10	att		150	240										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Frost	181	100	1	1	70		15				8	10	regen-mana		18	24										scha	mcha											0	0
of Frigidity	182	100	1	1	24		6				8	10	dmg%		75	90										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Warmth	183	100	1	1	15		3				8	11	move2		4	5	dex		3	5						scha	mcha											0	0
of Flame	184	100	1	1	6		1				8	12	dmg-cold		11	55										weap	glov	ring	amul	misl	belt	lcha						0	0
of Fire	185	100	1	1	22		5				8	12	att		140	154	swing2		7	8						mcha												0	0
of Burning	186	100	1	1	37		9				8	12	balance1		8	11										armo	shld	amul	ring	lcha	jewl							0	0
of Incineration	187	100	1	1	64		13				8	12	extra-ltng		6	8	dmg-ltng		28	56						scha	mcha											0	0
of Flame	188	100	1	1	60		13				8	12	reduce-ac		11	17										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Passion	189	100	1	1	22		5				8	12	mana		70	84	regen-mana		6	8						mcha												0	0
of Shock	190	100	1	1	6		1				8	13	dmg-ltng		11	55										weap	glov	ring	amul	misl	belt	lcha						0	0
of Lightning	191	100	1	1	70		15				8	13	all-stats		9	9										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Thunder	192	100	1	1	40		9				8	13	dmg%		100	120										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Storms	193	100	1	1	51		12				8	13	dmg%		130	156										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Shock	194	100	1	1	70		15				8	13	mag%		3	3										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Ennui	195	100	1	1	22		5				8	13	dmg-mag		15	75										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Craftsmanship	196	100	1	1	1		1				8	14	regen-mana		6	8										weap	glov	ring	amul	misl	belt	lcha						0	0
of Quality	197	100	1	1	6		1				8	14	dmg-min		9	9	dmg-max		12	12						weap	glov	ring	amul	misl	belt	lcha						0	0
of Maiming	198	100	1	1	10		3				8	14	extra-cold		2	3	dmg-cold		11	22						scha	mcha	jewl										0	0
of Slaying	199	100	1	1	16		3				8	14	res-cold		12	17										armo	shld	amul	ring	lcha	jewl							0	0
of Gore	200	100	1	1	21		5				8	14	manasteal		1	1										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Carnage	201	100	1	1	28		6				8	14	dmg-mag		17	85										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Slaughter	202	100	1	1	37		9				8	14	res-fire		17	25										armo	shld	amul	ring	lcha	jewl							0	0
of Butchery	203	100	1	1	52		12				8	14	regen		260	390										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Evisceration	204	100	1	1	67		13				8	14	res-pois-len		14	20										armo	shld	amul	ring	lcha	jewl							0	0
of Maiming	205	100	1	1	63		13				8	14	extra-fire		6	8	dmg-fire		28	56						scha	mcha											0	0
of Craftsmanship	206	100	1	1	1		1				8	14	swing1		7	10										weap	glov	ring	amul	misl	belt	lcha						0	0
of Craftsmanship	207	100	1	1	12		3				8	14	reduce-ac		5	8										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Craftsmanship	208	100	1	1	22		5				8	14	red-dmg		7	13										armo	shld	amul	ring	lcha	jewl							0	0
of Quality	209	100	1	1	34	43	7				8	14	regen		170	255										armo	shld	amul	ring	lcha	jewl							0	0
of Quality	210	100	1	1	45		11				8	14	lifesteal		2	2										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Maiming	211	100	1	1	55	66	13				8	14	mag%		26	34	gold%		26	34						mcha												0	0
of Maiming	212	100	1	1	67		13				8	14	mag%		28	36	gold%		28	36						mcha												0	0
of Craftsmanship	213	100	1	1	12		3				8	14	att%		13	26										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Craftsmanship	214	100	1	1	27		6				8	14	move1		6	8										armo	shld	amul	ring	lcha	jewl							0	0
of Quality	215	100	1	1	42		9				8	14	cast1		14	20										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Quality	216	100	1	1	57		13				8	14	dex		14	25										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Maiming	217	100	1	1	70		15				8	14	move2		9	12	dex		6	12						scha	mcha											0	0
of Craftsmanship	218	100	1	1	31		6				8	14	gold%		12	15										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Quality	219	100	1	1	54		13				8	14	regen-mana		16	21										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Maiming	220	100	1	1	70		15				8	14	res-all		6	12	enr		6	12						scha	mcha											0	0
of Ire	221	100	1	1	6		1				8	14	dmg-fire		11	55										weap	glov	ring	amul	misl	belt	lcha						0	0
of Wrath	222	100	1	1	70		15				8	14	dmg-fire		1000	1200										weap	glov	ring	amul									0	0
of Carnage	223	100	1	1	37		9				8	14	extra-pois		4	6										scha	mcha												
of Worth	224	100	1	1	1		1				8	15	lifesteal		1	1										weap	glov	ring	amul	misl	belt	lcha						0	0
of Measure	225	100	1	1	18		4				8	15	mana		65	78	regen-mana		5	8						mcha												0	0
of Excellence	226	100	1	1	36		7				8	15	heal-kill		15	29										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Performance	227	100	1	1	70		15				8	15	mag%		15	18	gold%		9	12						scha	mcha											0	0
of Transcendence	228	100	1	1	70		15				8	15	dmg%		200	250										weap	glov	ring	amul									0	0
of Worth	229	100	1	1	22		5				8	15	mag%		14	18	gold%		14	18						mcha												0	0
of Measure	230	100	1	1	55		13				8	15	mana		130	156	regen-mana		10	16						mcha												0	0
of Excellence	231	100	1	1	70		15				8	15	extra-ltng		6	9	dmg-ltng		30	60						scha	mcha											0	0
of Performance	232	100	1	1	70		15				8	15	prop-dmgtosummon		50	75										weap	glov	ring	amul									0	0
of Joyfulness	233	100	1	1	50		12				8	15	ac		80	100	red-dmg		10	20						mcha												0	0
of Bliss	234	100	1	1	64		13				8	15	res-ltng		25	36										armo	shld	amul	ring	lcha	jewl							0	0
of Blight	235	100	1	1	7		1				8	16	cast1		8	11										weap	glov	ring	amul	misl	belt	lcha						0	0
of Venom	236	100	1	1	22		5				8	16	att		75	120										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Pestilence	237	100	1	1	37		8				8	16	red-dmg%		1	4										armo	shld	amul	ring	lcha	jewl							0	0
of Anthrax	238	100	1	1	49		12				8	16	mag%		20	26	gold%		20	26						mcha												0	0
of Blight	239	100	1	1	67		13				8	16	hp		140	168	move2		17	20						mcha												0	0
of Envy	240	100	1	1	1		1				8	16	res-pois		9	13										armo	shld	amul	ring	lcha	jewl							0	0
of Dexterity	241	100	1	1	1		1				8	17	res-fire		9	13										armo	shld	amul	ring	lcha	jewl							0	0
of Skill	242	100	1	1	16		3				8	17	res-fire		12	17										armo	shld	amul	ring	lcha	jewl							0	0
of Accuracy	243	100	1	1	40		9				8	17	dex		10	18										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Precision	244	100	1	1	64		13				8	17	res-fire		25	36										armo	shld	amul	ring	lcha	jewl							0	0
of Perfection	245	100	1	1	70		15				8	17	gold%		21	27										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Nirvana	246	100	1	1	70		15				8	17	balance1		14	21										armo	shld	amul	ring	lcha								0	0
of Dexterity	247	100	1	1	9		3				8	17	mag%		6	7	gold%		3	4						scha	mcha	jewl										0	0
of Skill	248	100	1	1	33		7				8	17	hp		26	34	mana		17	20						scha	mcha											0	0
of Accuracy	249	100	1	1	58		13				8	17	swing1		20	28										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Precision	250	100	1	1	70		15				8	17	move1		14	18										armo	shld	amul	ring	lcha								0	0
of Perfection	251	100	1	1	70		15				8	17	res-mag		7	11										armo	shld	amul	ring	lcha								0	0
