index	code_name	code_normal	sets_normal	sets_exceptional	sets_elite	uniques_normal	uniques_exceptional	uniques_elite
72	cbw	bow/composite_bow						
73	sbb	bow/short_battle_bow						
74	lbb	bow/long_battle_bow						
75	swb	bow/short_war_bow						
76	lwb	bow/long_war_bow						
77	lxb	bow/light_crossbow						
78	mxb	bow/crossbow						
79	hxb	bow/heavy_crossbow						
80	rxb	bow/repeating_crossbow						
81	gps	potion/rancid_gas_potion						
82	ops	potion/oil_potion						
83	gpm	potion/choking_gas_potion						
84	opm	potion/exploding_potion						
85	gpl	potion/strangling_gas_potion						
86	opl	potion/fulminating_potion						
87	d33	knife/decoy_dagger						
88	g33	knife/gidbinn						
89	leg	club/wirts_leg						
90	hdm	hammer/horadric_malus						
91	hfh	hammer/hellforge_hammer						
92	hst	staff/horadric_staff						
93	msf	staff/staff_of_the_kings						
94	9ha	axe/hand_axe						
95	9ax	axe/axe						
96	92a	axe/double_axe						
97	9mp	axe/military_pick						
98	9wa	axe/war_axe						
99	9la	axe/large_axe						
100	9ba	axe/broad_axe						
101	9bt	axe/battle_axe						
102	9ga	axe/great_axe						
103	9gi	axe/giant_axe						
104	9wn	wand/wand						
105	9yw	wand/yew_wand						
106	9bw	wand/bone_wand						
107	9gw	wand/grim_wand						
108	9cl	club/club						
109	9sc	scepter/scepter						
110	9qs	scepter/grand_scepter						
111	9ws	scepter/war_scepter						
112	9sp	club/spiked_club						
113	9ma	mace/mace						
114	9mt	mace/morning_star						
115	9fl	mace/flail						
116	9wh	hammer/war_hammer						
117	9m9	hammer/maul						
118	9gm	hammer/maul						
119	9ss	sword/short_sword						
120	9sm	sword/scimitar						
121	9sb	sword/saber						
122	9fc	sword/falchion						
123	9cr	sword/crystal_sword						
124	9bs	sword/broad_sword						
125	9ls	sword/long_sword						
126	9wd	sword/war_sword						
127	92h	sword/two_handed_sword						
128	9cm	sword/claymore						
129	9gs	sword/giant_sword						
130	9b9	sword/bastard_sword						
131	9fb	sword/flamberge						
132	9gd	sword/great_sword						
133	9dg	knife/dagger						
134	9di	knife/dirk						
135	9kr	knife/kriss						
136	9bl	knife/blade						
137	9tk	knife/throwing_knife						
138	9ta	axe/throwing_axe						
139	9bk	knife/balanced_knife						
140	9b8	axe/balanced_axe						
141	9ja	javelin/javelin						
142	9pi	javelin/pilum						
143	9s9	javelin/short_spear						
144	9gl	javelin/glaive						
145	9ts	javelin/throwing_spear						
146	9sr	spear/spear						
147	9tr	spear/trident						
148	9br	spear/brandistock						
149	9st	spear/spetum						
150	9p9	spear/pike						
151	9b7	polearm/bardiche						
152	9vo	polearm/voulge						
153	9s8	polearm/scythe						
154	9pa	polearm/poleaxe						
155	9h9	polearm/halberd						
156	9wc	polearm/war_scythe						
157	8ss	staff/short_staff						
158	8ls	staff/long_staff						
159	8cs	staff/gnarled_staff						
160	8bs	staff/battle_staff						
161	8ws	staff/war_staff						
162	8sb	bow/short_bow						
163	8hb	bow/hunters_bow						
164	8lb	bow/long_bow						
165	8cb	bow/composite_bow						
166	8s8	bow/short_battle_bow						
167	8l8	bow/long_battle_bow						
168	8sw	bow/short_war_bow						
169	8lw	bow/long_war_bow						
170	8lx	bow/light_crossbow						
171	8mx	bow/crossbow						
172	8hx	bow/heavy_crossbow						
173	8rx	bow/repeating_crossbow						
174	qf1	mace/khalim_flail						
175	qf2	mace/super_khalim_flail						
176	ktr	h2h/katar						
177	wrb	h2h/katar						
178	axf	h2h/hatchet_hands						
179	ces	h2h/hatchet_hands						
180	clw	h2h/claws						
181	btl	h2h/claws						
182	skr	h2h/scissors_katar						
183	9ar	h2h/katar						
184	9wb	h2h/katar						
185	9xf	h2h/hatchet_hands						
186	9cs	h2h/hatchet_hands						
187	9lw	h2h/claws						
188	9tw	h2h/claws						
189	9qr	h2h/scissors_katar						
190	7ar	h2h/katar						
191	7wb	h2h/katar						
192	7xf	h2h/hatchet_hands						
193	7cs	h2h/hatchet_hands						
194	7lw	h2h/claws						
195	7tw	h2h/claws						
196	7qr	h2h/scissors_katar						
197	7ha	axe/hand_axe						
198	7ax	axe/axe						
199	72a	axe/double_axe						
200	7mp	axe/military_pick						
201	7wa	axe/war_axe						
202	7la	axe/large_axe						
203	7ba	axe/broad_axe						
204	7bt	axe/battle_axe						
205	7ga	axe/great_axe						
206	7gi	axe/giant_axe						
207	7wn	wand/wand						
208	7yw	wand/yew_wand						
209	7bw	wand/bone_wand						
210	7gw	wand/grim_wand						
211	7cl	club/club						
212	7sc	scepter/scepter						
213	7qs	scepter/grand_scepter						
214	7ws	scepter/war_scepter						
215	7sp	club/spiked_club						
216	7ma	mace/mace						
217	7mt	mace/morning_star						
218	7fl	mace/morning_star						
219	7wh	hammer/war_hammer						
220	7m7	hammer/maul						
221	7gm	hammer/maul						
222	7ss	sword/short_sword						
223	7sm	sword/scimitar						
224	7sb	sword/saber						
225	7fc	sword/falchion						
226	7cr	sword/crystal_sword						
227	7bs	sword/broad_sword						
228	7ls	sword/long_sword						
229	7wd	sword/war_sword						
230	72h	sword/two_handed_sword						
231	7cm	sword/claymore						
232	7gs	sword/giant_sword						
233	7b7	sword/bastard_sword						
234	7fb	sword/flamberge						
235	7gd	sword/great_sword						
236	7dg	knife/dagger						
237	7di	knife/dirk						
238	7kr	knife/kriss						
239	7bl	knife/blade						
240	7tk	knife/throwing_knife						
241	7ta	axe/throwing_axe						
242	7bk	knife/balanced_knife						
243	7b8	axe/balanced_axe						
244	7ja	javelin/javelin						
245	7pi	javelin/pilum						
246	7s7	javelin/short_spear						
247	7gl	javelin/glaive						
248	7ts	javelin/throwing_spear						
249	7sr	spear/spear						
250	7tr	spear/trident						
251	7br	spear/brandistock						
252	7st	spear/spetum						
253	7p7	spear/pike						
254	7o7	polearm/bardiche						
255	7vo	polearm/voulge						
256	7s8	polearm/scythe						
257	7pa	polearm/poleaxe						
258	7h7	polearm/halberd						
259	7wc	polearm/war_scythe						
260	6ss	staff/short_staff						
261	6ls	staff/long_staff						
262	6cs	staff/gnarled_staff						
263	6bs	staff/battle_staff						
264	6ws	staff/war_staff						
265	6sb	bow/short_bow						
266	6hb	bow/hunters_bow						
267	6lb	bow/long_bow						
268	6cb	bow/composite_bow						
269	6s7	bow/short_battle_bow						
270	6l7	bow/long_battle_bow						
271	6sw	bow/short_war_bow						
272	6lw	bow/long_war_bow						
273	6lx	bow/light_crossbow						
274	6mx	bow/crossbow						
275	6hx	bow/heavy_crossbow						
276	6rx	bow/repeating_crossbow						
277	ob1	orb/eagle_orb						
278	ob2	orb/sacred_globe						
279	ob3	orb/smoked_sphere						
280	ob4	orb/clasped_orb						
281	ob5	orb/dragon_stone						
282	am1	bow/stag_bow						
283	am2	bow/reflex_bow						
284	am3	spear/maiden_spear						
285	am4	spear/maiden_pike						
286	am5	javelin/maiden_javelin						
287	ob6	orb/eagle_orb						
288	ob7	orb/sacred_globe						
289	ob8	orb/smoked_sphere						
290	ob9	orb/clasped_orb						
291	oba	orb/dragon_stone						
292	am6	bow/stag_bow						
293	am7	bow/reflex_bow						
294	am8	spear/maiden_spear						
295	am9	spear/maiden_pike						
296	ama	javelin/maiden_javelin						
297	obb	orb/eagle_orb						
298	obc	orb/sacred_globe						
299	obd	orb/smoked_sphere						
300	obe	orb/clasped_orb						
301	obf	orb/dragon_stone						
302	amb	bow/stag_bow						
303	amc	bow/reflex_bow						
304	amd	spear/maiden_spear						
305	ame	spear/maiden_pike						
306	amf	javelin/maiden_javelin						
307	cap	helmet/cap_hat						
308	skp	helmet/skull_cap						
309	hlm	helmet/helm						
310	fhl	helmet/full_helm						
311	ghm	helmet/great_helm						
312	crn	helmet/crown						
313	msk	helmet/mask						
314	qui	armor/quilted_armor						
315	lea	armor/leather_armor						
316	hla	armor/hard_leather_armor						
317	stu	armor/studded_leather						
318	rng	armor/ring_mail						
319	scl	armor/scale_mail						
320	chn	armor/chain_mail						
321	brs	armor/breast_plate						
322	spl	armor/splint_mail						
323	plt	armor/plate_mail						
324	fld	armor/field_plate						
325	gth	armor/gothic_plate						
326	ful	armor/full_plate_mail						
327	aar	armor/ancient_armor						
328	ltp	armor/light_plate						
329	buc	shield/buckler						
330	sml	shield/small_shield						
331	lrg	shield/large_shield						
332	kit	shield/kite_shield						
333	tow	shield/tower_shield						
334	gts	shield/gothic_shield						
335	lgl	glove/gloves_l						
336	vgl	glove/heavy_gloves						
337	mgl	glove/bracers_m						
338	tgl	glove/light_gauntlets						
339	hgl	glove/gaunlets_h						
340	lbt	boot/leather_boots						
341	vbt	boot/heavy_boots						
342	mbt	boot/chain_boots						
343	tbt	boot/light_plate_boots						
344	hbt	boot/plate_boots						
345	lbl	belt/sash_l						
346	vbl	belt/light_belt						
347	mbl	belt/belt_m						
348	tbl	belt/heavy_belt						
349	hbl	belt/girdle_h						
350	bhm	helmet/bone_helm						
351	bsh	shield/bone_shield						
352	spk	shield/spiked_shield						
353	xap	helmet/cap_hat						
354	xkp	helmet/skull_cap						
355	xlm	helmet/helm						
356	xhl	helmet/full_helm						
357	xhm	helmet/great_helm						
358	xrn	helmet/crown						
359	xsk	helmet/mask						
360	xui	armor/quilted_armor						
361	xea	armor/leather_armor						
362	xla	armor/hard_leather_armor						
363	xtu	armor/studded_leather						
364	xng	armor/ring_mail						
365	xcl	armor/scale_mail						
366	xhn	armor/chain_mail						
367	xrs	armor/breast_plate						
368	xpl	armor/splint_mail						
369	xlt	armor/plate_mail						
370	xld	armor/field_plate						
371	xth	armor/gothic_plate						
372	xul	armor/full_plate_mail						
373	xar	armor/ancient_armor						
374	xtp	armor/light_plate						
375	xuc	shield/buckler						
376	xml	shield/small_shield						
377	xrg	shield/large_shield						
378	xit	shield/kite_shield						
379	xow	shield/tower_shield						
380	xts	shield/gothic_shield						
381	xlg	glove/gloves_l						
382	xvg	glove/heavy_gloves						
383	xmg	glove/bracers_m						
384	xtg	glove/light_gauntlets						
385	xhg	glove/gaunlets_h						
386	xlb	boot/leather_boots						
387	xvb	boot/heavy_boots						
388	xmb	boot/chain_boots						
389	xtb	boot/light_plate_boots						
390	xhb	boot/plate_boots						
391	zlb	belt/sash_l						
392	zvb	belt/light_belt						
393	zmb	belt/belt_m						
394	ztb	belt/heavy_belt						
395	zhb	belt/girdle_h						
396	xh9	helmet/bone_helm						
397	xsh	shield/bone_shield						
398	xpk	shield/spiked_shield						
399	dr1	pelt/wolf_head						
400	dr2	pelt/hawk_helm						
401	dr3	pelt/antlers						
402	dr4	pelt/falcon_mask						
403	dr5	pelt/spirit_mask						
404	ba1	helmet/jawbone_cap						
405	ba2	helmet/fanged_helm						
406	ba3	helmet/horned_helm						
407	ba4	helmet/assault_helmet						
408	ba5	helmet/avenger_guard						
409	pa1	shield/targe						
410	pa2	shield/rondache						
411	pa3	shield/heraldic_shield						
412	pa4	shield/aerin_shield						
413	pa5	shield/crown_shield						
414	ne1	voodoo_head/preserved_head						
415	ne2	voodoo_head/zombie_head						
416	ne3	voodoo_head/unraveller_head						
417	ne4	voodoo_head/gargoyle_head						
418	ne5	voodoo_head/demon_head						
419	ci0	circlet/circlet						
420	ci1	circlet/coronet						
421	ci2	circlet/tiara						
422	ci3	circlet/diadem						
423	uap	helmet/cap_hat						
424	ukp	helmet/skull_cap						
425	ulm	helmet/helm						
426	uhl	helmet/full_helm						
427	uhm	helmet/great_helm						
428	urn	helmet/crown						
429	usk	helmet/mask						
430	uui	armor/quilted_armor						
431	uea	armor/leather_armor						
432	ula	armor/hard_leather_armor						
433	utu	armor/studded_leather						
434	ung	armor/ring_mail						
435	ucl	armor/scale_mail						
436	uhn	armor/chain_mail						
437	urs	armor/breast_plate						
438	upl	armor/splint_mail						
439	ult	armor/plate_mail						
440	uld	armor/field_plate						
441	uth	armor/gothic_plate						
442	uul	armor/full_plate_mail						
443	uar	armor/ancient_armor						
444	utp	armor/light_plate						
445	uuc	shield/buckler						
446	uml	shield/small_shield						
447	urg	shield/large_shield						
448	uit	shield/kite_shield						
449	uow	shield/tower_shield						
450	uts	shield/gothic_shield						
451	ulg	glove/gloves_l						
452	uvg	glove/heavy_gloves						
453	umg	glove/bracers_m						
454	utg	glove/light_gauntlets						
455	uhg	glove/gaunlets_h						
456	ulb	boot/leather_boots						
457	uvb	boot/heavy_boots						
458	umb	boot/chain_boots						
459	utb	boot/light_plate_boots						
460	uhb	boot/plate_boots						
461	ulc	belt/sash_l						
462	uvc	belt/light_belt						
463	umc	belt/belt_m						
464	utc	belt/heavy_belt						
465	uhc	belt/girdle_h						
466	uh9	helmet/bone_helm						
467	ush	shield/bone_shield						
468	upk	shield/spiked_shield						
469	dr6	pelt/wolf_head						
470	dr7	pelt/hawk_helm						
471	dr8	pelt/antlers						
472	dr9	pelt/falcon_mask						
473	dra	pelt/spirit_mask						
474	ba6	helmet/jawbone_cap						
475	ba7	helmet/fanged_helm						
476	ba8	helmet/horned_helm						
477	ba9	helmet/assault_helmet						
478	baa	helmet/avenger_guard						
479	pa6	shield/targe						
480	pa7	shield/rondache						
481	pa8	shield/heraldic_shield						
482	pa9	shield/aerin_shield						
483	paa	shield/crown_shield						
484	ne6	voodoo_head/preserved_head						
485	ne7	voodoo_head/zombie_head						
486	ne8	voodoo_head/unraveller_head						
487	ne9	voodoo_head/gargoyle_head						
488	nea	voodoo_head/demon_head						
489	drb	pelt/wolf_head						
490	drc	pelt/hawk_helm						
491	drd	pelt/antlers						
492	dre	pelt/falcon_mask						
493	drf	pelt/spirit_mask						
494	bab	helmet/jawbone_cap						
495	bac	helmet/fanged_helm						
496	bad	helmet/horned_helm						
497	bae	helmet/assault_helmet						
498	baf	helmet/avenger_guard						
499	pab	shield/targe						
500	pac	shield/rondache						
501	pad	shield/heraldic_shield						
502	pae	shield/aerin_shield						
503	paf	shield/crown_shield						
504	neb	voodoo_head/preserved_head						
505	neg	voodoo_head/zombie_head						
506	ned	voodoo_head/unraveller_head						
507	nee	voodoo_head/gargoyle_head						
508	nef	voodoo_head/demon_head						
509	elx	potion/elixir						
510	hpo	potion/healing_potion						
511	mpo	potion/mana_potion						
512	hpf	potion/full_healing_potion						
513	mpf	potion/full_mana_potion						
514	vps	potion/stamina_potion						
515	yps	potion/antidote_potion						
516	rvs	potion/rejuv_potion						
517	rvl	potion/full_rejuv_potion						
518	wms	potion/thawing_potion						
519	tbk	book/town_portal_book						
520	ibk	book/identify_book						
521	amu	amulet/amulet						
522	vip	amulet/viper_amulet						
523	rin	ring/ring						
524	gld	gold/gold						
525	bks	quest/bark_scroll						
526	bkd	scroll/deciphered_bark_scroll						
527	aqv	quiver/arrows						
528	tch	..\..\_Tenebris_UI/Items/torch						
529	cqv	quiver/bolts						
530	tsc	scroll/town_portal_scroll						
531	isc	scroll/identify_scroll						
532	hrt	body_part/heart						
533	brz	body_part/brain						
534	jaw	body_part/jawbone						
535	eyz	body_part/eye						
536	hrn	body_part/horn						
537	tal	body_part/tail						
538	flg	body_part/flag						
539	fng	body_part/fang						
540	qll	body_part/quill						
541	sol	body_part/soul						
542	scz	scepter/scepter						
543	spe	body_part/soul						
544	key	key/skeleton_key						
545	luv	key/mephisto_key						
546	xyz	quest/scroll_of_self_resurrect						
547	j34	quest/jade_figurine						
548	g34	quest/gold_bird						
549	bbb	quest/lam_esens_tome						
550	box	quest/horadric_cube						
551	tr1	quest/scroll_of_horadric_quest_info						
552	mss	quest/mephisto_soul_stone						
553	ass	quest/book_of_skill						
554	qey	body_part/eye						
555	qhr	body_part/heart						
556	qbr	body_part/brain						
557	ear	body_part/player_ear						
558	gcv	gem/chipped_amethyst						
559	gfv	gem/flawed_amethyst						
560	gsv	gem/amethyst						
561	gzv	gem/flawless_amethyst						
562	gpv	gem/perfect_amethyst						
563	gcy	gem/chipped_topaz						
564	gfy	gem/flawed_topaz						
565	gsy	gem/topaz						
566	gly	gem/flawless_topaz						
567	gpy	gem/perfect_topaz						
568	gcb	gem/chipped_saphire						
569	gfb	gem/flawed_saphire						
570	gsb	gem/saphire						
571	glb	gem/flawless_saphire						
572	gpb	gem/perfect_saphire						
573	gcg	gem/chipped_emerald						
574	gfg	gem/flawed_emerald						
575	gsg	gem/emerald						
576	glg	gem/flawless_emerald						
577	gpg	gem/perfect_emerald						
578	gcr	gem/chipped_ruby						
579	gfr	gem/flawed_ruby						
580	gsr	gem/ruby						
581	glr	gem/flawless_ruby						
582	gpr	gem/perfect_ruby						
583	gcw	gem/chipped_diamond						
584	gfw	gem/flawed_diamond						
585	gsw	gem/diamond						
586	glw	gem/flawless_diamond						
587	gpw	gem/perfect_diamond						
588	hp1	potion/lesser_healing_potion						
589	hp2	potion/light_healing_potion						
590	hp3	potion/healing_potion2						
591	hp4	potion/strong_healing_potion						
592	hp5	potion/greater_healing_potion						
593	mp1	potion/lesser_mana_potion						
594	mp2	potion/light_mana_potion						
595	mp3	potion/mana_potion2						
596	mp4	potion/strong_mana_potion						
597	mp5	potion/greater_mana_potion						
598	skc	gem/chipped_skull						
599	skf	gem/flawed_skull						
600	sku	gem/skull						
601	skl	gem/flawless_skull						
602	skz	gem/perfect_skull						
603	hrb	herb/herb						
604	cm1	charm/charm_small						
605	cm2	charm/charm_medium						
606	cm3	charm/charm_large						
607	rps	potion/healing_potion						
608	rpl	potion/full_healing_potion						
609	bps	potion/mana_potion						
610	bpl	potion/full_mana_potion						
611	r01	..\..\_Tenebris_UI/Items/rune/el_rune						
612	r02	..\..\_Tenebris_UI/Items/rune/eld_rune						
613	r03	..\..\_Tenebris_UI/Items/rune/tir_rune						
614	r04	..\..\_Tenebris_UI/Items/rune/nef_rune						
615	r05	..\..\_Tenebris_UI/Items/rune/eth_rune						
616	r06	..\..\_Tenebris_UI/Items/rune/ith_rune						
617	r07	..\..\_Tenebris_UI/Items/rune/tal_rune						
618	r08	..\..\_Tenebris_UI/Items/rune/ral_rune						
619	r09	..\..\_Tenebris_UI/Items/rune/ort_rune						
620	r10	..\..\_Tenebris_UI/Items/rune/thul_rune						
621	r11	..\..\_Tenebris_UI/Items/rune/amn_rune						
622	r12	..\..\_Tenebris_UI/Items/rune/sol_rune						
623	r13	..\..\_Tenebris_UI/Items/rune/shael_rune						
624	r14	..\..\_Tenebris_UI/Items/rune/dol_rune						
625	r15	..\..\_Tenebris_UI/Items/rune/hel_rune						
626	r16	..\..\_Tenebris_UI/Items/rune/io_rune						
627	r17	..\..\_Tenebris_UI/Items/rune/lum_rune						
628	r18	..\..\_Tenebris_UI/Items/rune/ko_rune						
629	r19	..\..\_Tenebris_UI/Items/rune/fal_rune						
630	r20	..\..\_Tenebris_UI/Items/rune/lem_rune						
631	r21	..\..\_Tenebris_UI/Items/rune/pul_rune						
632	r22	..\..\_Tenebris_UI/Items/rune/um_rune						
633	r23	..\..\_Tenebris_UI/Items/rune/mal_rune						
634	r24	..\..\_Tenebris_UI/Items/rune/ist_rune						
635	r25	..\..\_Tenebris_UI/Items/rune/gul_rune						
636	r26	..\..\_Tenebris_UI/Items/rune/vex_rune						
637	r27	..\..\_Tenebris_UI/Items/rune/ohm_rune						
638	r28	..\..\_Tenebris_UI/Items/rune/lo_rune						
639	r29	..\..\_Tenebris_UI/Items/rune/sur_rune						
640	r30	..\..\_Tenebris_UI/Items/rune/ber_rune						
641	r31	..\..\_Tenebris_UI/Items/rune/jah_rune						
642	r32	..\..\_Tenebris_UI/Items/rune/cham_rune						
643	r33	..\..\_Tenebris_UI/Items/rune/zod_rune						
644	jew	..\..\_Tenebris_UI/Items/jewel						
645	ice	quest/scroll_of_self_resurrect						
646	0sc	scroll/identify_scroll						
647	tr2	quest/bark_scroll						
648	pk1	key/mephisto_key						
649	pk2	key/mephisto_key						
650	pk3	key/mephisto_key						
651	dhn	body_part/fang						
652	bey	body_part/eye						
653	mbr	body_part/brain						
654	toa	quest/token_of_absolution						
655	tes	quest/twisted_essence_of_suffering						
656	ceh	quest/charged_essense_of_hatred						
657	bet	quest/burning_essence_of_terror						
658	fed	quest/festering_essence_of_destruction						
659	std	body_part/flag						
660	wss	..\..\_Tenebris_UI/Items/worldstone_shard						
661	emd	..\..\_Tenebris_UI/Items/elemental_dust						
662	gr1	..\..\_Tenebris_UI/Items/grandrune						
663	tho	..\..\_Tenebris_UI/Items/thunder_orb						
664	ico	..\..\_Tenebris_UI/Items/ice_orb						
665	je1	..\..\_Tenebris_UI/Items/gem_of_souls						
666	je2	..\..\_Tenebris_UI/Items/gem_of_life						
667	je3	..\..\_Tenebris_UI/Items/gem_of_thunder_shock						
668	je4	..\..\_Tenebris_UI/Items/gem_of_burning_flames						
669	je5	..\..\_Tenebris_UI/Items/gem_of_ice_shards						
670	je6	..\..\_Tenebris_UI/Items/gem_of_fierce_winds						
671	je7	..\..\_Tenebris_UI/Items/gem_of_stone_wishes						
672	fio	..\..\_Tenebris_UI/Items/fire_orb						
673	je8	..\..\_Tenebris_UI/Items/gem_of_extra_shots						
674	je9	..\..\_Tenebris_UI/Items/stone_of_memories						
675	wts	..\..\_Tenebris_UI/Items/whetstone						
676	hoa	..\..\_Tenebris_UI/Items/hammer_of_upgrading						
677	aou	..\..\_Tenebris_UI/Items/ashes_of_upgrading						
678	mao	..\..\_Tenebris_UI/Items/molten_ashes_of_upgrading						
679	fws	..\..\_Tenebris_UI/Items/fire_whetstone						
680	tws	..\..\_Tenebris_UI/Items/thunder_whetstone						
681	sau	..\..\_Tenebris_UI/Items/stormy_ashes_of_upgrading						
682	fau	..\..\_Tenebris_UI/Items/fridgid_ashes_of_upgrading						
683	cws	..\..\_Tenebris_UI/Items/cold_whetstone						
684	lvs	..\..\_Tenebris_UI/Items/lovers_stone						
685	opa	..\..\_Tenebris_UI/Items/opal						
686	svw	..\..\_Tenebris_UI/Items/stone_of_vital_winds						
687	fms	..\..\_Tenebris_UI/Items/fragmented_stone						
688	sop	..\..\_Tenebris_UI/Items/stone_of_precision						
689	sob	..\..\_Tenebris_UI/Items/stone_of_bombardment						
690	sor	..\..\_Tenebris_UI/Items/stone_of_repetition						
691	exs	..\..\_Tenebris_UI/Items/exploded_stone						
692	son	..\..\_Tenebris_UI/Items/stone_of_novas						
693	som	..\..\_Tenebris_UI/Items/stone_of_multiple_shots						
694	sow	..\..\_Tenebris_UI/Items/stone_of_winds						
695	soe	..\..\_Tenebris_UI/Items/stone_of_earth						
696	soh	..\..\_Tenebris_UI/Items/stone_of_holy						
697	sot	..\..\_Tenebris_UI/Items/stone_of_traps						
698	sos	..\..\_Tenebris_UI/Items/stone_of_summoning						
699	stt	..\..\_Tenebris_UI/Items/stone_of_totems						
700	ss1	..\..\_Tenebris_UI/Items/ssop						
701	bd1	..\..\_Tenebris_UI/Items/blood_diamond						
702	jde	..\..\_Tenebris_UI/Items/jade						
703	mws	..\..\_Tenebris_UI/Items/magic_whetstone						
704	mas	..\..\_Tenebris_UI/Items/magic_ashes_of_upgrading						
705	gop	..\..\_Tenebris_UI/Items/gem_of_potential						
706	cop	..\..\_Tenebris_UI/Items/crystal_of_protection						
707	ins	..\..\_Tenebris_UI/Items/insoles						
708	uhs	..\..\_Tenebris_UI/Items/unholy_stone						
709	cm4	..\..\_Tenebris_UI/Items/grand_effigy						
710	hsa	..\..\_Tenebris_UI/Items/hammer_of_superior_upgrading						
711	svb	..\..\_Tenebris_UI/Items/silver_bullion						
712	gbd	..\..\_Tenebris_UI/Items/gold_bullion						
713	coa	..\..\_Tenebris_UI/Items/crystal_of_evasion						
714	foa	..\..\_Tenebris_UI/Items/fragment_of_upgrading						
715	hmb	..\..\_Tenebris_UI/Items/hammer_of_broken_limits						
716	lns	..\..\_Tenebris_UI/Items/lens						
717	ln2	..\..\_Tenebris_UI/Items/lens_of_weakness						
718	cor	..\..\_Tenebris_UI/Items/crystal_of_resistance						
719	abc	..\..\_Tenebris_UI/Items/abrasive_catalyst						
720	acc	..\..\_Tenebris_UI/Items/accelerating_catalyst						
721	bso	..\..\_Tenebris_UI/Items/exalted_orb						
722	cmo	..\..\_Tenebris_UI/Items/chromatic_orb						
723	ams	..\..\_Tenebris_UI/Items/armor_scrap						
724	aws	..\..\_Tenebris_UI/Items/awakeners_orb						
725	ftc	..\..\_Tenebris_UI/Items/fertile_catalyst						
726	ibc	..\..\_Tenebris_UI/Items/imbued_catalyst						
727	kom	..\..\_Tenebris_UI/Items/key_of_mystery						
728	int	..\..\_Tenebris_UI/Items/intrinsic_catalyst						
729	lr2	..\..\_Tenebris_UI/Items/legendary_rune						
730	lr3	..\..\_Tenebris_UI/Items/legendary_rune						
731	lr4	..\..\_Tenebris_UI/Items/legendary_rune						
732	lr5	..\..\_Tenebris_UI/Items/legendary_rune						
733	lr6	..\..\_Tenebris_UI/Items/legendary_rune						
734	lr7	..\..\_Tenebris_UI/Items/legendary_rune						
735	lr8	..\..\_Tenebris_UI/Items/legendary_rune						
736	lr9	..\..\_Tenebris_UI/Items/legendary_rune						
737	l10	..\..\_Tenebris_UI/Items/legendary_rune						
738	l11	..\..\_Tenebris_UI/Items/legendary_rune						
739	l12	..\..\_Tenebris_UI/Items/legendary_rune						
740	l13	..\..\_Tenebris_UI/Items/legendary_rune						
741	l14	..\..\_Tenebris_UI/Items/legendary_rune						
742	l15	..\..\_Tenebris_UI/Items/legendary_rune						
743	l16	..\..\_Tenebris_UI/Items/legendary_rune						
744	l17	..\..\_Tenebris_UI/Items/legendary_rune						
745	l18	..\..\_Tenebris_UI/Items/legendary_rune						
746	l19	..\..\_Tenebris_UI/Items/legendary_rune						
747	l20	..\..\_Tenebris_UI/Items/legendary_rune						
748	l21	..\..\_Tenebris_UI/Items/legendary_rune						
749	l22	..\..\_Tenebris_UI/Items/legendary_rune						
