Level	AC	AC(N)	AC(H)	L-AC	L-AC(N)	L-AC(H)	TH	TH(N)	TH(H)	L-TH	L-TH(N)	L-TH(H)	HP	HP(N)	HP(H)	L-HP	L-HP(N)	L-HP(H)	DM	DM(N)	DM(H)	L-DM	L-DM(N)	L-DM(H)	XP	XP(N)	XP(H)	L-XP	L-XP(N)	L-XP(H)
24	1609	2734	3660	2145	4293	4308	4399	5906	8223	3666	5906	8223	3000	4304	16669	2820	5738	26940	68	39	71	480	473	450	47	481	1805	2225	5774	8664
25	1676	2825	3771	2235	4428	4436	4597	6111	8510	3831	6111	8510	3000	4405	16954	3000	5873	27405	68	39	71	480	473	450	50	516	1933	2382	6185	9278
26	1744	2909	3884	2325	4561	4569	4795	6314	8796	3996	6314	8796	3180	4523	17226	3180	6030	27840	72	44	74	510	518	465	53	551	2068	2550	6616	9927
27	1811	2994	3995	2415	4696	4697	4997	6518	9084	4164	6518	9084	3390	4641	17511	3390	6188	28305	72	44	74	510	518	465	57	590	2214	2727	7082	10626
28	1877	3077	4107	2502	4831	4830	5195	6721	9371	4329	6721	9371	3600	4725	17783	3600	6300	28740	77	45	78	540	540	495	61	631	2368	2920	7574	11361
29	1944	3161	4220	2592	4964	4965	5393	6926	9657	4494	6926	9657	3780	4844	18068	3780	6458	29205	81	47	83	570	563	525	65	675	2532	3123	8101	12152
30	2012	3254	4331	2682	5099	5091	5594	7128	9944	4662	7128	9944	4020	5400	18340	4020	7200	29640	81	47	83	570	563	525	70	722	2708	3341	8664	12999
31	2079	3338	4443	2772	5231	5225	5792	7333	10230	4827	7333	10230	4260	5991	18624	4260	7988	30105	85	50	87	600	608	555	75	774	2903	3579	9288	13932
32	2147	3422	4547	2862	5366	5352	5990	7535	10517	4992	7535	10517	4500	6548	18897	4500	8730	30540	85	50	87	600	608	555	80	827	3103	3827	9927	14890
33	2214	3506	4667	2952	5501	5486	6192	7740	10803	5160	7740	10803	4740	7139	19182	4740	9518	31005	89	53	92	630	630	585	86	886	3323	4096	10631	15950
34	2279	3590	4778	3039	5634	5621	6390	7945	11091	5325	7945	11091	4980	7695	19454	4980	10260	31440	94	54	96	660	653	615	92	947	3552	4380	11361	17045
35	2347	3681	4883	3129	5769	5747	6588	8147	11378	5490	8147	11378	5220	8286	19738	5220	11048	31905	94	54	96	660	653	615	98	1014	3802	4689	12162	18246
36	2414	3766	5001	3219	5904	5882	6790	8352	11664	5658	8352	11664	5460	8860	20010	5460	11813	32340	98	57	101	690	698	645	105	1085	4069	5019	13019	19529
37	2482	3850	5106	3309	6037	6008	6988	8555	11951	5823	8555	11951	5700	9434	20295	5700	12578	32805	98	57	101	690	698	645	112	1160	4350	5369	13917	20878
38	2549	3932	5219	3399	6172	6143	7186	8759	12237	5988	8759	12237	5940	10007	20568	5940	13343	33240	101	59	104	720	720	660	120	1242	4658	5744	14900	22353
39	2615	4016	5337	3486	6307	6276	7387	8962	12524	6156	8962	12524	6180	10581	20852	6180	14108	33705	106	62	108	750	743	690	128	1328	4982	6144	15940	23910
40	2682	4110	5442	3576	6440	6404	7585	9167	12810	6321	9167	12810	6450	11155	21124	6450	14873	34140	106	62	108	750	743	690	137	1422	5333	6575	17060	25593
41	2750	4194	5553	3666	6575	6537	7783	9369	13098	6486	9369	13098	6750	11745	21409	6750	15660	34605	110	65	113	780	788	720	147	1521	5704	7037	18252	27378
42	2817	4277	5666	3756	6710	6665	7985	9574	13385	6654	9574	13385	7020	12302	21681	7020	16403	35040	110	65	113	780	788	720	157	1628	6103	7528	19529	29294
43	2885	4361	5777	3846	6842	6798	8183	9776	13671	6819	9776	13671	7290	12893	21966	7290	17190	35505	114	66	117	810	810	750	168	1741	6530	8056	20893	31342
44	2952	4445	5897	3936	6977	6933	8381	9981	13958	6984	9981	13958	7590	13450	22238	7590	17933	35940	119	69	122	840	833	780	179	1863	6986	8583	22353	33532
45	3017	4536	6000	4023	7110	7059	8582	10186	14244	7152	10186	14244	7860	14040	22523	7860	18720	36405	119	69	122	840	833	780	190	1993	7475	9110	23920	35880
46	3085	4621	6113	4113	7245	7194	8780	10388	14531	7317	10388	14531	8130	14631	22795	8130	19508	36840	124	72	126	870	878	810	201	2134	8003	9638	25608	38415
47	3152	4705	6224	4203	7380	7320	8978	10593	14817	7482	10593	14817	8430	15188	23079	8430	20250	37305	124	72	126	870	878	810	212	2282	8559	10165	27388	41082
48	3220	4788	6336	4293	7513	7455	9180	10796	15105	7650	10796	15105	8700	15779	23352	8700	21038	37740	127	74	131	900	900	840	223	2443	9163	10692	29319	43982
49	3287	4873	6449	4383	7648	7589	9378	11000	15392	7815	11000	15392	8970	16335	23637	8970	21780	38205	131	75	134	930	923	855	234	2614	9801	11219	31363	47044
50	3355	4965	6560	4473	7783	7715	9576	11203	15678	7980	11203	15678	9300	16926	23909	9300	22568	38640	131	75	134	930	923	855	245	2796	10486	11747	33553	50329
51	3420	5048	6672	4560	7916	7850	9778	11408	15965	8148	11408	15965	9630	17500	24193	9630	23333	39105	135	80	138	960	968	885	256	2991	11218	12274	35895	53843
52	3488	5132	6783	4650	8051	7976	9976	11610	16251	8313	11610	16251	9930	18074	24465	9930	24098	39540	135	80	138	960	968	885	267	3171	11893	12801	38055	57083
53	3555	5217	6896	4740	8186	8111	10174	11815	16538	8478	11815	16538	10260	18647	24750	10260	24863	40005	140	81	143	990	990	915	278	3361	12606	13329	40336	60505
54	3623	5301	7007	4830	8318	8244	10375	12017	16824	8646	12017	16824	10560	19221	25122	10560	25628	40605	144	83	147	1020	1013	945	289	3564	13365	13856	42765	64150
55	3690	5393	7119	4920	8453	8372	10573	12222	17112	8811	12222	17112	10890	19795	25678	10890	26393	41505	144	83	147	1020	1013	945	300	3778	14168	14383	45335	68003
56	3755	5477	7230	5007	8586	8505	10771	12425	17399	8976	12425	17399	11220	20385	26421	11220	27180	42705	148	87	152	1050	1058	975	311	4004	15016	14910	48048	72075
57	3823	5561	7335	5097	8721	8633	10973	12629	17685	9144	12629	17685	11520	20942	27498	11520	27923	44430	148	87	152	1050	1058	975	322	4244	15913	15438	50923	76384
58	3890	5643	7455	5187	8856	8766	11171	12834	17972	9309	12834	17972	11850	21533	28562	11850	28710	46155	152	89	156	1080	1080	1005	333	4498	16869	15965	53980	80972
59	3958	5728	7566	5277	8989	8901	11369	13037	18258	9474	13037	18258	12180	22090	29626	12180	29453	47880	157	90	159	1110	1103	1020	344	4768	17882	16492	57220	85830
60	4025	5821	7671	5367	9124	9027	11570	13241	18545	9642	13241	18545	12540	22680	30690	12540	30240	49605	157	90	159	1110	1103	1020	355	5055	18956	17019	60657	90986
61	4093	5903	7790	5457	9259	9162	11768	13444	18831	9807	13444	18831	12900	23271	31767	12900	31028	51330	161	95	164	1140	1148	1050	366	5357	20090	17547	64287	96431
62	4158	5987	7895	5544	9392	9288	11966	13649	19119	9972	13649	19119	13260	23828	32831	13260	31770	53055	161	95	164	1140	1148	1050	377	5679	21298	18074	68150	102226
63	4226	6072	8006	5634	9527	9423	12168	13851	19406	10140	13851	19406	13620	24419	33895	13620	32558	54780	165	96	168	1170	1170	1080	388	6020	22577	18601	72242	108366
64	4293	6155	8126	5724	9662	9557	12366	14056	19692	10305	14056	19692	13980	24975	34959	13980	33300	56505	165	96	168	1170	1170	1080	399	6382	23931	19129	76577	114865
65	4361	6248	8229	5814	9794	9684	12564	14258	19979	10470	14258	19979	14310	25566	36036	14310	34088	58230	169	98	173	1200	1193	1110	410	6764	25366	19656	81170	121756
66	4428	6332	8342	5904	9929	9818	12766	14463	20265	10638	14463	20265	14670	26140	37101	14670	34853	59955	174	101	177	1230	1238	1140	421	7147	26802	20183	85764	128646
67	4493	6416	8453	5991	10064	9944	12964	14666	20552	10803	14666	20552	15030	26714	38165	15030	35618	61680	174	101	177	1230	1238	1140	432	7530	28237	20710	90357	135536
68	4561	6500	8565	6081	10197	10079	13162	14870	20838	10968	14870	20838	15390	27287	39229	15390	36383	63405	178	104	182	1260	1260	1170	443	7913	29673	21238	94950	142426
69	4628	6584	8685	6171	10332	10212	13363	15073	21126	11136	15073	21126	15750	27861	40305	15750	37148	65130	181	105	186	1290	1283	1200	454	8295	31108	21765	99544	149316
70	4696	6676	8789	6261	10465	10340	13561	15278	21413	11301	15278	21413	16170	28435	41370	16170	37913	66855	181	105	186	1290	1283	1200	465	8678	32543	22292	104137	156206
71	4763	6759	8901	6351	10600	10473	13759	15482	21699	11466	15482	21699	16560	29025	42434	16560	38700	68580	186	108	189	1320	1328	1215	476	9061	33978	22820	108731	163096
72	4831	6844	9012	6441	10735	10601	13961	15685	21986	11634	15685	21986	16950	29582	43498	16950	39443	70305	186	108	189	1320	1328	1215	487	9444	35414	23347	113324	169986
73	4896	6928	9125	6528	10868	10734	14159	15890	22272	11799	15890	22272	17370	30173	44575	17370	40230	72030	190	111	194	1350	1350	1245	498	9827	36850	23874	117918	176877
74	4964	7010	9236	6618	11003	10869	14357	16092	22559	11964	16092	22559	17760	30730	45639	17760	40973	73755	195	113	198	1380	1373	1275	509	10209	38285	24401	122511	183767
75	5031	7103	9348	6708	11138	10995	14558	16297	22845	12132	16297	22845	18150	31320	46704	18150	41760	75480	195	113	198	1380	1373	1275	520	10592	39721	24929	127104	190657
76	5099	7188	9459	6798	11270	11130	14756	16499	23132	12297	16499	23132	18540	31911	47768	18540	42548	77205	199	116	203	1410	1418	1305	531	10975	41156	25456	131698	197547
77	5166	7270	9572	6888	11405	11256	14954	16704	23420	12462	16704	23420	18960	32468	48844	18960	43290	78930	199	116	203	1410	1418	1305	542	11358	42592	25983	136291	204437
78	5231	7355	9684	6975	11540	11391	15156	16907	23706	12630	16907	23706	19350	33059	49908	19350	44078	80655	203	117	207	1440	1440	1335	553	11741	44027	26511	140885	211327
79	5299	7439	9795	7065	11673	11525	15354	17111	23993	12795	17111	23993	19740	33615	50973	19740	44820	82380	207	120	212	1470	1463	1365	564	12123	45463	27038	145478	218217
80	5366	7532	9908	7155	11808	11652	15552	17314	24279	12960	17314	24279	20190	34206	52037	20190	45608	84105	207	120	212	1470	1463	1365	575	12506	46898	27565	150072	225108
81	5434	7614	10019	7245	11941	11786	15754	17519	24566	13128	17519	24566	20640	34780	53114	20640	46373	85830	212	123	216	1500	1508	1395	586	12889	48333	28092	154665	231998
82	5501	7699	10124	7335	12076	11913	15952	17721	24852	13293	17721	24852	21060	35354	54178	21060	47138	87555	212	123	216	1500	1508	1395	597	13272	49768	28620	159258	238888
83	5569	7783	10242	7425	12211	12047	16150	17926	25139	13458	17926	25139	21510	35927	55242	21510	47903	89280	216	125	219	1530	1530	1410	608	13654	51204	29147	163852	245778
84	5634	7866	10355	7512	12344	12180	16351	18131	25427	13626	18131	25427	21960	36501	56307	21960	48668	91005	216	125	219	1530	1530	1410	619	14037	52639	29674	168445	252668
85	5702	7958	10458	7602	12479	12308	16549	18333	25713	13791	18333	25713	22380	37075	57383	22380	49433	92730	220	128	224	1560	1553	1440	630	14420	54075	30201	173039	259558
86	5769	8043	10578	7692	12614	12441	16747	18538	26000	13956	18538	26000	22830	37665	58447	22830	50220	94455	224	129	228	1590	1575	1470	641	14803	55510	30729	177632	266448
87	5837	8126	10683	7782	12746	12569	16949	18740	26286	14124	18740	26286	23250	38222	59511	23250	50963	96180	224	129	228	1590	1575	1470	651	15186	56946	31256	182225	273338
88	5904	8210	10794	7872	12881	12702	17147	18945	26573	14289	18945	26573	23700	38813	60576	23700	51750	97905	228	132	233	1620	1620	1500	662	15568	58382	31783	186819	280229
89	5969	8295	10914	7959	13016	12837	17345	19148	26859	14454	19148	26859	24150	39370	61653	24150	52493	99630	233	134	237	1650	1643	1530	673	15951	59817	32311	191412	287119
90	6037	8387	11018	8049	13149	12963	17546	19352	27146	14622	19352	27146	24630	39960	62717	24630	53280	101355	233	134	237	1650	1643	1530	684	16334	61253	32838	196006	294009
91	6104	8471	11130	8139	13284	13098	17744	19555	27434	14787	19555	27434	25110	40551	63781	25110	54068	103080	237	137	242	1680	1665	1560	695	16717	62688	33365	200599	300899
92	6172	8555	11241	8229	13419	13224	17942	19760	27720	14952	19760	27720	25590	41108	80520	25590	54810	104805	237	137	242	1680	1665	1560	706	17100	64123	33892	205193	307789
93	6239	8639	11354	8319	13552	13359	18144	19962	28007	15120	19962	28007	26040	41699	81510	26040	55598	106530	241	140	245	1710	1710	1575	717	17482	64123	34420	209786	314679
94	6307	8721	11472	8409	13687	13493	18342	20167	28293	15285	20167	28293	26520	42255	82500	26520	56340	108255	245	141	249	1740	1733	1605	728	17865	64123	34947	214379	321569
95	6372	8815	11577	8496	13820	13620	18540	20372	28580	15450	20372	28580	27000	42846	84480	27000	57128	109980	245	141	249	1740	1733	1605	739	18248	64123	35474	218973	328459
96	6440	8899	11688	8586	13955	13754	18742	20574	28866	15618	20574	28866	27480	43420	85470	27480	57893	111705	250	143	254	1770	1755	1635	750	18631	64123	36002	223566	335350
97	6507	8981	11801	8676	14090	13881	18940	20779	29153	15783	20779	29153	27960	43994	86460	27960	58658	113430	250	143	254	1770	1755	1635	761	19013	64123	36529	228160	342240
98	6575	9065	11913	8766	14222	14015	19138	20981	29441	15948	20981	29441	28440	44567	92000	28440	59423	115155	254	147	258	1800	1800	1665	772	19396	64123	37056	232753	349130
99	6642	9150	12024	8856	14357	14150	19339	21186	29727	16116	21186	29727	28920	45141	144640	28920	60188	116880	254	147	258	1800	1800	1665	783	19779	64123	37583	237346	356020
100	6710	9241	12137	8946	14492	14276	19537	21389	30014	16281	21389	30014	29460	45715	73384	29460	60953	118605	259	149	263	1830	1823	1695	794	20162	64123	38111	241940	362910
101	6775	9326	12248	9033	14625	14411	19735	21593	30300	16446	21593	30300	29970	46305	74460	29970	61740	120330	262	150	269	1860	1845	1725	805	20545	64123	38638	246533	369800
102	6842	9410	12360	9123	14760	14537	19937	21796	30587	16614	21796	30587	30480	46862	75525	30480	62483	122055	262	150	269	1860	1845	1725	816	20927	64123	39165	251127	376690
103	6910	9494	12471	9213	14895	14670	20135	22001	30873	16779	22001	30873	30990	47453	76589	30990	63270	123780	267	155	273	1890	1890	1755	827	21310	64123	39693	255720	383580
104	6977	9578	12584	9303	15028	14805	20333	22203	31160	16944	22203	31160	31530	48010	77653	31530	64013	125505	267	155	273	1890	1890	1755	838	21693	64123	40220	260314	390471
105	7045	9670	12695	9393	15163	14931	20534	22408	31448	17112	22408	31448	32040	48600	78730	32040	64800	127230	270	156	275	1920	1913	1770	849	22076	64123	40747	264907	397361
106	7110	9754	12807	9480	15296	15066	20732	22610	31734	17277	22610	31734	32550	49191	79794	32550	65588	128955	275	158	279	1950	1935	1800	860	22458	64123	41274	269500	404251
107	7178	9837	12912	9570	15431	15192	20930	22815	32021	17442	22815	32021	33090	49748	80859	33090	66330	130680	275	158	279	1950	1935	1800	871	22841	64123	41802	274094	411141
108	9660	9922	13031	9660	15566	15327	21132	23020	32307	17610	23020	32307	33600	50339	81923	33600	67118	132405	280	162	284	1980	1980	1830	882	23224	64123	42329	278687	418031
109	9750	10006	13143	9750	15698	15461	21330	23222	32594	17775	23222	32594	34110	50895	82999	34110	67860	134130	283	164	288	2010	2003	1860	893	23607	64123	42856	283281	424921
110	15656	11742	7828	15656	11742	7828	59140	36962	24641	49283	36962	24641	150000	84375	61875	150000	112500	75000	275	120	152	1950	1463	975	33800	67600	84500	811200	811200	811200
