Name	version	*order	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	multiply	add
Coral	100	88	1	1	70		60				5	123	enr		30	40										weap	ring	amul	glov									0	0
		89																																				0	0
Amber	100	90	1	1	37		6				5	123	dex		12	25										weap	glov	ring	amul	misl	belt	lcha						0	0
		91																																				0	0
		92																																				0	0
Beryl	100	93	1	1	7		6				5	124	move2		3	5	dex		2	4						scha	mcha	jewl				jewl						0	0
Jade	100	94	1	1	18		6				5	124	extra-pois		3	5										scha	mcha	jewl				jewl						0	0
Jade	100	95	1	1	52		25				5	124	dmg-min		11	14										mcha												0	0
Viridian	100	96	1		27		6				5	124	red-dmg		12	25										armo	shld	amul	ring	lcha	jewl							0	0
Viridian	100	97	1	1	70		60				5	129	dmg-ac		15	20									dred	weap	ring	amul	glov									0	0
		98																																				0	0
Emerald	100	99	1	1	37		6				5	124	hp		12	22										weap	glov	ring	amul	misl	belt	lcha						0	0
		100																																				0	0
Fletcher's	100	101	1	1	45		14				5	125	res-ltng		20	30										mcha	boot	ring	amul	tors								0	0
Archer's	100	102	1	1	60		40				5	125	hp		135	180									cgrn	weap	ring	amul	glov									0	0
Archer's	100	103	1	1	70		60				5	125	hp		150	200									cgrn	weap	ring	amul	glov									0	0
Monk's	100	104	1	1	45		14				5	126	red-mag		12	25										armo	shld	amul	ring	lcha	jewl							0	0
Priest's	100	105	1	1	60		40				5	126	res-cold		9	14									cgrn	armo	ring	amul	glov									0	0
Priest's	100	106	1	1	70		60				5	126	move1		20	25									cgrn	weap	ring	amul	glov									0	0
Summoner's	100	107	1	1	45		14				5	127	red-dmg%		1	2										mcha	boot	ring	amul	tors								0	0
Necromancer's	100	108	1	1	60		40				5	127	cast2		8	9									dgld	weap	ring	amul	glov									0	0
Necromancer's	100	109	1	1	70		60				5	127	mana-kill		50	60									cgrn	weap	ring	amul	glov									0	0
Angel's	100	110	1	1	45		14				5	128	hp		80	144										mcha	boot	ring	amul	tors								0	0
Arch-Angel's	100	111	1	1	60		40				5	128	str		9	14									cgrn	weap	ring	amul	glov									0	0
Arch-Angel's	100	112	1	1	70		60				5	128	dmg-fire		400	500									cgrn	weap	ring	amul	glov									0	0
Slayer's	100	113	1	1	45		18				5	129	move1		9	14										armo	shld	amul	ring	lcha	jewl							0	0
Berserker's	100	114	1	1	60		40				5	129	mana		270	360									cgrn	weap	ring	amul	glov									0	0
Berserker's	100	115	1	1	70		60				5	129	dmg-min		25	30										mcha	jewl	misl										0	0
		116																																				0	0
		117																																				0	0
Triumphant	100	118	1	1	4		6				5	132	dmg%		50	72										weap	glov	ring	amul	misl	belt	lcha						0	0
Expansion		119																																					
Stout	100	120	1	1	1		1				5	101	all-stats		3	4										weap	glov	ring	amul	misl	belt	lcha						0	0
Stout	100	121	1	1	30		6				5	101	res-all		4	10	enr		4	8						scha	mcha	jewl										0	0
Stout	100	122	1	1	18		6				5	101	block1		3	4	str		3	5						scha	mcha	jewl				jewl						0	0
Burly	100	123	1		25		6				5	101	move2		8	11	dex		5	9						scha	mcha	jewl										0	0
Burly	100	124	1	1	70		60				5	129	res-cold		10	15										mcha	jewl	misl										0	0
Burly	100	125	1	1	60		40				5	101	skilltab	2	1	2										weap	ring	amul	glov									0	0
Stalwart	100	126	1	1	60		40				5	101	dmg-fire		360	450										weap	ring	amul	glov									0	0
Stalwart	100	127	1	1	70		60				5	101	cast2		9	10										mcha	jewl	misl										0	0
Stalwart	100	128	1	1	60		40				5	101	dex		17	25										armo	ring	amul	jewl									0	0
Stout	100	129	1	1	30		6				5	101	move2		6	10	dex		4	8						scha	mcha	jewl										0	0
Stout	100	130	1	1	21		6				5	101	dmg-fire		1	46			8	15						lcha	staf	boot	jewl	miss	armo	weap						0	0
Stout	100	131	1	1	30		6				5	101	mag%		10	14	gold%		6	8						scha	mcha	jewl				weap						0	0
Burly	100	132	1	1	40		18				5	101	mag%		12	17	gold%		7	9						scha	mcha	jewl										0	0
Burly	100	133	1	1	1		1				5	101	lifesteal		1	1										weap	glov	ring	amul	misl	belt	lcha						0	0
Stalwart	100	134	1	1	50		14				5	101	enr		27	43										weap	ring	amul	glov									0	0
Stalwart	100	135	1	1	60		40				5	101	swing2		15	15	att		400	500						weap												0	0
Stout	100	136	1	1	1		1				5	101	manasteal		1	1										weap	glov	ring	amul	misl	belt	lcha						0	0
Stout	100	137	1	1	31		6				5	101	extra-cold		4	7	dmg-cold		20	40						scha	mcha	jewl				weap						0	0
Burly	100	138	1	1	54		25				5	101	lifesteal		1	4										mcha												0	0
Stalwart	100	139	1	1	70		60				5	101	dmg-undead		300	400										weap	ring	amul	glov									0	0
Blanched	100	140	1	1	1		1				5	101	regen-mana		6	10										weap	glov	ring	amul	misl	belt	lcha						0	0
Eburin	100	141	1		24		6				5	101	mana-kill		12	28										weap	glov	ring	amul	misl	belt	lcha						0	0
Bone	100	142	1	1	48		14				5	101	dmg-ltng		100	360										mcha	glov	ring	amul	weap								0	0
Ivory	100	143	1	1	50		14				5	101	dmg%		122	292										weap	ring	amul	glov	lcha								0	0
Sturdy	100	144	1	1	1		1				5	101	mag%		1	1										weap	glov	ring	amul	misl	belt	lcha						0	0
Sturdy	100	145	1	1	6		6				5	101	prop-dmgtoholy		10	14										weap	glov	ring	amul	misl	belt	lcha						0	0
Strong	100	146	1	1	13		6				5	101	dex		7	14										weap	glov	ring	amul	misl	belt	lcha						0	0
Glorious	100	147	1	1	28		6				5	101	att		100	192										weap	glov	ring	amul	misl	belt	lcha						0	0
Blessed	100	148	1	1	37		6				5	101	dmg%		115	166										weap	glov	ring	amul	misl	belt	lcha						0	0
Saintly	100	149	1	1	50		14				5	101	dmg-mag		324	486										weap	ring	amul	glov	lcha								0	0
Holy	100	150	1	1	50		18				5	101	dmg-ltng		324	486										weap	ring	amul	glov	lcha								0	0
Godly	100	151	1	1	50		18				5	101	res-ltng		8	16									lgld	armo	ring	amul	glov	lcha								0	0
Devious	100	152	1	1	10		6				5	102	ac		30	48										armo	shld	amul	ring	lcha	jewl	jewl						0	0
Blank	100	153	1	1	21		6				5	102	mana		5	24	red-dmg		1	10	mag%		1	5		lcha	staf	boot	jewl	miss	armo	weap						0	0
Null	100	154	1	1	31		6				5	102	res-fire		18	31										armo	shld	amul	ring	lcha	jewl	weap						0	0
Antimagic	100	155	1	1	42		14				5	102	extra-cold		5	8	dmg-cold		23	46						scha	mcha	jewl				weap						0	0
Red	100	156	1	1	6		6				5	103	regen		100	180										weap	glov	ring	amul	misl	belt	lcha						0	0
Red	100	157	1		24		6				5	103	regen		225	406										weap	glov	ring	amul	misl	belt	lcha						0	0
Sanguinary	100	158	1	1	42		14				5	103	extra-pois		5	8										scha	mcha	jewl				weap						0	0
Sanguinary	100	159	1	1	60		40				5	103	mag%		5	9										weap	ring	amul	glov									0	0
Bloody	100	160	1	1	70		60				5	103	swing2		9	10										mcha	jewl	misl										0	0
Red	100	161	1	1	16		6				5	103	all-stats		4	5										weap	glov	ring	amul	misl	belt	lcha						0	0
Sanguinary	100	162	1	1	49		14				5	103	dmg-max		10	14										mcha	glov	ring	amul	weap								0	0
Bloody	100	163	1	1	70		60				5	103	dmg-mag		400	500									dred	weap	ring	amul	glov									0	0
Red	100	164	1	1	36		6				5	103	att		115	221										weap	glov	ring	amul	misl	belt	lcha						0	0
Sanguinary	100	165	1	1	60		40				5	103	ac		138	289									dred	armo	ring	amul	jewl									0	0
Bloody	100	166	1	1	70		60				5	103	nec		1	1									dred	weap	ring	amul	glov									0	0
Scarlet	100	167	1	1	70		60				5	103	res-mag		3	5										mcha	jewl	misl										0	0
Crimson	100	168	1	1	50		14				5	103	att		40	60									dred	weap	ring	amul	glov									0	0
Jagged	100	169	1	1	4		6				5	104	dmg-min		8	10	dmg-max		11	11						weap	glov	ring	amul	misl	belt	lcha						0	0
Jagged	100	170	1	1	15		6				5	104	prop-dmgtoholy		13	19										weap	glov	ring	amul	misl	belt	lcha						0	0
Jagged	100	171	1		25		6				5	104	regen-mana		14	22										weap	glov	ring	amul	misl	belt	lcha						0	0
Forked	100	172	1	1	37		6				5	104	dmg-cold		23	138										weap	glov	ring	amul	misl	belt	lcha						0	0
Forked	100	173	1	1	48		18				5	104	dmg-mag		100	360										mcha	glov	ring	amul	weap								0	0
Serrated	100	174	1	1	50		18				5	104	dmg-max		45	65										weap	ring	amul	glov									0	0
Serrated	100	175	1	1	70		60				5	104	str		30	40										weap	ring	amul	glov									0	0
Jagged	100	176	1	1	15		6				5	104	heal-kill		10	24										weap	glov	ring	amul	misl	belt	lcha						0	0
Jagged	100	177	1	1	30		6				5	104	hp		30	48	mana		20	24						scha	mcha	jewl										0	0
Forked	100	178	1	1	45		14				5	104	res-fire		20	30										mcha	boot	ring	amul	tors								0	0
Forked	100	179	1	1	60		40				5	104	dmg-fire		45	270									blac	weap	ring	amul	glov									0	0
Serrated	100	180	1	1	70		60				5	104	sor		1	1									blac	weap	ring	amul	glov									0	0
Jagged	100	181	1	1	34		6				5	104	balance1		8	14										armo	shld	amul	ring	lcha	jewl							0	0
Forked	100	182	1	1	50		14				5	104	dex		27	43									blac	weap	ring	amul	glov									0	0
Serrated	100	183	1	1	70		60				5	104	pal		1	1									blac	weap	ring	amul	glov									0	0
Carbuncle	100	184	1	1	18		6				5	104	light		7	10										scha	mcha	jewl				jewl						0	0
Carmine	100	185	1	1	70		60				5	104	att		44	55									dred	weap	ring	amul	glov									0	0
Vermillion	100	186	1	1	70		60				5	104	dru		1	1									dred	weap	ring	amul	glov									0	0
Jagged	100	187	1	1	1		1				5	105	gold%		7	11										weap	glov	ring	amul	misl	belt	lcha						0	0
Deadly	100	188	1	1	7		6				5	105	regen-mana		6	10										scha	mcha	jewl				jewl						0	0
Vicious	100	189	1	1	12		6				5	105	red-mag		5	11										armo	shld	amul	ring	lcha	jewl	jewl						0	0
Brutal	100	190	1		21		6				5	105	dmg-ltng		23	136										weap	glov	ring	amul	misl	belt	lcha						0	0
Massive	100	191	1	1	30		6				5	105	block1		4	5	str		4	8						scha	mcha	jewl										0	0
Savage	100	192	1	1	39		6				5	105	regen-mana		14	22										weap	glov	ring	amul	misl	belt	lcha						0	0
Merciless	100	193	1	1	48		14				5	105	att		300	480										mcha	glov	ring	amul	weap								0	0
Ferocious	100	194	1	1	60		40				5	105	red-dmg		22	48									blac	armo	ring	amul	jewl									0	0
Cruel	100	195	1	1	70		60				5	105	dmg-max		50	60									blac	weap	ring	amul	glov									0	0
Cinnabar	100	196	1	1	1		1				5	105	regen		100	180										weap	glov	ring	amul	misl	belt	lcha						0	0
Rusty	100	197	1	1	19		6				5	105	balance1		5	10										armo	shld	amul	ring	lcha	jewl	jewl						0	0
Realgar	100	198	1	1	60		40				5	105	res-cold		28	34									dred	armo	ring	amul	jewl									0	0
Ruby	100	199	1	1	70		60				5	105	mana		300	400									dred	weap	ring	amul	glov									0	0
Vulpine	100	200	1	1	13		6				5	107	str		7	14										weap	glov	ring	amul	misl	belt	lcha						0	0
Dun	100	201	1	1	10		6				5	107	red-dmg		5	11										armo	shld	amul	ring	lcha	jewl	jewl						0	0
Tireless	100	202	1	1	9		6				5	108	res-ltng		9	16										armo	shld	amul	ring	lcha	jewl	jewl						0	0
Tireless	100	203	1		21		6				5	108	dmg-mag		23	136										weap	glov	ring	amul	misl	belt	lcha						0	0
Brown	100	204	1	1	50		14				5	108	move1		18	28										weap	ring	amul	glov									0	0
Rugged	100	205	1	1	20		6				5	109	ac%		9	12										armo	shld	amul	ring	lcha	jewl	jewl						0	0
Rugged	100	206	1	1	10		6				5	109	move1		4	6										armo	shld	amul	ring	lcha	jewl	jewl						0	0
Rugged	100	207	1	1	31		6				5	109	res-ltng		18	31										armo	shld	amul	ring	lcha	jewl							0	0
Rugged	100	208	1	1	1		1				5	109	hp		5	10										weap	glov	ring	amul	misl	belt	lcha							
Rugged	100	209	1	1	10		6				5	109	ac%		7	10										armo	shld	amul	ring	lcha	jewl	jewl						0	0
Rugged	100	210	1	1	31		6				5	109	extra-fire		4	7	dmg-fire		20	40						scha	mcha	jewl										0	0
Rugged	100	211	1	1	1		1				5	109	mana		5	10										weap	glov	ring	amul	misl	belt	lcha							
Rugged	100	212	1	1	31		6				5	109	extra-ltng		4	7	dmg-ltng		20	40						scha	mcha	jewl										0	0
Rugged	100	213	1	1	1		1				5	109	prop-dmgtounholy		10	14										weap	glov	ring	amul	misl	belt	lcha						0	0
Rugged	100	214	1	1	12		6				5	109	dmg-fire		13	78										weap	glov	ring	amul	misl	belt	lcha						0	0
Rugged	100	215	1	1	12		6				5	109	dmg-cold		13	78										weap	glov	ring	amul	misl	belt	lcha						0	0
Vigorous	100	216	1	1	50		14				5	109	ac%		8	19										weap	ring	amul	glov	lcha								0	0
Chestnut	100	217	1	1	1		1				5	109	prop-dmgtoholy		10	14										weap	glov	ring	amul	misl	belt	lcha						0	0
Maroon	100	218	1	1	70		60				5	109	all-stats		10	15									dred	weap	ring	amul	glov									0	0
Bronze	100	219	1	1	1		1				5	110	heal-kill		8	18										weap	glov	ring	amul	misl	belt	lcha						0	0
Bronze	100	220	1	1	1		1				5	110	mana-kill		5	12										weap	glov	ring	amul	misl	belt	lcha						0	0
Bronze	100	221	1	1	19		6				5	110	res-cold		12	20										armo	shld	amul	ring	lcha	jewl	jewl						0	0
Iron	100	222	1	1	1		1				5	110	att%		10	24										weap	glov	ring	amul	misl	belt	lcha						0	0
Iron	100	223	1	1	50		14				5	110	dmg-max		21	29										weap	ring	amul	glov	lcha								0	0
Iron	100	224	1	1	50		14				5	110	res-pois		8	16										armo	ring	amul	glov	lcha								0	0
Steel	100	225	1	1	55		25				5	110	oskill	Mind Blast	1	2	all-stats		4	4						boot	glov	amul	ring	lcha								0	0
Steel	100	226	1	1	1		1				5	110	cast1		7	12										weap	glov	ring	amul	misl	belt	lcha						0	0
Steel	100	227	1	1	70		60				5	110	swing1		25	30										weap	ring	amul	glov									0	0
Bronze	100	228	1	1	1		1				5	110	str		5	11										weap	glov	ring	amul	misl	belt	lcha						0	0
Bronze	100	229	1	1	10		6				5	110	res-mag		2	4										armo	shld	amul	ring	lcha	jewl	jewl						0	0
Bronze	100	230	1		24		6				5	110	heal-kill		18	42										weap	glov	ring	amul	misl	belt	lcha						0	0
Iron	100	231	1	1	50		14				5	110	dmg%		65	88									lgld	weap	ring	amul	glov	lcha								0	0
Iron	100	232	1	1	51		25				5	110	dmg-fire		41	292									blac	weap	ring	amul	glov	lcha								0	0
Steel	100	233	1	1	60		40				5	110	hp		55	145										armo	ring	amul	jewl									0	0
Steel	100	234	1	1	70		60				5	110	str		10	15										mcha	jewl	misl										0	0
Bronze	100	235	1	1	1		1				5	110	enr		5	11										weap	glov	ring	amul	misl	belt	lcha						0	0
Bronze	100	236	1	1	31		6				5	110	res-cold		18	31										armo	shld	amul	ring	lcha	jewl							0	0
Iron	100	237	1	1	50		14				5	110	dmg%		135	324										weap	ring	amul	glov									0	0
Steel	100	238	1	1	1		1				5	110	vit		5	11										weap	glov	ring	amul	misl	belt	lcha						0	0
Bronze	100	239	1	1	1		1				5	110	dex		5	11										weap	glov	ring	amul	misl	belt	lcha						0	0
Iron	100	240	1	1	6		6				5	110	reduce-ac		4	7										weap	glov	ring	amul	misl	belt	lcha						0	0
Steel	100	241	1	1	12		6				5	110	dmg-mag		13	78										weap	glov	ring	amul	misl	belt	lcha						0	0
Silver	100	242	1	1	70		60				5	110	ac%		10	20										mcha	jewl	misl										0	0
Gold	100	243	1		25		6				5	110	all-stats		8	10										weap	glov	ring	amul	misl	belt	lcha						0	0
Platinum	100	244	1	1	33		6				5	110	regen		200	360										armo	shld	amul	ring	lcha	jewl							0	0
Meteoric	100	245	1	1	1		1				5	110	dmg%		50	72										weap	glov	ring	amul	misl	belt	lcha						0	0
Strange	100	246	1	1	48		14				5	110	dex		12	36										jewl	glov	ring	amul	weap								0	0
Weird	100	247	1	1	55		25				5	110	oskill	Mind Blast	1	2	all-stats		4	4						boot	glov	amul	ring	lcha								0	0
Nickel	100	248	1	1	1		1				5	110	dmg-ltng		10	60										weap	glov	ring	amul	misl	belt	lcha						0	0
Tin	100	249	1	1	12		6				5	110	att		65	125										weap	glov	ring	amul	misl	belt	lcha						0	0
Silver	100	250	1	1	37		6				5	110	dmg-ltng		23	138										weap	glov	ring	amul	misl	belt	lcha						0	0
Argent	100	251	1	1	60		40				5	110	res-ltng		28	34										armo	ring	amul	jewl									0	0
Fine	100	252	1		22		6				5	111	str		12	25										weap	glov	ring	amul	misl	belt	lcha						0	0
Fine	100	253	1	1	33		6				5	111	res-mag		4	7										armo	shld	amul	ring	lcha	jewl							0	0
Sharp	100	254	1	1	43		14				5	111	res-mag		5	8										armo	shld	amul	ring	lcha	jewl							0	0
Fine	100	255	1		28		6				5	111	red-mag		12	25										armo	shld	amul	ring	lcha	jewl							0	0
Sharp	100	256	1	1	42		14				5	111	extra-ltng		5	8	dmg-ltng		23	46						scha	mcha	jewl										0	0
Fine	100	257	1	1	42		14				5	111	extra-fire		5	8	dmg-fire		23	46						scha	mcha	jewl										0	0
Sharp	100	258	1	1	60		40				5	111	skilltab	20	1	2										weap	ring	amul	glov									0	0
Fine	100	259	1	1	18		6				5	111	hp		20	31	mana		13	16						scha	mcha	jewl				jewl						0	0
Warrior's	100	260	1	1	1		1				5	111	dmg-cold		10	60										weap	glov	ring	amul	misl	belt	lcha						0	0
Soldier's	100	261	1	1	40		14				5	111	all-stats		7	8										weap	glov	ring	amul	misl	belt	lcha						0	0
Knight's	100	262	1	1	50		14				5	111	dmg-min		45	65									dgld	weap	ring	amul	glov									0	0
Lord's	100	263	1	1	1		1				5	111	att		50	96										weap	glov	ring	amul	misl	belt	lcha						0	0
King's	100	264	1	1	70		60				5	111	ac		200	220										mcha	jewl	misl										0	0
Master's	100	265	1	1	1		1				5	111	red-mag		5	11										armo	shld	amul	ring	lcha	jewl							0	0
Grandmaster's	100	266	1	1	70		60				5	111	dex		30	40										weap	ring	amul	glov									0	0
Glimmering	100	267	1	1	1		1				5	112	res-pois-len		5	8										armo	shld	amul	ring	lcha	jewl							0	0
Glowing	100	268	1	1	1		1				5	112	ac%		7	10										armo	shld	amul	ring	lcha	jewl							0	0
Bright	100	269	1	1	1		1				5	112	ac		30	48										armo	shld	amul	ring	lcha	jewl							0	0
Screaming	100	270	1	1	1		1				5	113	move1		4	6										armo	shld	amul	ring	lcha	jewl							0	0
Howling	100	271	1	1	1		1				5	113	regen		100	180										armo	shld	amul	ring	lcha	jewl							0	0
Wailing	100	272	1	1	1		1				5	113	red-dmg		5	11										armo	shld	amul	ring	lcha	jewl							0	0
Screaming	100	273	1	1	15		6				5	113	mana-kill		7	16										weap	glov	ring	amul	misl	belt	lcha						0	0
Howling	100	274	1		24		6				5	113	prop-dmgtoholy		23	32										weap	glov	ring	amul	misl	belt	lcha						0	0
Wailing	100	275	1	1	36		6				5	113	red-mag		10	22										armo	shld	amul	ring	lcha	jewl							0	0
Lucky	100	276	1	1	70		60				5	114	dmg%		150	300									dred	weap	ring	amul	glov									0	0
Lucky	100	277	1	1	70		60				5	114	cast1		25	30									dred	weap	ring	amul	glov									0	0
Lucky	100	278	1	1	70		60				5	114	att%		50	100									dred	weap	ring	amul	glov									0	0
Lucky	100	279	1	1	70		60				5	114	mana		300	400									dred	weap	ring	amul	glov									0	0
Lucky	100	280	1	1	70		60				5	114	mana		300	400									dred	weap	ring	amul	glov									0	0
Lucky	100	281	1	1	70		60				5	114	ass		1	1										weap	ring	amul	glov									0	0
Felicitous	100	282	1	1	7		6				5	114	gold%		7	11										weap	glov	ring	amul	misl	belt	lcha						0	0
Fortuitous	100	283	1	1	18		6				5	114	mag%		7	10	gold%		4	5						scha	mcha	jewl				jewl						0	0
Emerald	100	284	1		24		6				5	114	hp		12	22										weap	glov	ring	amul	misl	belt	lcha						0	0
Lizard's	100	285	1	1	12		6				5	115	res-pois-len		5	8										armo	shld	amul	ring	lcha	jewl	jewl						0	0
