ItemType	Code	Equiv1	Equiv2	Repair	Body	BodyLoc1	BodyLoc2	Shoots	Quiver	Throwable	Reload	ReEquip	AutoStack	Magic	Rare	Normal	Beltable	MaxSockets1	MaxSocketsLevelThreshold1	MaxSockets2	MaxSocketsLevelThreshold2	MaxSockets3	TreasureClass	Rarity	StaffMods	Class	VarInvGfx	InvGfx1	InvGfx2	InvGfx3	InvGfx4	InvGfx5	InvGfx6	StorePage	*eol
Polearm	pole	sppl		1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	0	3			0							weap	0
Crossbow	xbow	miss		1	1	rarm	larm	xboq		0	0	0	0		1	0	0	3	25	4	40	6	0	3			0							weap	0
Mace	mace	blun		1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	0	3			0							weap	0
Helm	merc			1	1	head	head			0	0	0	0		1	0	0	2	25	2	40	3	0	3			0							armo	0
Missile Potion	tpot	thro		0	1	rarm	larm			1	1	1	1			1	0	0	25	0	40	0	0	3			0							misc	0
Quest	ques			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Body Part	body	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Key	key	misc		0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0
Throwing Knife	tkni	comb	knif	1	1	rarm	larm			1	1	1	1		1	0	0	0	25	0	40	0	0	3			0							misc	0
Throwing Axe	taxe	comb	axe	1	1	rarm	larm			1	1	1	1		1	0	0	0	25	0	40	0	0	3			0							misc	0
Javelin	jave	comb	spea	1	1	rarm	larm			1	1	1	1		1	0	0	2	25	2	40	2	0	3			0							misc	0
Weapon	weap			0	0					0	0	0	0		1	0	0	0	25	0	40	0	1	3			0								0
Melee Weapon	mele	weap		0	0					0	0	0	0		1	0	0	0	25	0	40	0	1	3			0								0
Missile Weapon	miss	weap		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0
Thrown Weapon	thro	weap		0	0					1	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0
Combo Weapon	comb	mele	thro	0	0					1	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0
Any Armor	armo			0	0					0	0	0	0		1	0	0	0	25	0	40	0	1	3			0								0
Any Shield	shld	armo	seco	0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0
Miscellaneous	misc			0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0
Socket Filler	sock	misc		0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Second Hand	seco			0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0
Staves And Rods	rod	blun		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0
Missile	misl	misc		0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
Blunt	blun	mele		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0
Expansion																																			0
Jewel	jewl	sock		0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	3			0							misc	0
Class Specific	clas			0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0
Amazon Item	amaz	clas		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	1		ama	0								0
Barbarian Item	barb	clas		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	1		bar	0								0
Necromancer Item	necr	clas		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	1		nec	0								0
Paladin Item	pala	clas		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	1		pal	0								0
Sorceress Item	sorc	clas		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	1		sor	0								0
Assassin Item	assn	clas		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	2		ass	0								0
Druid Item	drui	clas		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	1		dru	0								0
Hand to Hand	h2h	mele	assn	1	1	rarm	larm			0	0	0	0		1	0	0	2	25	3	40	3	0	2		ass	0							weap	0
Orb	orb	weap	sorc	1	1	rarm	larm			0	0	0	0		1	0	0	2	25	3	40	3	0	1	sor	sor	0							weap	0
Voodoo Heads	head	shld	necr	1	1	rarm	larm			0	0	0	0		1	0	0	2	25	3	40	3	0	1	nec	nec	0							armo	0
Auric Shields	ashd	shld	pala	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	4	0	1		pal	0							armo	0
Primal Helm	phlm	helm	barb	1	1	head	head			0	0	0	0		1	0	0	2	25	3	40	3	0	1	bar	bar	0							armo	0
Pelt	pelt	helm	drui	1	1	head	head			0	0	0	0		1	0	0	2	25	3	40	3	0	1	dru	dru	0							armo	0
Cloak	cloa	tors	assn	1	1	tors	tors			0	0	0	0		1	0	0	0	25	0	40	0	0	1	ass	ass	0							armo	0
Rune	rune	sock		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Circlet	circ	helm		1	1	head	head			0	0	0	0		1	0	0	1	25	2	40	3	0	3			0							armo	0
Healing Potion	hpot	poti		0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	0
Mana Potion	mpot	poti		0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	0
Rejuv Potion	rpot	hpot	mpot	0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	0
Stamina Potion	spot	poti		0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	0
Antidote Potion	apot	poti		0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	0
Thawing Potion	wpot	poti		0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	0
Small Charm	scha	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Medium Charm	mcha	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Large Charm	lcha	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Amazon Bow	abow	bow	amaz	0	1	rarm	larm	bowq		0	0	0	0		1	0	0	3	25	4	40	5	1	1		ama	0							weap	0
Amazon Spear	aspe	spea	amaz	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	0	1		ama	0							weap	0
Amazon Javelin	ajav	jave	amaz	1	1	rarm	larm			1	1	1	1		1	0	0	2	25	2	40	2	0	1		ama	0							misc	0
Hand to Hand 2	h2h2	h2h		1	1	rarm	larm			0	0	0	0		1	0	0	2	25	3	40	3	0	2	ass	ass	0							weap	0
Magic Bow Quiv	mboq	bowq		0	1	rarm	larm		bow	0	1	0	0	1	1	1	0	0	25	0	40	0	0	3			0							misc	0
Magic Xbow Quiv	mxbq	xboq		0	1	rarm	larm		xbow	0	1	0	0	1	1	1	0	0	25	0	40	0	0	3			0							misc	0
Chipped Gem	gem0	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Flawed Gem	gem1	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Standard Gem	gem2	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Flawless Gem	gem3	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Perfect Gem	gem4	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Amethyst	gema	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Diamond	gemd	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Emerald	geme	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Ruby	gemr	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Sapphire	gems	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Topaz	gemt	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Skull	gemz	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Swords and Knives	blde	mele		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0
Spears and Polearms	sppl	mele		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0
Merc Equipment	helm	armo	merc	1	1	head	head			0	0	0	0		1	0	0	2	25	2	40	3	0	3			0							armo	0
Worldstone Shard	cube1	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0								0
Elemental Dust	cube2	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0								0
GC augmentor	cube3	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0								0
Thunder Orb	cube4	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0								0
Ice Orb	cube5	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0								0
Fire Orb	cube6	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0								0
Whetstone	cube7	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0								0
Hammer of Upgrading	cube8	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0								0
ashes of upgrading	cube9	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0								0
molten ashes of upgrading	cube10	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0								0
Fire Whetstone	cube11	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0								0
Thunder Whetstone	cube12	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0								0
stormy ashes of upgrading	cube13	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0								0
fridgid ashes of upgrading	cube14	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0								0
Cold Whetstone	cube15	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0								0
lovers stone	cube16	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0								0
opal	cube17	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0								0
stone of vital winds	cube18	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0								0
fragmented stone	cube19	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0								0
stone of precision	cube20	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0								0
stone of bombardment	cube21	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0								0
stone of repetition	cube22	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0								0
exploded stone	cube23	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0								0
stone of novas	cube24	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0								0
stone of multiple shots	cube25	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0								0
stone of winds	cube26	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0								0
path of exile craft	poe	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0								0
misc craft	poe2	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0								0
amulet upgrade stones	aus	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0								0
legendary rune	lr1	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0								0
path of exile craft early	poe3	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0								0
unidentified orb of augmentation	poe4	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0								0
expert craft	poe8	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0								0
vaal orb	baal	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0								0
key of belial	poe9	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0								0
key of potential	keyp	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0								0
legendary gem	legg	jewl		0	0					0	0	0	0	1	1	0	0	0	25	0	40	0	0	3			0								0
unidentified hell map	umap	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0								0
identified hell map	imap	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
no identity elixir	nlix	misc		0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0
identified elixir	ilix	misc	spot	0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0								0
catalyst	cata	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0								0
unidentified catalyst	catu	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0								0
