description	enabled	*order	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
3 Flawless Skulls -> Perfect Skull	1	51			0					3	"skl,qty=3"							skz																																																																																							0
3 El Runes -> Eld Rune	1	52			100					3	"r01,qty=3"							r02																																																																																							0
3 Eld Runes -> Tir Rune	1	53			100					3	"r02,qty=3"							r03																																																																																							0
3 Tir Runes -> Nef Rune	1	54			100					3	"r03,qty=3"							r04																																																																																							0
3 Nef Runes -> Eth Rune	1	55			100					3	"r04,qty=3"							r05																																																																																							0
3 Eth Runes -> Ith Rune	1	56			100					3	"r05,qty=3"							r06																																																																																							0
3 Ith Runes -> Tal Rune	1	57			100					3	"r06,qty=3"							r07																																																																																							0
3 Tal Runes -> Ral Rune	1	58			100					3	"r07,qty=3"							r08																																																																																							0
3 Ral Runes -> Ort Rune	1	59			100					3	"r08,qty=3"							r09																																																																																							0
3 Ort Runes -> Thul Rune	1	60			100					3	"r09,qty=3"							r10																																																																																							0
3 Perfect Gems (Any) + 1 Magic Item -> Re-rolled Magic Item	1	61			100					4	"any,mag"	"gem4,qty=3"						"usetype,mag"			100																																																																																				0
6 Perfect Skulls + 1 Rare Item -> 1 Low Quality Rare Item	0	62			0					7	"any,rar"	"skz,qty=6"						"usetype,rar"		40	40																																																																																				0
1 Perfect Skull + 1 Rare Item + 1 Stone of Jordan -> 1 High Quality Rare Item	0	63			0					3	"any,rar"	skz	The Stone of Jordan					"usetype,rar"		66	66																																																																																				0
3 Perfect Skull + 1 Rare Item + 1 Stone of Jordan -> Add 1 Socket to Rare Item	0	64			0					5	"any,rar,nos"	"skz,qty=3"	The Stone of Jordan					"useitem,sock=1"																																																																																							0
1 Magic Full Helm + 1 Jewel + 1 Ith Rune + 1 Perfect Sapphire -> Hit Power Helm	0	65			100					2	"helm,mag"	gems						"usetype,crf"		50	50	gethit-skill		44	5	4	thorns			35	35	ac-miss			250	250																																																																					0
1 Magic Chain Boots + 1 Jewel + 1 Ral Rune + 1 Perfect Sapphire -> Hit Power Boots	0	66			100					2	"boot,mag"	gems						"usetype,crf"		50	50	gethit-skill		44	5	4	thorns			35	35	ac-hth			255	255																																																																					0
1 Magic Chain Gloves + 1 Jewel + 1 Ort Rune + 1 Perfect Sapphire -> Hit Power Gloves	0	67			100					2	"glov,mag"	gems						"usetype,crf"		50	50	gethit-skill		44	5	4	thorns			35	35	knock			1	1																																																																					0
1 Magic Heavy Belt + 1 Jewel + 1 Tal Rune + 1 Perfect Sapphire -> Hit Power Belt	0	68			100					2	"belt,mag"	gems						"usetype,crf"		50	50	gethit-skill		44	5	4	thorns			35	35	dmg-to-mana			10	10																																																																					0
1 Magic Gothic Shield + 1 Jewel + 1 Eth Rune + 1 Perfect Sapphire -> Hit Power Shield	0	69			100					2	"shld,mag"	gems						"usetype,crf"		50	50	gethit-skill		44	5	4	thorns			50	50	block			10	10																																																																					0
1 Magic Field Plate + 1 Jewel + 1 Nef Rune + 1 Perfect Sapphire -> Hit Power Body	0	70			100					2	"tors,mag"	gems						"usetype,crf"		50	50	gethit-skill		44	5	4	thorns			50	50	balance1			60	60																																																																					0
1 Magic Amulet + 1 Jewel + Thul Rune + 1 Perfect Sapphire -> Hit Power Amulet	0	71			100					2	"amul,mag"	gems						"usetype,crf"		50	50	gethit-skill		44	5	4	thorns			50	50	howl			15	15																																																																					0
1 Magic Ring + 1 Jewel + 1 Amn Rune + 1 Perfect Sapphire -> Hit Power Ring	0	72			100					2	"ring,mag"	gems						"usetype,crf"		50	50	gethit-skill		44	5	4	thorns			30	30	dex			25	25																																																																					0
1 Magic Blunt Weapon + 1 Jewel + 1 Tir Rune + 1 Perfect Sapphire -> Hit Power Weapon	0	73			100					2	"weap,mag"	gems						"usetype,crf"		50	50	gethit-skill		44	5	4	thorns			35	35	dmg%			300	300																																																																					0
1 Magic Helm + 1 Jewel + 1 Ral Rune + 1 Perfect Ruby -> Blood Helm	0	74			100					2	"helm,mag"	gemr						"usetype,crf"		50	50	lifesteal			9	9	hp			100	100	deadly			10	10																																																																					0
1 Magic Light Plated Boots + 1 Jewel + 1 Eth Rune + 1 Perfect Ruby -> Blood Boots	0	75			100					2	"boot,mag"	gemr						"usetype,crf"		50	50	lifesteal			9	9	hp			100	100	regen			33	33																																																																					0
1 Magic Heavy Gloves + 1 Jewel + 1 Nef Rune + 1 Perfect Ruby -> Blood Gloves	0	76			100					2	"glov,mag"	gemr						"usetype,crf"		50	50	lifesteal			9	9	hp			100	100	crush			30	30																																																																					0
1 Magic Belt + 1 Jewel + 1 Tal Rune + 1 Perfect Ruby -> Blood Belt	0	77			100					2	"belt,mag"	gemr						"usetype,crf"		50	50	lifesteal			9	9	hp			100	100	openwounds			30	30																																																																					0
1 Magic Spiked Shield + 1 Jewel + 1 Ith Rune + 1 Perfect Ruby -> Blood Shield	0	78			100					2	"shld,mag"	gemr						"usetype,crf"		50	50	lifesteal			9	9	hp			100	100	thorns			35	35																																																																					0
1 Magic Plate Mail + 1 Jewel + 1 Thul Rune + 1 Perfect Ruby -> Blood Body	0	79			100					2	"tors,mag"	gemr						"usetype,crf"		50	50	lifesteal			9	9	hp			100	100	demon-heal			3	3																																																																					0
1 Magic Amulet + 1 Jewel + 1 Amn Rune + 1 Perfect Ruby -> Blood Amulet	0	80			100					2	"amul,mag"	gemr						"usetype,crf"		50	50	lifesteal			12	12	hp			100	100	move1			30	30																																																																					0
1 Magic Ring + 1 Jewel + 1 Sol Rune + 1 Perfect Ruby -> Blood Ring	0	81			100					2	"ring,mag"	gemr						"usetype,crf"		50	50	lifesteal			9	9	hp			100	100	str			25	25																																																																					0
1 Magic Axe + 1 Jewel + Ort Rune + 1 Perfect Ruby -> Blood Weapon	0	82			100					2	"weap,mag"	gemr						"usetype,crf"		50	50	lifesteal			12	12	hp			100	100	dmg%			300	300																																																																					0
1 Magic Mask + 1 Jewel + Nef Rune + 1 Perfect Amethyst -> Caster Helm	0	83			100					2	"helm,mag"	gema						"usetype,crf"		50	50	regen-mana			10	10	mana			100	100	manasteal			12	12																																																																					0
1 Magic Boots + 1 Jewel + Thul Rune + 1 Perfect Amethyst -> Caster Boots	0	84			100					2	"boot,mag"	gema						"usetype,crf"		50	50	regen-mana			10	10	mana			100	100	mana%			25	25																																																																					0
1 Magic Leather Gloves + 1 Jewel + Ort Rune + 1 Perfect Amethyst -> Caster Gloves	0	85			100					2	"glov,mag"	gema						"usetype,crf"		50	50	regen-mana			10	10	mana			100	100	mana-kill			15	15																																																																					0
1 Magic Light Belt + 1 Jewel + Ith Rune + 1 Perfect Amethyst -> Caster Belt	0	86			100					2	"belt,mag"	gema						"usetype,crf"		50	50	regen-mana			10	10	mana			100	100	cast1			30	30																																																																					0
1 Magic Small Shield + 1 Jewel + 1 Eth Rune + 1 Perfect Amethyst -> Caster Shield	0	87			100					2	"shld,mag"	gema						"usetype,crf"		50	50	regen-mana			10	10	mana			100	100	block			10	10																																																																					0
1 Magic Light Plate + 1 Jewel + 1 Tal Rune + 1 Perfect Amethyst -> Caster Body	0	88			100					2	"tors,mag"	gema						"usetype,crf"		50	50	regen-mana			10	10	mana			100	100	mana-kill			15	15																																																																					0
1 Magic Amulet + 1 Jewel + 1 Ral Rune + 1 Perfect Amethyst -> Caster Amulet	0	89			100					2	"amul,mag"	gema						"usetype,crf"		50	50	regen-mana			10	10	mana			100	100	cast1			30	30																																																																					0
1 Magic Ring + 1 Jewel + 1 Amn Rune + 1 Perfect Amethyst -> Caster Ring	0	90			100					2	"ring,mag"	gema						"usetype,crf"		50	50	regen-mana			10	10	mana			100	100	enr			25	25																																																																					0
1 Magic Rod + 1 Jewel + 1 Tir Rune + 1 Perfect Amethyst -> Caster Weapon	0	91			100					2	"weap,mag"	gema						"usetype,crf"		50	50	regen-mana			10	10	mana			100	100	mana%			25	25																																																																					0
1 Magic Crown + 1 Jewel + 1 Ith Rune + 1 Perfect Emerald -> Safety Helm	0	92			100					2	"helm,mag"	geme						"usetype,crf"		50	50	red-dmg			20	20	red-mag			10	10	res-ltng			34	34	ac%			150	150																																																																0
1 Magic Plated Boots + 1 Jewel + 1 Ort Rune + 1 Perfect Emerald -> Safety Boots	0	93			100					2	"boot,mag"	geme						"usetype,crf"		50	50	red-dmg			20	20	red-mag			10	10	res-fire			34	34	ac%			150	150																																																																0
1 Magic Gauntlets + 1 Jewel + 1 Ral Rune + 1 Perfect Emerald -> Safety Gloves	0	94			100					2	"glov,mag"	geme						"usetype,crf"		50	50	red-dmg			20	20	red-mag			10	10	res-cold			34	34	ac%			150	150																																																																0
1 Magic Sash + 1 Jewel + 1 Tal Rune + 1 Perfect Emerald -> Safety Belt	0	95			100					2	"belt,mag"	geme						"usetype,crf"		50	50	red-dmg			20	20	red-mag			10	10	res-pois			50	50	ac%			150	150																																																																0
1 Magic Kite Shield + 1 Jewel + 1 Nef Rune + 1 Perfect Emerald -> Safety Shield	0	96			100					2	"shld,mag"	geme						"usetype,crf"		50	50	red-dmg			20	20	red-mag			10	10	res-mag			34	34	ac%			150	150																																																																0
1 Magic Breast Plate + 1 Jewel + 1 Eth Rune + 1 Perfect Emerald -> Safety Body	0	97			100					2	"tors,mag"	geme						"usetype,crf"		50	50	red-dmg			20	20	red-mag			10	10	half-freeze			1	1	ac%			150	150																																																																0
1 Magic Amulet + 1 Jewel + 1 Thul Rune + 1 Perfect Emerald -> Safety Amulet	0	98			100					2	"amul,mag"	geme						"usetype,crf"		50	50	red-dmg			20	20	red-mag			10	10	block			10	10																																																																					0
1 Magic Ring + 1 Jewel + 1 Amn Rune + 1 Perfect Emerald -> Safety Ring	0	99			100					2	"ring,mag"	geme						"usetype,crf"		50	50	red-dmg			20	20	red-mag			10	10	vit			25	25																																																																					0
1 Magic Spear + 1 Jewel + 1 Sol Rune + 1 Perfect Emerald -> Safety Weapon	0	100			100					2	"miss,mag"	geme						"usetype,crf"		50	50	red-dmg			20	20	red-mag			10	10	ac%			50	50																																																																					0
3 Thul Runes  -> Amn Rune	1	101			100					3	"r10,qty=3"							r11																																																																																							0
3 Amn Runes -> Sol Rune	1	102			100					3	"r11,qty=3"							r12																																																																																							0
3 Sol Runes  -> Shael Rune	1	103			100					3	"r12,qty=3"							r13																																																																																							0
3 Shael Runes  -> Dol Rune	1	104			100					3	"r13,qty=3"							r14																																																																																							0
3 Dol Runes  -> Hel Rune	1	105			100					3	"r14,qty=3"							r15																																																																																							0
3 Hel Runes -> Io Rune	1	106			100					3	"r15,qty=3"							r16																																																																																							0
3 Io Runes  -> Lum Rune	1	107			100					3	"r16,qty=3"							r17																																																																																							0
3 Lum Runes  -> Ko Rune	1	108			100					3	"r17,qty=3"							r18																																																																																							0
3 Ko Runes  -> Fal Rune	1	109			100					3	"r18,qty=3"							r19																																																																																							0
3 Fal Runes  -> Lem Rune	1	110			100					3	"r19,qty=3"							r20																																																																																							0
3 Lem Runes  -> Pul Rune	1	111			100					3	"r20,qty=3"							r21																																																																																							0
2 Pul Runes  -> Um Rune	1	112			100					2	"r21,qty=2"							r22																																																																																							0
2 Um Runes  -> Mal Rune	1	113			100					2	"r22,qty=2"							r23																																																																																							0
2 Mal Runes  -> Ist Rune	1	114			100					2	"r23,qty=2"							r24																																																																																							0
2 Ist Runes  -> Gul Rune	1	115			100					2	"r24,qty=2"							r25																																																																																							0
2 Gul Runes  -> Vex Rune	1	116			100					2	"r25,qty=2"							r26																																																																																							0
2 Vex Runes  -> Ohm Rune	1	117			100					2	"r26,qty=2"							r27																																																																																							0
2 Ohm Runes  -> Lo Rune	1	118			100					2	"r27,qty=2"							r28																																																																																							0
2 Lo Runes + -> Sur Rune	1	119			100					2	"r28,qty=2"							r29																																																																																							0
2 Sur Runes  -> Ber Rune	1	120			100					2	"r29,qty=2"							r30																																																																																							0
2 Ber Runes  -> Jah Rune	1	121			100					2	"r30,qty=2"							r31																																																																																							0
2 Jah Runes -> Cham Rune	1	122			100					2	"r31,qty=2"							r32																																																																																							0
2 Cham Runes  -> Zod Rune	1	123			100					2	"r32,qty=2"							r33																																																																																							0
1 Tal Rune + 1 Thul Rune + 1 Perfect Topaz + 1 Normal Torso Armor -> Socketed Torso Armor	0	124			100					4	"tors,nor,nos"	r07	r10	gpy				useitem				sock			6	6																																																																															0
1 Ral Rune + 1 Amn Rune + 1 Perfect Amethyst + 1 Normal Weapon -> Socketed Weapon	0	125			100					4	"weap,nor,nos"	r08	r11	gpv				useitem				sock			6	6																																																																															0
1 Ral Rune + 1 Thul Rune + 1 Perfect Sapphire + 1 Normal Helm -> Socketed Helm	0	126			100					4	"helm,nor,nos"	r08	r10	gpb				useitem				sock			6	6																																																																															0
1 Tal Rune + 1 Amn Rune + 1 Perfect Ruby + 1 Normal Shield -> Socketed Shield	0	127			100					4	"shld,nor,nos"	r07	r11	gpr				useitem				sock			6	6																																																																															0
1 Eld Rune + 1 Chipped Gem (Any) + 1 Low Quality Weapon -> Normal Weapon	1	128			100					3	"weap,low"	r02	gem0					"usetype,nor"																																																																																							0
1 El Rune + 1 Chipped Gem (Any) + 1 Low Quality Armor -> Normal Armor	1	129			100					3	"armo,low"	r01	gem0					"usetype,nor"																																																																																							0
1 Ral Rune + 1 Sol Rune + 1 Perfect Emerald + 1 Normal Unique Weapon -> Exceptional Unique Weapon	0	130			100					4	"weap,bas,uni"	r08	r12	gpg				"useitem,mod,exc"				levelreq			5	5																																																																															0
1 Tal Rune + 1 Shael Rune + 1 Perfect Diamond + 1 Normal Unique Armor -> Exceptional Unique Armor	0	131			100					4	"armo,bas,uni"	r07	r13	gpw				"useitem,mod,exc"				levelreq			5	5																																																																															0
1 Lum Rune + 1 Pul Rune + 1 Perfect Emerald + 1 Exceptional Unique Weapon -> Elite Unique Weapon	0	132			100					4	"weap,exc,uni"	r17	r21	gpg				"useitem,mod,eli"				levelreq			7	7																																																																															0
1 Ko Rune + 1 Lem Rune + 1 Perfect Diamond + 1 Exceptional Unique Armor -> Elite Unique Armor	0	133			100					4	"armo,exc,uni"	r18	r20	gpw				"useitem,mod,eli"				levelreq			7	7																																																																															0
1 Ort Rune + 1 Amn Rune + 1 Perfect Sapphire + 1 Normal Rare Weapon -> Exceptional Rare Weapon	0	134			100					4	"weap,bas,rar"	r09	r11	gpb				"useitem,mod,exc"				levelreq			5	5																																																																															0
1 Ral Rune + 1 Thul Rune + 1 Perfect Amethyst + 1 Normal Rare Armor -> Exceptional Rare Armor	0	135			100					4	"armo,bas,rar"	r08	r10	gpv				"useitem,mod,exc"				levelreq			5	5																																																																															0
1 Fal Rune + 1 Um Rune + 1 Perfect Sapphire + 1 Exceptional Rare Weapon -> Elite Rare Weapon	0	136			100					4	"weap,exc,rar"	r19	r22	gpb				"useitem,mod,eli"				levelreq			7	7																																																																															0
1 Ko Rune + 1 Pul Rune + 1 Perfect Amethyst + 1 Exceptional Rare Armor -> Elite Rare Armor	0	137			100					4	"armo,exc,rar"	r18	r21	gpv				"useitem,mod,eli"				levelreq			7	7																																																																															0
1 Ort Rune + 1 Weapon -> Fully Repaired Weapon	1	138			100					2	"weap,noe"	r09						"useitem,rep,qty=255"																																																																																							0
1 Ral Rune + 1 Armor -> Fully Repaired Armor	1	139			100					2	"armo,noe"	r08						"useitem,rep,qty=255"																																																																																							0
1 Ort Rune + 1 Chipped Gem (Any) + 1 Weapon -> Fully Repaired and Recharged Weapon	1	140			100					3	"weap,noe"	r09	gem0					"useitem,rep,rch,qty=255"																																																																																							0
1 Ral Rune + 1 Flawed Gem (Any) + 1 Armor -> Fully Repaired and Recharged Armor	1	141			100					3	"armo,noe"	r08	gem1					"useitem,rep,rch,qty=255"																																																																																							0
1 Hel Rune + Scroll of Town Portal + 1 Socketed Item -> Clear Sockets on Item	1	142			100					3	"any,sock"	r15	tsc					"useitem,uns"																																																																																							0
1 Ral Rune + 1 Jewel + 1 Superior Armor -> Tempered Armor		143			100					3	"armo,hiq,nos"	jew	r08					"useitem,tmp"																																																																																							0
1 Ral Rune + 1 Jewel + 1 Superior Weapon -> Tempered Weapon		144			100					3	"weap,hiq,nos"	jew	r08					"useitem,tmp"																																																																																							0
1 Ral Rune + 1 Jewel + Magic Ring -> Tempered Ring		145			100					3	"ring,mag"	jew	r08					"usetype,tmp"				levelreq			3	3																																																																															0
1 Ral Rune + 1 Jewel + 1 Magic Amulet -> Tempered Amulet		146			100					3	"amu,mag"	jew	r08					"usetype,tmp"				levelreq			5	5																																																																															0
1 El Rune + 1 Chipped Gem (Any) + 1 Tempered Weapon -> Weapon With Extra Attack Rating		147			100					3	"weap,tmp"	r01	gcv					useitem				levelreq			2	2	att			250	250																																																																										0
3 Chipped Gems (Any) + 1 Magic Weapon -> Socketed Magic Weapon	1	148			0					4	"weap,mag"	"gem0,qty=3"						"usetype,mag"	25		50	sock			2	2																																																																															0
1 Key of Terror + 1 Key of Hate + 1 Key of Destruction -> Portal to Matron's Den/Forgotten Sands/Furnace of Pain (Random)	1	149			100	28				3	pk1	pk2	pk3					Pandemonium Portal																																																																																							0
1 Diablo's Horn + 1 Baal's Eye + 1 Mephisto's Brain -> Portal to Tristram (Pandemonium Finale)	1	150			100	28				3	dhn	bey	mbr					Pandemonium Finale Portal																																																																																							0
1 Twisted Essence of Suffering + 1 Charged Essence of Hatred + 1 Burning Essence of Terror + 1 Festering Essence of Destruction -> Token of Absolution	0	151			100					4	tes	ceh	bet	fed				toa																																																																																							0
1 Ral Rune + 1 Sol Rune + 1 Perfect Emerald + 1 Normal Set Weapon -> Exceptional Set Weapon	0	152	1		100					4	"weap,bas,set"	r08	r12	gpg				"useitem,mod,exc"				levelreq			5	5																																																																															0
1 Tal Rune + 1 Shael Rune + 1 Perfect Diamond + 1 Normal Set Armor -> Exceptional Set Armor	0	153	1		100					4	"armo,bas,set"	r07	r13	gpw				"useitem,mod,exc"				levelreq			5	5																																																																															0
1 Lum Rune + 1 Pul Rune + 1 Perfect Emerald + 1 Exceptional Set Weapon -> Elite Set Weapon	0	154	1		100					4	"weap,exc,set"	r17	r21	gpg				"useitem,mod,eli"				levelreq			7	7																																																																															0
1 Ko Rune + 1 Lem Rune + 1 Perfect Diamond + 1 Exceptional Set Armor -> Elite Set Armor	0	155	1		100					4	"armo,exc,set"	r18	r20	gpw				"useitem,mod,eli"				levelreq			7	7																																																																															0
Quick Portal	1	156			100	28				2	tbk	isc						Cow Portal																																																																																							0
Quick Portal	1	157			100	28				3	tbk	"isc,qty=2"						Pandemonium Portal																																																																																							0
Quick Portal	1	158			100	28				4	tbk	"isc,qty=3"						Pandemonium Finale Portal																																																																																							0
Quick Quest	1	159			0	28				2	key	isc						hst																																																																																							0
Quick Quest	1	160			0	28				2	key	tsc						qf2																																																																																							0
torso socket	0	161			100					1	"tors,nor,nos"							useitem				sock			3	3																																																																															0
Test	1	162			100					1	tsc							aws	100	1																																																																																					0
Test	1	163			100					2	"tsc,qty=2"								100	1																																																																																					0
Test	1	164			100					3	"tsc,qty=3"								100	1																																																																																					0
Test	1	165			100					4	"tsc,qty=4"								100	1																																																																																					0
