Id	*hcIdx	BaseId	NextInClass	TransLvl	NameStr	MonStatsEx	MonProp	MonType	AI	DescStr	Code	enabled	rangedtype	placespawn	spawn	spawnx	spawny	spawnmode	minion1	minion2	SetBoss	BossXfer	PartyMin	PartyMax	MinGrp	MaxGrp	sparsePopulate	Velocity	Run	Rarity	Level	Level(N)	Level(H)	MonSound	UMonSound	threat	aidel	aidel(N)	aidel(H)	aidist	aidist(N)	aidist(H)	aip1	aip1(N)	aip1(H)	aip2	aip2(N)	aip2(H)	aip3	aip3(N)	aip3(H)	aip4	aip4(N)	aip4(H)	aip5	aip5(N)	aip5(H)	aip6	aip6(N)	aip6(H)	aip7	aip7(N)	aip7(H)	aip8	aip8(N)	aip8(H)	MissA1	MissA2	MissS1	MissS2	MissS3	MissS4	MissC	MissSQ	Align	isSpawn	isMelee	npc	interact	inventory	inTown	lUndead	hUndead	demon	flying	opendoors	boss	primeevil	killable	switchai	noAura	nomultishot	neverCount	petIgnore	deathDmg	genericSpawn	zoo	rightArmItemType	leftArmItemType	canNotUseTwoHandedItems	SendSkills	Skill1	Sk1mode	Sk1lvl	Skill2	Sk2mode	Sk2lvl	Skill3	Sk3mode	Sk3lvl	Skill4	Sk4mode	Sk4lvl	Skill5	Sk5mode	Sk5lvl	Skill6	Sk6mode	Sk6lvl	Skill7	Sk7mode	Sk7lvl	Skill8	Sk8mode	Sk8lvl	Drain	Drain(N)	Drain(H)	coldeffect	coldeffect(N)	coldeffect(H)	ResDm	ResMa	ResFi	ResLi	ResCo	ResPo	ResDm(N)	ResMa(N)	ResFi(N)	ResLi(N)	ResCo(N)	ResPo(N)	ResDm(H)	ResMa(H)	ResFi(H)	ResLi(H)	ResCo(H)	ResPo(H)	DamageRegen	SkillDamage	noRatio	NoShldBlock	ToBlock	ToBlock(N)	ToBlock(H)	Crit	minHP	maxHP	AC	Exp	A1MinD	A1MaxD	A1TH	A2MinD	A2MaxD	A2TH	S1MinD	S1MaxD	S1TH	MinHP(N)	MaxHP(N)	AC(N)	Exp(N)	A1MinD(N)	A1MaxD(N)	A1TH(N)	A2MinD(N)	A2MaxD(N)	A2TH(N)	S1MinD(N)	S1MaxD(N)	S1TH(N)	MinHP(H)	MaxHP(H)	AC(H)	Exp(H)	A1MinD(H)	A1MaxD(H)	A1TH(H)	A2MinD(H)	A2MaxD(H)	A2TH(H)	S1MinD(H)	S1MaxD(H)	S1TH(H)	El1Mode	El1Type	El1Pct	El1MinD	El1MaxD	El1Dur	El1Pct(N)	El1MinD(N)	El1MaxD(N)	El1Dur(N)	El1Pct(H)	El1MinD(H)	El1MaxD(H)	El1Dur(H)	El2Mode	El2Type	El2Pct	El2MinD	El2MaxD	El2Dur	El2Pct(N)	El2MinD(N)	El2MaxD(N)	El2Dur(N)	El2Pct(H)	El2MinD(H)	El2MaxD(H)	El2Dur(H)	El3Mode	El3Type	El3Pct	El3MinD	El3MaxD	El3Dur	El3Pct(N)	El3MinD(N)	El3MaxD(N)	El3Dur(N)	El3Pct(H)	El3MinD(H)	El3MaxD(H)	El3Dur(H)	TreasureClass1	TreasureClass2	TreasureClass3	TreasureClass4	TreasureClass1(N)	TreasureClass2(N)	TreasureClass3(N)	TreasureClass4(N)	TreasureClass1(H)	TreasureClass2(H)	TreasureClass3(H)	TreasureClass4(H)	TCQuestId	TCQuestCP	SplEndDeath	SplGetModeChart	SplEndGeneric	SplClientEnd	*eol
skeletonmage	10	bighead1	bighead2	0	Afflicted	bighead1	lvl1volcanicstrikeondeath	bighead	Bighead		BH	1	1												2	3		6	6	50	12	43	73	bighead	bighead	10	15	14	13				88	75	75	40	30	30	0	20	30	60	70	80														bighead1								1								1		1			1	1																																				100	85	75	-50	-40	-33				70						85		75	10	23	60	25	60	33	2				11	11	11	5	132	254	126	162	71	81	154							130	240	180	250	100	110	121							130	240	90	125	50	55	110							A2	ltng	100	75	110		100	140	180		100	160	200		A1	ltng					15	10	20		35	10	20																Act 1 Cast C	Act 1 Champ C	Act 1 Unique C		Act 1 (N) Cast C	Act 1 (N) Champ C	Act 1 (N) Unique C		Act 1 (H) Cast C	Act 1 (H) Champ C	Act 1 (H) Unique C								0
bighead2	11	bighead1	bighead3	1	Tainted	bighead2	lvl1snowballondeath	bighead	Bighead		BH	1	1												2	4		6	6	50	8	42	72	bighead	bighead	10	15	14	13				86	100	100	40	40	40	0	30	40	60	70	80														bighead2								1								1		1			1	1																																				100	85	75	-50	-40	-33				60						80		75	36	30	40	52	100	38	2				10	10	10	5	134	260	126	162	58	68	148							130	240	180	250	100	110	121							130	240	90	125	50	55	110							A2	ltng	100	75	110		100	140	180		100	160	200		A1	ltng					15	10	20		35	10	20																Act 1 Cast C	Act 1 Champ C	Act 1 Unique C		Act 1 (N) Cast C	Act 1 (N) Champ C	Act 1 (N) Unique C		Act 1 (H) Cast C	Act 1 (H) Champ C	Act 1 (H) Unique C								0
bighead3	12	bighead1	bighead4	2	Misshapen	bighead3	lvl1windstrikeondeath	bighead	Bighead		BH	1	1												1	2		5	5	50	5	37	69	bighead	bighead	10	15	14	13				80	50	50	40	50	50	0	40	50	60	70	80														bighead3								1								1		1			1	1																																				100	85	75	-50	-40	-33				40						70			33	20	30	30	30	34	2				5	5	5	5	124	248	128	162	71	81	146							130	240	180	250	100	110	121							130	240	90	125	50	55	110							A2	ltng	100	75	110		100	140	180		100	160	200		A1	ltng					15	10	20		35	10	20																Act 1 Cast B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) Cast B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) Cast B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
bighead4	13	bighead1	bighead5	3	Disfigured	bighead4	lvl1clustergrenadesondeath	bighead	Bighead		BH	1	1												1	3		5	5	50	8	40	70	bighead	bighead	10	15	14	13				83	0	0	40	40	40	0	50	65	60	70	80														bighead4								1								1		1			1	1																																				100	85	75	-50	-40	-33				50						75			26	35	40	30	50	28	2				8	8	8	5	134	256	126	162	62	72	154							130	240	180	250	100	110	121							130	240	90	125	50	55	110							A2	ltng	100	75	110		100	140	180		100	160	200		A1	ltng					15	10	20		35	10	20																Act 1 Cast B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) Cast B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) Cast B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
bighead5	14	bighead1	bighead6	4	Damned	bighead5	lvl1hadokenondeath	bighead	Bighead		BH	1	1												3	4		7	7	100	27	57	84	bighead	bighead	10	15	14	13				90	33	33	40	30	30	0	60	80	60	70	80														bighead5								1								1		1			1	1																																				100	85	75	-50	-40	-33				80						100			10	23	60	25	60	33	2				15	15	15	5	130	252	126	176	66	76	150							130	240	180	250	100	110	121							130	240	90	125	50	55	110							A2	ltng	100	75	110		100	140	180		100	160	200		A1	ltng					15	10	20		35	10	20																Act 4 Cast A	Act 4 Champ A	Act 4 Unique A		Act 4 (N) Cast A	Act 4 (N) Champ A	Act 4 (N) Unique A		Act 4 (H) Cast A	Act 4 (H) Champ A	Act 4 (H) Unique A								0
foulcrow1	15	foulcrow1	foulcrow2	0	FoulCrow	foulcrow1	fasterattackwalkres	foulcrow	BloodHawk		BK	1													2	4		4	4	100	4	37	68	foulcrow	foulcrow	10	15	14	13				30	45	65	90	90	90	5	10	10	50	60	70	100	100	100																			1	1								1				1	1																																				100	100	100	-50	-40	-33													36	100	40	52	40	38	2				5	5	5	5	38	92	26	74	42	62	178							40	90	240	80	140	154	127							40	90	120	40	70	77	115							A1	pois					15	6	21	100	25	8	25	50																													Act 1 Cast A	Act 1 Champ A	Act 1 Unique A		Act 1 (N) Cast A	Act 1 (N) Champ A	Act 1 (N) Unique A		Act 1 (H) Cast A	Act 1 (H) Champ A	Act 1 (H) Unique A								0
foulcrow2	16	foulcrow1	foulcrow3	1	BloodHawk	foulcrow2	lvl3poisonvialonhit	foulcrow	BloodHawk		BK	1													3	4		4	4	100	6	38	69	foulcrow	foulcrow	10	15	14	13				30	50	65	90	90	90	5	10	10	50	60	75	100	100	100																			1	1								1				1	1																																				100	100	100	-50	-40	-33													33	20	30	30	30	34	2				7	7	7	5	42	82	28	74	72	92	186							40	90	240	80	140	154	127							40	90	120	40	70	77	115							A1	pois					15	6	21	100	25	8	25	50																													Act 1 Cast B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) Cast B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) Cast B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
foulcrow3	17	foulcrow1	foulcrow4	2	BlackRaptor	foulcrow3	lvl1waveofforceondeath	foulcrow	BloodHawk		BK	1													3	5		5	5	100	16	45	76	foulcrow	foulcrow	10	15	14	13				30	55	65	90	90	90	5	10	10	50	60	75	100	100	100																			1	1								1				1	1																																				100	100	100	-50	-40	-33						60						80	26	35	40	30	50	28	2				17	17	17	5	42	90	26	74	64	84	188							40	90	240	80	140	154	127							40	90	120	40	70	77	115							A1	pois					15	6	21	100	25	8	25	50																													Act 2 Cast B	Act 2 Champ B	Act 2 Unique B		Act 2 (N) Cast B	Act 2 (N) Champ B	Act 2 (N) Unique B		Act 2 (H) Cast B	Act 2 (H) Champ B	Act 2 (H) Unique B								0
foulcrow4	18	foulcrow1	foulcrow5	3	CloudStalker	foulcrow4	morefiredamage	foulcrow	BloodHawk		BK	1													4	5		6	6	100	22	49	79	foulcrow	foulcrow	10	15	14	13				30	60	65	90	90	90	5	10	10	50	60	75	100	100	100																			1	1								1				1	1																																				100	100	100	-50	-40	-33	30		20	60			40		50	80			10	23	100	25	60	33	2				15	15	15	5	44	88	26	72	62	82	188							40	90	240	80	140	154	127							40	90	120	40	70	77	115							A1	pois					15	6	21	100	25	8	25	50																													Act 3 Cast A	Act 3 Champ A	Act 3 Unique A		Act 3 (N) Cast A	Act 3 (N) Champ A	Act 3 (N) Unique A		Act 3 (H) Cast A	Act 3 (H) Champ A	Act 3 (H) Unique A								0
fallen1	19	fallen1	fallen2	0	Fallen	fallen1	morecolddamage	fallen	Fallen		FA	1							fallen1		1	1	2	3	2	3		5	5	100	1	36	67	fallen	fallen	10	15	14	13				30	40	50	10	15	20	50	60	70	20	25	30																						1	1							1		1			1	1							1																													100	85	75	-50	-40	-33													36	30	40	52	40	38	2				9	9	9	5	42	122	168	122	92	112	202	92	112	202				50	110	140	130	90	99	99	90	99	85				50	110	70	65	45	50	90	50	55	85				A1	fire					10	20	30		20	20	30																														Act 1 H2H A	Act 1 Champ A	Act 1 Unique A		Act 1 (N) H2H A	Act 1 (N) Champ A	Act 1 (N) Unique A		Act 1 (H) H2H A	Act 1 (H) Champ A	Act 1 (H) Unique A								0
fallen2	20	fallen1	fallen3	1	Carver	fallen2	moreltngdamage	fallen	Fallen		FA	1							fallen2		1	1	2	4	2	4		5	5	100	5	38	68	fallen	fallen	10	15	14	13				45	50	55	15	18	24	60	70	80	25	30	35																						1	1							1		1			1	1							1																													100	85	75	-50	-40	-33													33	20	30	30	30	34	2				15	15	15	5	48	108	168	122	92	112	182	92	112	182				50	110	140	130	90	99	99	90	99	85				50	110	70	65	45	50	90	50	55	85				A1	cold					10	15	20	50	20	15	20	50																													Act 1 H2H B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) H2H B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) H2H B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
fallen3	21	fallen1	fallen4	2	Devilkin	fallen3	morepoisondamage	fallen	Fallen		FA	1							fallen3		1	1	3	4	3	4		6	6	100	7	39	85	fallen	fallen	10	15	14	13				55	60	60	20	22	30	70	80	90	30	35	40																						1	1							1		1			1	1							1																													100	85	75	-50	-40	-33													26	35	40	30	50	28	2				15	15	15	5	36	106	168	118	72	92	188	72	92	188				50	110	140	130	90	99	99	90	99	85				50	110	70	65	45	50	90	50	55	85				A1	ltng					10	1	50		20	1	80																														Act 1 H2H B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) H2H B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) H2H B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
fallen4	22	fallen1	fallen5	3	DarkOne	fallen4	lvl1evilspearitondeath	fallen	Fallen		FA	1							fallen4		1	1	3	5	3	5		6	6	100	10	41	71	fallen	fallen	10	15	14	13				65	70	70	25	26	30	80	90	95	35	40	45																						1	1							1		1			1	1							1																													100	85	75	-50	-40	-33													10	23	60	100	60	33	2				15	15	15	5	46	110	168	120	76	96	182	76	96	182				50	110	140	130	90	99	99	90	99	85				50	110	70	65	45	50	90	50	55	85				A1	pois					10	6	9	50	20	8	11	50																													Act 1 H2H C	Act 1 Champ C	Act 1 Unique C		Act 1 (N) H2H C	Act 1 (N) Champ C	Act 1 (N) Unique C		Act 1 (H) H2H C	Act 1 (H) Champ C	Act 1 (H) Unique C								0
fallen5	23	fallen1	fallen6	4	WarpedFallen	fallen5	lvl1holyspearitondeath	fallen	Fallen		FA	1							fallen5		1	1	1	1	1	1		8	8	100	40	55	83	fallen	fallen	10	15	14	13				75	80	80	30	30	30	90	95	99	40	45	50																						1	1							1		1			1	1							1																													100	85	75	-50	-40	-33	50	50	50	50	50	50	66	66	66	66	66	66	36	30	40	52	40	38	2				15	15	15	5	42	110	168	186	80	100	186	80	100	186				50	110	140	130	90	99	99	90	99	85				50	110	70	65	45	50	90	50	55	85				A1	cold					10	20	25	50	10	20	25	50																													Act 5 H2H C	Act 5 Champ C	Act 5 Unique C		Act 5 (N) H2H C	Act 5 (N) Champ C	Act 5 (N) Unique C		Act 5 (H) H2H C	Act 5 (H) Champ C	Act 5 (H) Unique C								0
brute2	24	brute2	brute3	0	Brute	brute2	lvl1volcanicstrikeondeath	brute	Brute		YE	1													1	2		4	4	50	5	38	69	brute	brute	10	15	14	13							0	0	0	75	75	80	100	100	90																						1	1									1			1	1							1																													100	100	100	-50	-40	-33													33	20	30	30	30	34	2				6	6	6	5	278	448	168	242	142	162	182	142	162	182				290	420	170	240	140	154	105	140	154	100				290	420	85	120	70	77	95	110	121	100																																														Act 1 H2H B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) H2H B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) H2H B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
brute3	25	brute2	brute4	1	Yeti	brute3	lvl1snowballondeath	brute	Brute		YE	1													2	2		4	4	50	9	40	70	brute	brute	10	15	14	13							0	0	0	80	80	85	85	85	75																						1	1									1			1	1							1																													100	100	100	-50	-40	-33					20						60		30	35	40	30	50	28	2				10	10	10	5	292	472	168	242	106	126	190	106	126	190				290	420	170	240	140	154	105	140	154	100				290	420	85	120	70	77	95	110	121	100																																														Act 1 H2H C	Act 1 Champ C	Act 1 Unique C		Act 1 (N) H2H C	Act 1 (N) Champ C	Act 1 (N) Unique C		Act 1 (H) H2H C	Act 1 (H) Champ C	Act 1 (H) Unique C								0
brute4	26	brute2	brute5	2	Crusher	brute4	lvl1windstrikeondeath	brute	Brute		YE	1													2	3		5	5	100	19	48	79	brute	brute	10	15	14	13							0	0	0	85	85	90	75	75	65																						1	1									1			1	1							1																													100	100	100	-50	-40	-33		60											10	23	60	25	60	33	2				19	19	19	5	286	462	168	240	114	134	186	114	134	186				290	420	170	240	140	154	105	140	154	100				290	420	85	120	70	77	95	110	121	100																																														Act 2 H2H C	Act 2 Champ C	Act 2 Unique C		Act 2 (N) H2H C	Act 2 (N) Champ C	Act 2 (N) Unique C		Act 2 (H) H2H C	Act 2 (H) Champ C	Act 2 (H) Unique C								0
brute5	27	brute2	brute1	3	WailingBeast	brute5	lvl1clustergrenadesondeath	brute	Brute		YE	1													3	4		5	5	50	23	53	84	brute	brute	10	15	14	13							0	0	0	90	90	95	60	60	50																						1	1									1			1	1							1																													100	100	100	-50	-40	-33		60	20					80	50				36	30	40	52	40	38	2				23	23	23	5	284	460	170	242	112	132	184	112	132	184				290	420	170	240	140	154	105	140	154	100				290	420	85	120	70	77	95	110	121	100				A1	fire					15	15	35		15	30	50																														Act 3 H2H B	Act 3 Champ B	Act 3 Unique B		Act 3 (N) H2H B	Act 3 (N) Champ B	Act 3 (N) Unique B		Act 3 (H) H2H B	Act 3 (H) Champ B	Act 3 (H) Unique B								0
brute1	28	brute2		4	GargantuanBeast	brute1	lvl1waveofforceondeath	brute	Brute		YE	1													1	1		3	3	50	2	36	68	brute	brute	10	15	14	13							0	0	0	100	100	100	45	45	35																						1	1									1			1	1							1																													100	100	100	-50	-40	-33													33	20	100	30	30	34	2				4	4	4	5	258	430	168	242	124	144	202	124	144	202				290	420	170	240	140	154	105	140	154	100				290	420	85	120	70	77	95	110	121	100																																														Act 1 H2H A	Act 1 Champ A	Act 1 Unique A		Act 1 (N) H2H A	Act 1 (N) Champ A	Act 1 (N) Unique A		Act 1 (H) H2H A	Act 1 (H) Champ A	Act 1 (H) Unique A								0
