Name	*Made Into Charm	*Rune Name	complete	server	*Patch Release	itype1	itype2	itype3	itype4	itype5	itype6	etype1	etype2	etype3	*RunesUsed	Rune1	Rune2	Rune3	Rune4	Rune5	Rune6	T1Code1	T1Param1	T1Min1	T1Max1	T1Code2	T1Param2	T1Min2	T1Max2	T1Code3	T1Param3	T1Min3	T1Max3	T1Code4	T1Param4	T1Min4	T1Max4	T1Code5	T1Param5	T1Min5	T1Max5	T1Code6	T1Param6	T1Min6	T1Max6	T1Code7	T1Param7	T1Min7	T1Max7	*eol
Runeword49	1	Harmony	1		Previously Ladder Only	tors									TirIthSolKo	r03	r06	r12	r18			allskills		3	3	gethit-skill	Mind Blast	12	20	att%		200	200																	0
Runeword50		Hatred				tors																																												0
Runeword51		Heart of the Oak	1		110	tors									KoVexPulThul	r18	r26	r21	r10			aura_hidden	Heart Of The Oak Aura	1	1																									0
Runeword52		Heaven's Will				tors																																												0
Runeword53		Holy Tears				tors																																												0
Runeword54	1	Holy Thunder	1		109	tors									EthRalOrtTal	r05	r08	r09	r07			oskill	Tesla Arrow	3	3	prop-targetstoteslaarrow		2	2	extra-ltng		30	30	res-ltng		70	70	ac		500	500									0
Runeword55	1	Honor	1		109	tors									AmnElIthTirSol	r11	r01	r06	r03	r12		pal		3	3	prop-dmgtoholy		100	100	light		60	60																	0
Runeword56		Revenge				tors																																												0
Runeword57		Humility				tors																																												0
Runeword58		Hunger				tors																																												0
Runeword59		Ice	1		Previously Ladder Only	tors									AmnShaelJahLo	r11	r13	r31	r28			aura_hidden	Ice Aura	1	1	att-skill	Herald Of Ice	18	40																					0
Runeword60		Infinity	1		Previously Ladder Only	tors									BerMalBerIst	r30	r23	r30	r24			aura_hidden	Infinity Aura	1	1	dex		70	70	enr		70	70																	0
Runeword61		Innocence				tors																																												0
Runeword62		Insight	1		Previously Ladder Only	tors									RalTirTalSol	r08	r03	r07	r12			mag%		80	80	ac		500	500	mana%		25	25																	0
Runeword63		Jealousy				tors																																												0
Runeword64		Judgment				tors																																												0
Runeword65		King's Grace	1		109	tors									AmnRalThul	r11	r08	r10				oskill	Scepter Master	3	3	oskill	Scepter Of Zeus	3	3	oskill	Judgement Cross	3	3	pal		2	2	sor		2	2									0
Runeword66		Kingslayer	1		110	tors									MalUmGulFal	r23	r22	r25	r19			aura_hidden	Kingslayer Aura	1	1																									0
Runeword67		Knight's Vigil				tors																																												0
Runeword68		Knowledge				tors																																												0
Runeword69		Last Wish			Previously Ladder Only	tors									JahMalJahSurJahBer	r31	r23	r31	r29	r31	r30	enr		1	1																									0
Runeword70		Law				tors																																												0
Runeword71		Lawbringer	1		Previously Ladder Only	tors									AmnLemKo	r11	r20	r18				aura_hidden	Lawbringer Aura	1	1	light		60	60	pal		3	3																	0
Runeword72		Leaf	1		109	tors									TirRal	r03	r08					oskill	Ravager	7	7	oskill	Arcane Warrior	5	5																					0
Runeword73		Lightning				tors																enr		1	1																									0
Runeword74		Lionheart	1		109	tors									HelLumFal	r15	r17	r19				att-skill	Cross Slash	10	35	light		60	60	att-skill	Zantetsuken	10	35	att-skill	Climhazard	10	35	ease		-50	-50									0
Runeword75		Lore	1		109	tors									OrtSol	r09	r12					aura_hidden	Lore Aura	1	1																									0
Runeword76		Love				tors																enr		1	1																									0
Runeword77		Loyalty				tors																enr		1	1																									0
Runeword78		Lust				tors																enr		1	1																									0
Runeword79		Madness				tors																enr		1	1																									0
Runeword81		Malice	1		109	tors									IthElEth	r06	r01	r05				oskill	Bone Storm	5	5	oskill	Intimidation	5	5	oskill	Spirit Circle	8	8																	0
Runeword82		Melody	1		109	tors									ShaelKoNef	r13	r18	r04				gethit-skill	Bone Swarm	15	35	energy		40	40	prop-dmgtounholy		75	75	nec		3	3													0
Runeword83		Memory	1		109	tors									LumIoSolEth	r17	r16	r12	r05			aura_hidden	Memory Aura	1	1																									0
Runeword84		Mist	1		D2R Ladder 1	tors									ChamShaelGulThulIth	r32	r13	r25	r10	r06		all-stats		90	90	allskills		3	3	oskill	Avoid	20	20	oskill	Dodge	20	20	oskill	Evade	20	20									0
Runeword85		Morning				tors																enr		1	1																									0
Runeword86		Mystery				tors																enr		1	1																									0
Runeword87		Myth	1		111	tors									HelAmnNef	r15	r11	r04				att-skill	Surrounding Spears	8	40	oskill	Shattering Javelin	3	3	oskill	Cold Mastery	5	5	oskill	Frostborne	3	3	ama		2	2									0
Runeword88		Nadir	1		109	tors									NefTir	r04	r03					aura_hidden	Nadir Aura	1	1																									0
Runeword89		Nature's Kingdom				tors																enr		1	1																									0
Runeword90		Night				tors																enr		1	1																									0
Runeword91		Oath	1		Previously Ladder Only	tors									ShaelPulMalLum	r13	r21	r23	r17			aura_hidden	Oath Aura	1	1																									0
Runeword92		Obedience	1		Previously Ladder Only	tors									HelKoThulEthFal	r15	r18	r10	r05	r19		oskill	Revive	20	20	oskill	Skeleton Sentry	30	30	oskill	Cow Army	30	30	prop-dmgtosummon		120	120	oskill	Summon Skeleton Archers	30	30									0
Runeword93		Oblivion				tors																enr		1	1																									0
Runeword94		Obsession			D2R Ladder 1	tors									ZodIstLemLumIoNef	r33	r24	r20	r17	r16	r04	enr		1	1																									0
Runeword95		Passion	1		110	tors									DolOrtEldLem	r14	r09	r02	r20			aura_hidden	Passion Aura	1	1																									0
Runeword96		Patience				tors																enr		1	1																									0
Runeword97		Pattern	1		D2R Ladder 1	tors									TalOrtThul	r07	r09	r10				att-skill	Electromagnetic Wave	15	18	oskill	Electromagnetic	3	3	prop-dmgtonova		50	50																	0
Runeword98		Peace	1		111	tors									ShaelThulAmn	r13	r10	r11				prop-dmgtototem		70	70	oskill	Fire totem	3	3	oskill	Flame Wave	3	3	oskill	Unstable Current	3	3	oskill	Storm Totem	3	3	oskill	Cold Totem	3	3					0
Runeword99		Voice of Reason	1		Previously Ladder Only	tors									LemKoElEld	r20	r18	r01	r02			gethit-skill	Ninja Stars	18	35	oskill	Ninja Stars	3	3	ass		2	2	prop-dmgtohoming		90	90													0
Runeword100		Penitence				tors																enr		1	1																									0
Runeword101		Peril				tors																enr		1	1																									0
Runeword102		Pestilence				tors																enr		1	1																									0
Runeword103		Phoenix	1		Previously Ladder Only	tors									VexVexLoJah	r26	r26	r28	r31			att-skill	Herald Of Fire	15	55	pierce-immunity-fire		35	35	pierce-fire		30	30	oskill	Righteous Fire	3	3	oskill	Flame Cloak	3	3	fire-max		2500	2500					0
Runeword104		Piety				tors																enr		1	1																									0
Runeword105		Pillar of Faith				tors																enr		1	1																									0
Runeword106		Plague	1		D2R Ladder 1	tors									ChamShaelUm	r32	r13	r22				att-skill	Caustic Tempest	20	50	oskill	Corrosion	15	15	ass		3	3	dru		3	3	prop-dmgtowind		80	80									0
Runeword107		Praise				tors																enr		1	1																									0
Runeword108		Prayer				tors																enr		1	1																									0
Runeword109		Pride	1		Previously Ladder Only	tors									ChamSurIoLo	r32	r29	r16	r28			aura_hidden	Pride Aura	1	1																									0
Runeword110		Principle	1		111	tors									RalGulEld	r08	r25	r02				att-skill	Stock Break	15	45	prop-dmgtofragment		90	90	oskill	Blade Mastery	15	15																	0
Runeword111		Prowess in Battle				tors																enr		1	1																									0
Runeword112		Prudence	1		110	tors									MalTir	r23	r03					aura_hidden	Prudence Aura	1	1																									0
Runeword113		Punishment				tors																enr		1	1																									0
Runeword114		Purity				tors																enr		1	1																									0
Runeword115		Question				tors																enr		1	1																									0
Runeword116		Radiance	1		109	tors									NefSolIth	r04	r12	r06				prop-dmgtosummon		80	80	oskill	Skeleton Sentry	3	3	oskill	Ravager	5	5	oskill	Savage Vipers	3	3	nec		2	2									0
Runeword117		Rain	1		111	tors									OrtMalIth	r09	r23	r06				oskill	Cold Mastery	10	10	att-skill	Arrow Hail	18	45	oskill	Frost Arrow	25	25	res-cold-max		5	5													0
Runeword118		Reason				tors																enr		1	1																									0
Runeword119		Red				tors																enr		1	1																									0
Runeword120		Rhyme	1		109	tors									ShaelEth	r13	r05					oskill	Lightning Speed	5	5	oskill	Frostborne	5	5	oskill	Enchant	5	5	att		600	600													0
Runeword121		Rift	1		Previously Ladder Only	tors									HelKoLemGul	r15	r18	r20	r25			aura_hidden	Rift Aura	1	1																									0
Runeword122		Sanctuary	1		110	tors									KoKoMal	r18	r18	r23				aura	Sanctuary	12	12	Light		70	70	pal		2	2	ac		1000	1000													0
Runeword123		Serendipity				tors																enr		1	1																									0
Runeword124		Shadow				tors																enr		1	1																									0
Runeword125		Shadow of Doubt				tors																enr		1	1																									0
Runeword126		Silence			109	tors									DolEldHelIstTirVex	r14	r02	r15	r24	r03	r26	enr		1	1																									0
Runeword127		Siren's Song				tors																enr		1	1																									0
Runeword128		Smoke	1		109	tors									NefLum	r04	r17					aura_hidden	Smoke Aura	1	1																									0
Runeword129		Sorrow				tors																enr		1	1																									0
Runeword130		Spirit	1		Previously Ladder Only	tors									TalThulOrtAmn	r07	r10	r09	r11			bothdr		350	350	prop-hpregen%		40	40	mana%		30	30	regen-mana		200	200													0
Runeword131		Splendor	1		110	tors									EthLum	r05	r17					aura_hidden	Splendor Aura	1	1	oskill	Boon Of The Hoarder	8																						0
Runeword132		Starlight				tors																enr		1	1																									0
Runeword133	1	Stealth	1		109	tors									TalEth	r07	r05					oskill	Dodge	10	5	oskill	Evade	10	10	oskill	Avoid	10	10	ac	700	800														0
Runeword134	1	Steel	1		109	tors									TirEl	r03	r01					oskill	Critical Strike	3	3	oskill	Blade Mastery	6	6	oskill	Axe Mastery	6	6	oskill	Spear Mastery	6	6	oskill	Polearm Mastery	6	6									0
Runeword135		Still Water				tors																enr		1	1																									0
Runeword136		Sting				tors																enr		1	1																									0
Runeword137		Stone	1		110	tors									ShaelUmPulLum	r13	r22	r21	r17			aura_hidden	Stone Aura	1	1	oskill	Cluster Grenades	3	3	oskill	Seismic Spear	3	3	prop-dmgtoearth		80	80													0
Runeword138		Storm				tors																enr		1	1																									0
Runeword139	1	Strength	1		109	tors									AmnTir	r11	r03					str%		15	15	str		20	20	ac		1600	1600																	0
Runeword140		Tempest				tors																enr		1	1																									0
Runeword141		Temptation				tors																enr		1	1																									0
Runeword142		Terror				tors																enr		1	1																									0
Runeword143		Thirst				tors																enr		1	1																									0
Runeword144		Thought				tors																enr		1	1																									0
Runeword145		Thunder				tors																enr		1	1																									0
Runeword146		Time				tors																enr		1	1																									0
Runeword147		Tradition				tors																enr		1	1																									0
Runeword148		Treachery	1		111	tors									ShaelThulLem	r13	r10	r20				aura_hidden	Treachery Aura	1	1	nec		1	1																					0
Runeword149		Trust				tors																enr		1	1																									0
Runeword150		Truth				tors																enr		1	1																									0
Runeword151		Unbending Will			D2R Ladder 1	tors									FalIoIthEldElHel	r19	r16	r06	r02	r01	r15	enr		1	1																									0
Runeword152		Valor				tors																enr		1	1																									0
Runeword153		Vengeance				tors																enr		1	1																									0
Runeword154		Venom	1		109	tors									TalDolMal	r07	r14	r23				enr		1	1																									0
Runeword155		Victory				tors																enr		1	1																									0
Runeword156		Voice				tors																enr		1	1																									0
Runeword157		Void				tors																enr		1	1																									0
Runeword158		War				tors																enr		1	1																									0
Runeword159		Water				tors																enr		1	1																									0
Runeword160		Wealth	1		109	tors									LmKoTir	r20	r18	r03				oskill	Boon Of The Hoarder	15	15	move2		35	35	prop-hpregen%		20	20																	0
Runeword161		Whisper				tors																enr		1	1																									0
Runeword162		White	1		109	tors									DolIo	r14	r16					aura_hidden	White Aura	1	1	oskill	Holy Sword Strike	3	3	prop-dmgtoholy	35	35																		0
Runeword163		Wind	1		110	tors									SurEl	r29	r01					prop-dmgtowind		150	150	gethit-skill	Tempest Flurry	9	50	att-skill	Tempest Flurry	9	50																	0
Runeword164		Wings of Hope				tors																enr		1	1																									0
Runeword165		Wisdom	1		D2R Ladder 1	tors									PulIthEld	r21	r06	r02				aura	Meditation	18	18	aura	123	7	7	allskills		1	1																	0
Runeword166		Woe				tors																enr		1	1																									0
Runeword167		Wonder				tors																enr		1	1																									0
Runeword168		Wrath	1		Previously Ladder Only	tors									PulLumBerMal	r21	r17	r30	r23			aura_hidden	Wrath Aura	1	1																									0
Runeword169		Youth				tors																enr		1	1																									0
Runeword170	1	Zephyr	1		109	tors									OrtEth	r09	r05					move2		25	25	oskill	Evade	6	6	res-all		30	30	cast2		40	40													0
Runeword171	1	Hustle (armor)	1		D2R Ladder 3	tors									ShaelKoEld	r13	r18	r02				oskill	Dodge	10	10	oskill	Avoid	10	10	oskill	Evade	10	10	res-all	25	25	balance1		60	60										0
Runeword172		Hustle (weapon)	0		D2R Ladder 3	tors									ShaelKoEld	r13	r18	r02				enr		1	1																									0
Runeword173		Mosaic	1		D2R Ladder 3	tors									MalGulAmn	r23	r25	r11				prop-combopoints		4	4	gethit-skill	Dispersion Strike	12	50	skillsyncombostrike		1	1																	0
Runeword174		Metamorphosis	1		D2R Ladder 3	tors									IoChamFal	r16	r32	r19				oskill	Moo Moo Martial Artist	30	30	oskill	Blood Hooves	35	35	nec		7	7																	0
Runeword175		Ground	1		D2R Ladder 3	tors									ShaelIoOrt	r13	r16	r09				res-ltng		80	80	prop-dmgtoearth		120	120	oskill	Forcewave	3	3	prop-forcewavemaxchainhits		3	3													0
Runeword176		Temper	1		D2R Ladder 3	tors									ShaelIoRal	r13	r16	r08				oskill	Enchant	10	10	res-fire		80	80	att-skill	Firefury	8	48																	0
Runeword177		Hearth	1		D2R Ladder 3	tors									ShaelIoThul	r13	r16	r10				str%		8	8	str		60	60	hp%		10	10	oskill	Splitting Earth	28	28													0
Runeword178		Cure	1		D2R Ladder 3	tors									ShaelIoTal	r13	r16	r07				oskill	Battle Orders	6	6	allskills		2	2	oskill	Warmth	4	4																	0
Runeword179		Bulwark	1		D2R Ladder 3	tors									ShaelIoSol	r13	r16	r12				gethit-skill	Shield Split	9	50	ac		900	900	res-all		35	35	hp		400	400													0
