Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	ExpRatio
38	15468534	15468534	15468534	15468534	15468534	15468534	15468534	256
39	17270791	17270791	17270791	17270791	17270791	17270791	17270791	256
40	19235252	19235252	19235252	19235252	19235252	19235252	19235252	256
41	21376515	21376515	21376515	21376515	21376515	21376515	21376515	256
42	23710491	23710491	23710491	23710491	23710491	23710491	23710491	256
43	26254525	26254525	26254525	26254525	26254525	26254525	26254525	256
44	29027522	29027522	29027522	29027522	29027522	29027522	29027522	256
45	32050088	32050088	32050088	32050088	32050088	32050088	32050088	256
46	35344686	35344686	35344686	35344686	35344686	35344686	35344686	256
47	38935798	38935798	38935798	38935798	38935798	38935798	38935798	256
48	42850109	42850109	42850109	42850109	42850109	42850109	42850109	256
49	47116709	47116709	47116709	47116709	47116709	47116709	47116709	256
50	51767302	51767302	51767302	51767302	51767302	51767302	51767302	256
51	56836449	56836449	56836449	56836449	56836449	56836449	56836449	256
52	62361819	62361819	62361819	62361819	62361819	62361819	62361819	256
53	68384473	68384473	68384473	68384473	68384473	68384473	68384473	256
54	74949165	74949165	74949165	74949165	74949165	74949165	74949165	256
55	82104680	82104680	82104680	82104680	82104680	82104680	82104680	256
56	89904191	89904191	89904191	89904191	89904191	89904191	89904191	256
57	98405658	98405658	98405658	98405658	98405658	98405658	98405658	256
58	107672256	107672256	107672256	107672256	107672256	107672256	107672256	256
59	117772849	117772849	117772849	117772849	117772849	117772849	117772849	256
60	128782495	128782495	128782495	128782495	128782495	128782495	128782495	256
61	140783010	140783010	140783010	140783010	140783010	140783010	140783010	256
62	153863570	153863570	153863570	153863570	153863570	153863570	153863570	256
63	168121381	168121381	168121381	168121381	168121381	168121381	168121381	256
64	183662396	183662396	183662396	183662396	183662396	183662396	183662396	256
65	200602101	200602101	200602101	200602101	200602101	200602101	200602101	256
66	219066380	219066380	219066380	219066380	219066380	219066380	219066380	256
67	239192444	239192444	239192444	239192444	239192444	239192444	239192444	256
68	261129853	261129853	261129853	261129853	261129853	261129853	261129853	256
69	285041630	285041630	285041630	285041630	285041630	285041630	285041630	256
70	311105466	311105466	311105466	311105466	311105466	311105466	311105466	256
71	339515048	339515048	339515048	339515048	339515048	339515048	339515048	256
72	370481492	370481492	370481492	370481492	370481492	370481492	370481492	256
73	404234916	404234916	404234916	404234916	404234916	404234916	404234916	256
74	441026148	441026148	441026148	441026148	441026148	441026148	441026148	256
75	481128591	481128591	481128591	481128591	481128591	481128591	481128591	256
76	524840254	524840254	524840254	524840254	524840254	524840254	524840254	256
77	572485967	572485967	572485967	572485967	572485967	572485967	572485967	256
78	624419793	624419793	624419793	624419793	624419793	624419793	624419793	256
79	681027665	681027665	681027665	681027665	681027665	681027665	681027665	256
80	742730244	742730244	742730244	742730244	742730244	742730244	742730244	256
81	809986056	809986056	809986056	809986056	809986056	809986056	809986056	256
82	883294891	883294891	883294891	883294891	883294891	883294891	883294891	256
83	963201521	963201521	963201521	963201521	963201521	963201521	963201521	256
84	1050299747	1050299747	1050299747	1050299747	1050299747	1050299747	1050299747	256
85	1145236814	1145236814	1145236814	1145236814	1145236814	1145236814	1145236814	256
86	1248718217	1248718217	1248718217	1248718217	1248718217	1248718217	1248718217	256
87	1361512946	1361512946	1361512946	1361512946	1361512946	1361512946	1361512946	256
88	1484459201	1484459201	1484459201	1484459201	1484459201	1484459201	1484459201	256
89	1618470619	1618470619	1618470619	1618470619	1618470619	1618470619	1618470619	256
90	1764543065	1764543065	1764543065	1764543065	1764543065	1764543065	1764543065	256
91	1923762030	1923762030	1923762030	1923762030	1923762030	1923762030	1923762030	256
92	2097310703	2097310703	2097310703	2097310703	2097310703	2097310703	2097310703	256
93	2286478756	2286478756	2286478756	2286478756	2286478756	2286478756	2286478756	128
94	2492671933	2492671933	2492671933	2492671933	2492671933	2492671933	2492671933	64
95	2717422497	2717422497	2717422497	2717422497	2717422497	2717422497	2717422497	50
96	2962400612	2962400612	2962400612	2962400612	2962400612	2962400612	2962400612	50
97	3229426756	3229426756	3229426756	3229426756	3229426756	3229426756	3229426756	50
98	3520485254	3520485254	3520485254	3520485254	3520485254	3520485254	3520485254	32
99	3837739017	3837739017	3837739017	3837739017	3837739017	3837739017	3837739017	16
