name	*order	version	compactsave	rarity	spawnable	minac	maxac	speed	reqstr	reqdex	block	durability	nodurability	level	ShowLevel	levelreq	cost	gamble cost	code	namestr	magic lvl	auto prefix	alternategfx	normcode	ubercode	spelldesc	spelldescstr	spelldescstr2	spelldesccalc	spelldesccolor	ultracode	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	setinvfile	rArm	lArm	Torso	Legs	rSPad	lSPad	useable	stackable	minstack	maxstack	spawnstack	Transmogrify	TMogType	TMogMin	TMogMax	type	type2	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	*quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	mindam	maxdam	StrBonus	DexBonus	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HratliMin	HratliMax	HratliMagicMin	HratliMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	AnyaMin	AnyaMax	AnyaMagicMin	AnyaMagicMax	AnyaMagicLvl	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem	diablocloneweight
Studded Leather 	11	0	0	1	1	33	35	0	80	80	0	32	0	12	1	0	2385	5635	stu	stu		905	stu	stu	xtu						utu	1	2	3	1	2	1	flpstu	invstu			1	0	0	1	1	1	0					0	xxx			tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0			0	2	0	0	0			0	1	1	1	1	1	20		1		1	1					255					255					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255	7	8	1	rng	ltp	1	0	
Ring Mail	12	0	0	1	1	60	66	5	108	54	0	26	0	16	1	0	4428	10089	rng	rng		905	rng	rng	xng						ung	1	2	3	1	3	1	flprng	invrng			0	0	1	1	1	1	0					0	xxx			tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0			0	2	0	0	0			0	3		1		1	255					255					255	1	1		1	1					255					255					255					255					255		1		1	1					255					255					255					255					255					255					255	7	8	1	scl	chn	1	0	
Scale Mail	13	0	0	1	1	87	95	10	132	66	0	36	0	19	1	0	6508	15076	scl	scl		905	scl	scl	xcl						ucl	1	2	3	1	2	1	flpscl	invscl			1	1	1	1	1	1	0					0	xxx			tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0			0	2	0	0	0			0	3					255					255					255	1	1		1	1					255					255					255					255					255					255				1	1				1	1					255					255					255					255					255	7	8	1	chn	brs	1	0	
Chain Mail	14	0	0	1	1	110	120	5	144	72	0	45	0	22	1	0	9360	22550	chn	chn		905	chn	chn	xhn						uhn	1	2	3	1	3	1	flpchn	invchn			1	1	1	1	2	2	0					0	xxx			tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0			0	2	0	0	0			0	3					255					255					255	1	1		1	1					255					255		1		1	1					255					255					255	1	1	1	1	1	1	1	1	1	1					255				1	1					255					255					255	7	8	1	brs	spl	1	0	
Breast Plate	15	0	0	1	1	82	90	0	90	70	0	50	0	27	1	0	10078	28426	brs	brs		905	brs	brs	xrs						urs	1	2	3	1	3	1	flpbrs	invbrs			0	0	2	0	2	2	0					0	xxx			tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0			0	2	0	0	0			0	3					255					255					255		1		1	1					255					255	1	1		1	1					255					255					255	1	1	1	1	1	1	1	1	1	1					255	1	1		1	1					255					255					255	7	8	1	spl	plt	1	0	
Splint Mail	16	0	0	1	1	160	176	5	152	76	0	30	0	30	1	0	15489	44973	spl	spl		905	spl	spl	xpl						upl	1	2	3	1	2	1	flpspl	invspl			1	1	2	1	1	1	0					0	xxx			tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0			0	2	0	0	0			0	3					255					255					255		1			1					255					255	1	1	1	1	1					255					255					255	1	1		1	1	1	1		1	1					255	1	1		1	1			1	1	20					255					255	7	8	1	plt	fld	1	0	
Plate Mail	17	0	0	1	1	236	260	10	194	97	0	60	0	36	1	0	22335	74255	plt	plt		905	plt	plt	xlt						ult	1	2	3	1	2	1	flpplt	invplt			2	2	2	2	1	1	0					0	xxx			tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0			0	2	0	0	0			0	3					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255			1	1	20	1	1	1	1	1			1	1	20					255					255	8	8	1	fld	xxx	1	0	
Field Plate	18	0	0	1	1	232	256	5	164	82	0	48	0	42	1	0	23841	91694	fld	fld		905	fld	fld	xld						uld	1	2	3	1	2	1	flpfld	invfld			1	1	2	2	2	2	0					0	xxx			tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0			0	2	0	0	0			0	3					255					255					255					255					255					255		1			1					255					255					255					255					255	1	1	1	1	20					1			1	2	20					255					255	8	8	1	gth	ful	1	0	
Gothic Plate	19	0	0	1	1	341	375	5	210	105	0	55	0	48	1	0	34646	147834	gth	gth		905	gth	gth	xth						uth	1	2	3	1	4	1	flpgth	invgth			2	2	1	2	2	2	0					0	xxx			tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0			0	2	0	0	0			0	3					255					255					255					255					255					255					1					255				1	1					255					255					255	1	1	1	1	20					1	1	1	1	2	20					255					255	8	8	1	ful	xxx	1	0	
Full Plate Mail	20	0	0	1	1	450	496	10	240	120	0	70	0	55	1	0	47192	228763	ful	ful		905	ful	ful	xul						uul	1	2	3	1	4	1	flpful	invful	invfulu	invfulu	2	2	2	2	2	2	0					0	xxx			tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0			0	2	0	0	0			0	3					255					255					255					255					255					255					1					255					255					255					255					255			1	1	20					1	1	1	1	2	20					255					255	8	8	1	aar	xxx	1	0	
Ancient Armor	21	0	0	1	1	608	672	5	300	150	0	60	0	60	1	0	73864	380570	aar	aar		905	aar	aar	xar						uar	1	2	3	1	4	1	flpaar	invaar	invaaru	invaaru	1	2	2	2	2	0	0					0	xxx			tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0			0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255			1	1	20					255	1	1	1	2	20					255		1	1	2	20	8	8	1	ltp	xxx	1	0	
Light Plate	22	0	0	1	1	216	238	0	122	61	0	60	0	52	1	0	28327	133931	ltp	ltp		905	ltp	ltp	xtp						utp	1	2	3	1	3	1	flpltp	invltp			2	0	1	1	2	2	0					0	xxx			tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0			0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255			1	1	20		1			255			1	2	20					255		1	1	1	20	7	8	1	buc	xxx	1	0	
Buckler	23	0	0	1	1	1	3	0	70	70	0	12	0	1	1	0	68	1509	buc	buc		905	buc	buc	xuc						uuc	7	2	2	1	1	2	flpbuc	invbuc	invbucu	invbucu							0					0	xxx			shie		item_woodshield	12	item_woodshield	0	0	5	0	0	0			0	1	0	1	3	100		0	3	1	1	1	1	3		1		1	1					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	8	8	1	sml	tow	1	0	
Small Shield	24	0	0	1	1	14	16	0	70	70	3	16	0	7	1	0	410	2756	sml	sml		905	buc	sml	xml						uml	7	2	2	1	2	2	flpsml	invsml	invsmlu	invsmlu							0					0	xxx			shie		item_woodshield	12	item_woodshield	0	0	5	0	0	0			0	1	0	2	3	100		0	3	1	1	1	1	5		1		1	1					255					255					255					255					255					255					255	1	2	1	1	1				1	1				1	1					255					255					255					255					255	8	5	1	lrg	kit	1	0	
Large Shield	25	0	0	1	1	48	52	5	102	70	6	24	0	16	1	0	1214	5669	lrg	lrg		905	lrg	lrg	xrg						urg	7	2	3	1	3	2	flplrg	invlrg	invlrgu	invlrgu							0					0	xxx			shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0			0	1	0	2	4	100		0	3		1		1	10		1		1	1					255	1	1	1	1	1					255					255					255					255					255					255	1	1	1	1	1	1	1	1	1	1					255	1	1			255					255					255					255	8	2	1	kit	tow	1	0	
Kite Shield	26	0	0	1	1	89	97	0	140	70	4	30	0	22	1	0	2129	8992	kit	kit		905	kit	kit	xit						uit	7	2	3	1	3	2	flpkit	invkit	invkitu	invkitu							0					0	xxx			shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0			0	1	0	2	5	100		0	3					255					255					255	1	1		1	1					255					255	1	1	1	1	1					255					255					255	1	1		1	1	1	1		1	1					255	1	1	1	1	1					255					255					255	8	2	1	tow	gts	1	0	
Tower Shield	27	0	0	1	1	209	229	10	224	112	12	60	0	33	1	0	4249	18435	tow	tow		905	tow	tow	xow						uow	7	2	3	1	3	2	flptow	invtow	invtowu	invtowu							0					0	xxx			shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0			0	1	0	1	5	100		0	3					255					255					255		1			1					255					255	1	2	1	1	1					255					255					255					255					255	1	1	1	1	20	1	1			1	1	1	1	2	20					255					20	8	2	1	gts	xxx	1	0	
Gothic Shield	28	0	0	1	1	229	253	5	180	90	8	40	0	45	1	0	8000	38750	gts	gts		905	kit	gts	xts						uts	7	2	4	1	3	2	flpgts	invgts	invgtsu	invgtsu							0					0	xxx			shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0			0	1	0	2	6	100		0	3					255					255					255					255					255					255		1			1					255					255					255					255					255	1	1	1	1	20					1			1	2	20					255			1	1	20	8	2	1	xxx	xxx	1	0	
Leather Gloves	29	0	0	1	1	6	8	0	70	70	0	12	0	4	1	0	80	2030	lgl	lgl		905	lgl	lgl	xlg						ulg	16	2	2	1	1	0	flplgl	invlgl									0					0	xxx			glov		item_gloves	12	item_gloves	0	0	5	0	0	0			0	5	0	0	0			0	1	1	1	1	1	3	1	1		1	1					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	0	8	1	vgl	hgl	1	0	
Heavy Gloves	30	0	0	1	1	15	17	0	70	70	0	14	0	10	1	0	352	3308	vgl	vgl		905	vgl	vgl	xvg						uvg	16	2	2	1	1	0	flpvgl	invvgl									0					0	xxx			glov		item_gloves	12	item_gloves	0	0	5	0	0	0			0	5	0	0	0			0	1		1		1	5		1		1	1					255		1		1	1					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255	0	8	1	mgl	tgl	1	0	
Chain Gloves	31	0	0	1	1	27	29	0	70	70	0	16	0	18	1	0	859	5539	mgl	mgl		905	mgl	mgl	xmg						umg	16	2	2	1	1	0	flpmgl	invmgl									0					0	xxx			glov		item_gloveschain	12	item_gloveschain	0	0	5	0	0	0			0	5	0	0	0			0	3		1			10					255					255	1	2	1	1	1					255					255					255					255					255					255	1	1		1	1	1	1		1	1					255					255					255					255					255	0	8	1	tgl	hgl	1	0	
Light Gauntlets	32	0	0	1	1	85	94	0	134	70	0	18	0	30	1	0	1635	10338	tgl	tgl		905	mgl	tgl	xtg						utg	16	2	2	1	1	0	flptgl	invtgl									0					0	xxx			glov		item_glovesmetal	12	item_glovesmetal	0	0	5	0	0	0			0	5	0	0	0			0	3					255					255					255		1		1	1					255					255					255					255					255					255	1	2	1	1	1	1	2	1	1	1			1	1	255	1	1		1	255			1	1	20					255	1	1			255	0	8	1	xxx	xxx	1	0	
Gauntlets	33	0	0	1	1	154	170	0	180	90	0	24	0	40	1	0	2964	18004	hgl	hgl		905	hgl	hgl	xhg						uhg	16	2	2	1	1	0	flphgl	invhgl									0					0	xxx			glov		item_glovesmetal	12	item_glovesmetal	0	0	5	0	0	0			0	5	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255	1	1		1	1	1	1		1	1	1	1		1	255	1	1			255	1	1	1	1	20					255	1	1	1	1	20	0	8	1	xxx	xxx	1	0	
Boots	34	0	0	1	1	6	8	0	70	70	0	12	0	4	1	0	80	2030	lbt	lbt		905	lbt	lbt	xlb						ulb	16	2	2	1	1	1	flplbt	invlbt									0					0	xxx			boot		item_boots	12	item_boots	0	0	5	0	0	0			0	6	0	3	8	120		0	1	1	1	1	1	1	1	1		1	1					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	0	8	1	vbt	tbt	1	0	
Heavy Boots	35	0	0	1	1	15	17	0	70	70	0	14	0	10	1	0	334	3292	vbt	vbt		905	vbt	vbt	xvb						uvb	16	2	2	1	1	1	flpvbt	invvbt									0					0	xxx			boot		item_boots	12	item_boots	0	0	5	0	0	0			0	6	0	4	10	120		0	1		1		1	1		1		1	1					255		1		1	1					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255	0	8	1	mbt	tbt	1	0	
Chain Boots	36	0	0	1	1	35	37	0	90	70	0	16	0	18	1	0	854	5531	mbt	mbt		905	mbt	mbt	xmb						umb	16	2	2	1	1	1	flpmbt	invmbt									0					0	xxx			boot		item_bootschain	12	item_bootschain	0	0	5	0	0	0			0	6	0	6	12	120		0	3		1			1					255					255	1	2	1	1	1					255					255					255					255					255					255	1	1		1	1	1	1		1	1					255					255					255					255					255	0	8	1	tbt	hbt	1	0	
Light Plated Boots	37	0	0	1	1	95	105	0	150	75	0	18	0	30	1	0	1630	10325	tbt	tbt		905	mbt	tbt	xtb						utb	16	2	2	1	1	1	flptbt	invtbt									0					0	xxx			boot		item_bootsmetal	12	item_bootsmetal	0	0	5	0	0	0			0	6	0	8	16	120		0	3					255					255					255		1		1	1					255					255					255					255					255					255	1	2	1	1	1	1	2	1	1	1			1	1	20	1	1		1	255			1	1	20					255	1	1			255	0	8	1	xxx	xxx	1	0	
Greaves	38	0	0	1	1	107	117	0	125	150	0	24	0	40	1	0	2954	17970	hbt	hbt		905	hbt	hbt	xhb						uhb	16	2	2	1	1	1	flphbt	invhbt									0					0	xxx			boot		item_bootsmetal	12	item_bootsmetal	0	0	5	0	0	0			0	6	0	10	20	120		0	3					255					255					255					255					255					255					255					255					255					255	1	1		1	1	1	1		1	1	1	1	1	1	20	1	1			255	1	1	1	1	20					255	1	1	1	1	20	0	8	1	xxx	xxx	1	0	
Sash	39	0	0	1	1	3	5	0	70	70	0	12	0	4	1	0	64	2024	lbl	lbl		905	lbl	lbl	zlb						ulc	16	2	1	0	0	0	flplbl	invlbl									0					0	xxx			belt		item_lightarmor	12	item_lightarmor	0	0	5	0	0	1			0	4	0	0	0			0	1	1	1	1	1	1	1	1		1	1					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	0	8	1	vbl	tbl	1	0	
Light Belt	40	0	0	1	1	9	11	0	70	70	0	14	0	10	1	0	192	3168	vbl	vbl		905	vbl	vbl	zvb						uvc	16	2	1	0	0	0	flpvbl	invvbl									0					0	xxx			belt		item_belt	12	item_belt	0	0	5	0	0	4			0	4	0	0	0			0	1		1		1	1		1		1	1					255		1		1	1					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255	0	8	1	mbl	hbl	1	0	
Belt	41	0	0	1	1	18	20	0	74	70	0	16	0	18	1	0	495	4993	mbl	mbl		905	mbl	mbl	zmb						umc	16	2	1	0	0	0	flpmbl	invmbl									0					0	xxx			belt		item_belt	12	item_belt	0	0	5	0	0	0			0	4	0	0	0			0	1		1			1					255					255	1	2	1	1	1					255					255					255					255					255					255	1	1		1	1	1	1		1	1					255					255					255					255					255	0	8	1	tbl	hbl	1	0	
Heavy Belt	42	0	0	1	1	54	62	0	134	70	0	18	0	30	1	0	963	8658	tbl	tbl		905	mbl	tbl	ztb						utc	16	2	1	0	0	0	flptbl	invtbl									0					0	xxx			belt		item_belt	12	item_belt	0	0	5	0	0	5			0	4	0	0	0			0	1					255					255					255		1		1	1					255					255					255					255					255					255	1	2	1	1	1	1	2	1	1	1			1	1	20	1	1		1	255					255					255	1	1			255	0	8	1	xxx	xxx	1	0	
Plated Belt	43	0	0	1	1	101	111	0	180	90	0	24	0	40	1	0	2068	14980	hbl	hbl		905	hbl	hbl	zhb						uhc	16	2	1	0	0	0	flphbl	invhbl									0					0	xxx			belt		item_belt	12	item_belt	0	0	5	0	0	3			0	4	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255	1	1		1	1	1	1		1	1	1	1	1	1	20	1	1			255	1	1	1	2	20					255	1	1			255	0	8	1	xxx	xxx	1	0	
Bone Helm	44	0	0	1	1	65	71	0	70	70	0	40	0	33	1	0	6323	24138	bhm	bhm		905	bhm	bhm	xh9						uh9	0	2	2	1	2	1	flpbhm	invbhm	invbhmu	invbhmu							0					0	xxx			helm		item_helm	12	item_helm	0	0	5	0	2	0			0	3	0	0	0			0	1					255					255					255					255					255	1	2	1	3	20					255					255				1	1					255					255					255					255					255					255					255		1		1	1	7	8	1	xxx	xxx	1	0	
Bone Shield	45	0	0	1	1	57	61	0	70	70	10	40	0	28	1	0	3175	13541	bsh	bsh		905	bsh	bsh	xsh						ush	7	2	3	1	2	2	flpbsh	invbsh	invbshu	invbshu							0					0	xxx			shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0			0	1	0	3	6	100		0	1					255					255					255					255					255	1	2	1	3	20					255					255				1	1					255					255					255					255					255					255					255		1		1	1	8	8	1	xxx	xxx	1	0	
Spiked Shield	46	0	0	1	1	40	48	0	90	70	5	40	0	16	1	0	1890	6599	spk	spk		905	spk	spk	xpk						upk	7	2	3	1	2	2	flpspk	invspk	invspku	invspku							0					0	xxx			shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0			0	1	0	5	9	100		0	1					255					255					255					255					255	1	2	1	3	20					255					255					1					255					255					255					255					255					255					255		1		1	1	8	8	1	xxx	xxx	1	0	
War Hat	47	0	0	1	1	101	111	0	70	70	0	12	0	51	1	33	13560	41031	xap	xap		905	cap	cap	xap						uap	0	2	2	1	2	1	flpcap	invcap									0					0	xxx			helm		item_cap	12	item_cap	0	0	5	0	0	0			0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	8	1	xxx	xxx	1	0	
Sallet	48	0	0	1	1	201	222	0	128	70	0	18	0	55	1	37	17210	56824	xkp	xkp		905	skp	skp	xkp						ukp	0	2	2	1	2	1	flpskp	invskp	invxkpu	invxkpu							0					0	xxx			helm		item_helm	12	item_helm	0	0	5	0	0	0			0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	8	1	xxx	xxx	1	0	
Casque	49	0	0	1	1	314	346	0	176	88	0	24	0	63	1	37	23075	85902	xlm	xlm		905	hlm	hlm	xlm						ulm	0	2	2	1	2	1	flphlm	invhlm	invhlmu	invhlmu							0					0	xxx			helm		item_helm	12	item_helm	0	0	5	0	0	0			0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	8	1	xxx	xxx	1	0	
Basinet	50	0	0	1	1	470	518	0	246	123	0	30	0	67	1	37	29083	116955	xhl	xhl		905	fhl	fhl	xhl						uhl	0	2	2	1	2	1	flpfhl	invfhl	invfhlu	invfhlu							0					0	xxx			helm		item_helm	12	item_helm	0	0	5	0	0	0			0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	8	1	xxx	xxx	1	0	
Winged Helm	51	0	0	1	1	744	822	0	344	172	0	40	0	76	1	37	37846	177950	xhm	xhm		905	ghm	ghm	xhm						uhm	0	2	2	1	3	1	flpghm	invghm									0					0	xxx			helm		item_helm	12	item_helm	0	0	5	0	0	0			0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	7	8	1	xxx	xxx	1	0	
Grand Crown	52	0	0	1	1	719	793	0	308	154	0	50	0	82	1	75	42458	224408	xrn	xrn		905	crn	crn	xrn						urn	0	2	2	1	3	1	flpcrn	invcrn	invxrnu	invxrnu							0					0	xxx			helm		item_helm	12	item_helm	0	0	5	0	0	0			0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	8	1	xxx	xxx	1	0	
