index	*ID	set	item	*ItemName	rarity	lvl	lvl req	chrtransform	invtransform	invfile	flippyfile	dropsound	dropsfxframe	usesound	cost mult	cost add	add func	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	aprop1a	apar1a	amin1a	amax1a	aprop1b	apar1b	amin1b	amax1b	aprop2a	apar2a	amin2a	amax2a	aprop2b	apar2b	amin2b	amax2b	aprop3a	apar3a	amin3a	amax3a	aprop3b	apar3b	amin3b	amax3b	aprop4a	apar4a	amin4a	amax4a	aprop4b	apar4b	amin4b	amax4b	aprop5a	apar5a	amin5a	amax5a	aprop5b	apar5b	amin5b	amax5b	diablocloneweight	*eol
Cathan's Visage	27	Cathan's Traps	msk	Mask	7	22	11	dgrn	dgrn						5	2500	2	hp		1	1																																																																										0
Cathan's Sigil	28	Cathan's Traps	amu	Amulet	7	22	11	dgrn	dgrn						5	2500	2	hp		1	1																																																																										0
Cathan's Seal	29	Cathan's Traps	rin	Ring	7	22	11	dgrn	dgrn						5	2500	2	hp		1	1																																																																										0
Tancred's Crowbill	30	Tancred's Battlegear	mpi	Military Pick	7	40	20	dgld	dgld						5	2500	2	hp		1	1																																																																										0
Tancred's Spine	31	Tancred's Battlegear	ful	Full Plate Mail	7	40	20	dgld	dgld						5	2500	2	hp		1	1																																																																										0
Tancred's Hobnails	32	Tancred's Battlegear	lbt	Boots	7	40	20	dgld	dgld						5	2500	2	hp		1	1																																																																										0
Tancred's Weird	33	Tancred's Battlegear	amu	Amulet	7	40	20	dgld	dgld						5	2500	2	hp		1	1																																																																										0
Tancred's Skull	34	Tancred's Battlegear	bhm	Bone Helm	7	40	20	dgld	dgld						5	2500	2	hp		1	1																																																																										0
Sigon's Gage	35	Sigon's Complete Steel	hgl	Gauntlets	7	13	6	whit	whit						5	2500	2	hp		1	1																																																																										0
Sigon's Visor	36	Sigon's Complete Steel	ghm	Great Helm	7	13	6	whit	whit						5	2500	2	hp		1	1																																																																										0
Sigon's Shelter	37	Sigon's Complete Steel	gth	Gothic Plate	7	13	6	whit	whit						5	2500	2	hp		1	1																																																																										0
Sigon's Sabot	38	Sigon's Complete Steel	hbt	Greaves	7	13	6	whit	whit						5	2500	2	hp		1	1																																																																										0
Sigon's Wrap	39	Sigon's Complete Steel	hbl	Plated Belt	7	13	6	whit	whit						5	2500	2	hp		1	1																																																																										0
Sigon's Guard	40	Sigon's Complete Steel	tow	Tower Shield	7	13	6	whit	whit						5	2500	2	hp		1	1																																																																										0
Infernal Cranium	41	Infernal Tools	cap	Cap	7	10	5	lyel	lyel						5	2500	2	hp		1	1																																																																										0
Infernal Torch	42	Infernal Tools	gwn	Grim Wand	7	10	5	lyel	lyel						5	2500	2	hp		1	1																																																																										0
Infernal Sign	43	Infernal Tools	tbl	Heavy Belt	7	10	5	lyel	lyel						5	2500	2	hp		1	1																																																																										0
Berserker's Headgear	44	Berserker's Garb	hlm	Helm	7	7	3	dred	dred						5	2500	2	hp		1	1																																																																										0
Berserker's Hauberk	45	Berserker's Garb	spl	Splint Mail	7	7	3	dred	dred						5	2500	2	hp		1	1																																																																										0
Berserker's Hatchet	46	Berserker's Garb	2ax	Double Axe	7	7	3	dred	dred						5	2500	2	hp		1	1																																																																										0
Death's Hand	47	Death's Disguise	lgl	Leather Gloves	7	12	6	lred	lred						5	2500	2	hp		1	1																																																																										0
Death's Guard	48	Death's Disguise	lbl	Sash	7	12	6	lred	lred						5	2500	2	hp		1	1																																																																										0
Death's Touch	49	Death's Disguise	wsd	War Sword	7	12	6	lred	lred						5	2500	2	hp		1	1																																																																										0
Angelic Sickle	50	Angelical Raiment	sbr	Sabre	7	25	12	lgry	lgry						5	2500	2	hp		1	1																																																																										0
Angelic Mantle	51	Angelical Raiment	rng	Ring Mail	7	25	12	lgry	lgry						5	2500	2	hp		1	1																																																																										0
Angelic Halo	52	Angelical Raiment	rin	Ring	3	25	12	lgry	lgry						5	2500	2	hp		1	1																																																																										0
Angelic Wings	53	Angelical Raiment	amu	Amulet	7	25	12	lgry	lgry						5	2500	2	hp		1	1																																																																										0
Arctic Horn	54	Arctic Gear	swb	Short War Bow	7	4	2	lgld	lgld						5	2500	2	hp		1	1																																																																										0
Arctic Furs	55	Arctic Gear	qui	Quilted Armor	7	4	2	lgld	lgld						5	2500	2	hp		1	1																																																																										0
Arctic Binding	56	Arctic Gear	vbl	Light Belt	7	4	2	lgld	lgld						5	2500	2	hp		1	1																																																																										0
Arctic Mitts	57	Arctic Gear	tgl	Light Gauntlets	7	4	2	lgld	lgld						5	2500	2	hp		1	1																																																																										0
Arcanna's Sign	58	Arcanna's Tricks	amu	Amulet	1	30	15	blac	blac						5	2500	2	hp		1	1																																																																										0
Arcanna's Deathwand	59	Arcanna's Tricks	wst	War Staff	7	30	15	blac	blac						5	2500	2	hp		1	1																																																																										0
Arcanna's Head	60	Arcanna's Tricks	skp	Skull Cap	7	30	15	blac	blac						5	2500	2	hp		1	1																																																																										0
Arcanna's Flesh	61	Arcanna's Tricks	ltp	Light Plate	7	30	15	blac	blac						5	2500	2	hp		1	1																																																																										0
Expansion																		hp		1	1																																																																										0
Natalya's Totem	62	Natalya's Odium	xh9	Grim Helm	7	33	59	dgry	dgry						5	5000		hp		1	1																																																																										0
Natalya's Mark	63	Natalya's Odium	7qr	Scissors Suwayyah	7	33	79	dgry	dgry						5	5000		hp		1	1																																																																										0
Natalya's Shadow	64	Natalya's Odium	ucl	Loricated Mail	7	33	73	dgry	dgry						5	5000		hp		1	1																																																																										0
Natalya's Soul	65	Natalya's Odium	xmb	Mesh Boots	7	33	25	dgry	dgry						5	5000		hp		1	1																																																																										0
Aldur's Stony Gaze	66	Aldur's Watchtower	dr8	Hunter's Guise	7	43	36	oran	oran						5	5000	2	hp		1	1																																																																										0
Aldur's Deception	67	Aldur's Watchtower	uul	Shadow Plate	7	43	76	oran	oran						5	5000	2	hp		1	1																																																																										0
Aldur's Gauntlet	68	Aldur's Watchtower	9mt	Jagged Star	7	43	42	oran	oran						5	5000	2	hp		1	1																																																																										0
Aldur's Advance	69	Aldur's Watchtower	xtb	Battle Boots	7	43	45	oran	oran						5	5000	2	hp		1	1																																																																										0
Immortal King's Will	70	Immortal King	ba5	Avenger Guard	7	55	47	lgry	lgry						5	5000		hp		1	1																																																																										0
Immortal King's Soul Cage	71	Immortal King	uar	Sacred Armor	7	55	76	lgry	lgry						5	5000	2	hp		1	1																																																																										0
Immortal King's Detail	72	Immortal King	zhb	War Belt	7	55	29	lgry	lgry						5	5000	2	hp		1	1																																																																										0
Immortal King's Forge	73	Immortal King	xhg	War Gauntlets	7	55	30	lgry	lgry						5	5000	2	hp		1	1																																																																										0
Immortal King's Pillar	74	Immortal King	xhb	War Boots	7	55	31	lgry	lgry						5	5000	2	hp		1	1																																																																										0
Immortal King's Stone Crusher	75	Immortal King	7m7	Ogre Maul	7	55	76	lgry	lgry						5	5000	2	hp		1	1																																																																										0
Tal Rasha's Fire-Spun Cloth	76	Tal Rasha's Wrappings	zmb	Mesh Belt	7	39	53	dpur	dpur						5	5000	2	hp		1	1																																																																										0
Tal Rasha's Adjudication	77	Tal Rasha's Wrappings	amu	Amulet	1	39	67	dpur	dpur						5	5000	2	hp		1	1																																																																										0
Tal Rasha's Lidless Eye	78	Tal Rasha's Wrappings	oba	Swirling Crystal	7	39	65	dpur	dpur						5	5000	2	hp		1	1																																																																										0
Tal Rasha's Howling Wind	79	Tal Rasha's Wrappings	uth	Lacquered Plate	7	39	71	dpur	dpur						5	5000	2	hp		1	1																																																																										0
Tal Rasha's Horadric Crest	80	Tal Rasha's Wrappings	xsk	Death Mask	7	39	66	dpur	dpur						5	5000		hp		1	1																																																																										0
Griswold's Valor	81	Griswold's Legacy	urn	Corona	7	66	69	dgld	dgld						5	5000	2	hp		1	1																																																																										0
Griswold's Heart	82	Griswold's Legacy	xar	Ornate Plate	7	66	45	dgld	dgld						5	5000		hp		1	1																																																																										0
Griswolds's Redemption	83	Griswold's Legacy	7ws	Caduceus	7	66	53	dgld	dgld						5	5000	2	hp		1	1																																																																										0
Griswold's Honor	84	Griswold's Legacy	paf	Vortex Shield	7	66	68	dgld	dgld						5	5000		hp		1	1																																																																										0
Trang-Oul's Guise	85	Trang-Oul's Avatar	uh9	Bone Visage	7	48	65	dgld	dgld						5	5000		hp		1	1																																																																										0
Trang-Oul's Scales	86	Trang-Oul's Avatar	xul	Chaos Armor	7	48	49	dyel	dyel						5	5000	2	hp		1	1																																																																										0
Trang-Oul's Wing	87	Trang-Oul's Avatar	ne9	Cantor Trophy	7	48	54	dyel	dyel						5	5000	2	hp		1	1																																																																										0
Trang-Oul's Claws	88	Trang-Oul's Avatar	xmg	Heavy Bracers	7	48	45	dyel	dyel						5	5000		hp		1	1																																																																										0
Trang-Oul's Girth	89	Trang-Oul's Avatar	utc	Troll Belt	7	48	47	dyel	dyel						5	5000	2	hp		1	1																																																																										0
M'avina's True Sight	90	M'avina's Battle Hymn	ci3	Diadem	7	31	59	whit	whit						5	5000	2	hp		1	1																																																																										0
M'avina's Embrace	91	M'avina's Battle Hymn	uld	Kraken Shell	7	31	70	whit	whit						5	5000	2	hp		1	1																																																																										0
M'avina's Icy Clutch	92	M'avina's Battle Hymn	xtg	Battle Gauntlets	7	31	32	whit	whit						5	5000	2	hp		1	1																																																																										0
M'avina's Tenet	93	M'avina's Battle Hymn	zvb	Sharkskin Belt	7	31	45	whit	whit						5	5000	2	hp		1	1																																																																										0
M'avina's Caster	94	M'avina's Battle Hymn	amc	Grand Matron Bow	7	31	70	whit	whit						5	5000	2	hp		1	1																																																																										0
Telling of Beads	95	The Disciple	amu	Amulet	1	58	30	lblu	lblu						5	5000		hp		1	1																																																																										0
Laying of Hands	96	The Disciple	ulg	Bramble Mitts	7	58	63	lblu	lblu						5	5000		hp		1	1																																																																										0
Rite of Passage	97	The Disciple	xlb	Demonhide Boots	7	58	29	lblu	lblu						5	5000		hp		1	1																																																																										0
Spiritual Custodian	98	The Disciple	uui	Dusk Shroud	7	58	43	lblu	lblu						5	5000		hp		1	1																																																																										0
Credendum	99	The Disciple	umc	Mithril Coil	7	58	65	lblu	lblu						5	5000		hp		1	1																																																																										0
Dangoon's Teaching	100	Heaven's Brethren	7ma	Reinforced Mace	7	82	68								5	5000		hp		1	1																																																																										0
Heaven's Taebaek	101	Heaven's Brethren	uts	Ward	7	82	81								5	5000		hp		1	1																																																																										0
Haemosu's Adament	102	Heaven's Brethren	xrs	Cuirass	7	82	44								5	5000		hp		1	1																																																																										0
Ondal's Almighty	103	Heaven's Brethren	uhm	Spired Helm	7	82	69								5	5000		hp		1	1																																																																										0
Guillaume's Face	104	Orphan's Call	xhm	Winged Helm	7	61	34	lgry	lgry						5	5000		hp		1	1																																																																										0
Wilhelm's Pride	105	Orphan's Call	ztb	Battle Belt	7	61	42	lgry	lgry						5	5000		hp		1	1																																																																										0
Magnus' Skin	106	Orphan's Call	xvg	Sharkskin Gloves	7	61	37	lgry	lgry						5	5000		hp		1	1																																																																										0
Wihtstan's Guard	107	Orphan's Call	xml	Round Shield	7	61	29	lgry	lgry						5	5000		hp		1	1																																																																										0
Hwanin's Splendor	108	Hwanin's Majesty	xrn	Grand Crown	7	42	45								5	5000		hp		1	1																																																																										0
Hwanin's Refuge	109	Hwanin's Majesty	xcl	Tigulated Mail	7	42	30								5	5000		hp		1	1																																																																										0
Hwanin's Seal	110	Hwanin's Majesty	mbl	Belt	7	42	35								5	5000		hp		1	1																																																																										0
Hwanin's Justice	111	Hwanin's Majesty	9vo	Bill	7	42	28								5	5000		hp		1	1																																																																										0
Sazabi's Cobalt Redeemer	112	Sazabi's Grand Tribute	7ls	Cryptic Sword	7	51	73	dblu	dblu						5	5000		hp		1	1																																																																										0
Sazabi's Ghost Liberator	113	Sazabi's Grand Tribute	upl	Balrog Skin	7	51	67	dblu	dblu						5	5000		hp		1	1																																																																										0
Sazabi's Mental Sheath	114	Sazabi's Grand Tribute	xhl	Basinet	7	51	43	dblu	dblu						5	5000		hp		1	1																																																																										0
Bul-Kathos' Sacred Charge	115	Bul-Kathos' Children	7gd	Colossus Blade	7	75	61	dgrn	dgrn						5	5000		hp		1	1																																																																										0
Bul-Kathos' Tribal Guardian	116	Bul-Kathos' Children	7wd	Mythical Sword	7	75	54	dgrn	dgrn						5	5000		hp		1	1																																																																										0
Cow King's Horns	117	Cow King's Leathers	xap	War Hat	7	30	25								5	5000		hp		1	1																																																																										0
Cow King's Hide	118	Cow King's Leathers	stu	Studded Leather	7	30	18								5	5000		hp		1	1																																																																										0
Cow King's Hoofs	119	Cow King's Leathers	vbt	Heavy Boots	7	30	13								5	5000		hp		1	1																																																																										0
Naj's Puzzler	120	Naj's Ancient Set	6cs	Elder Staff	7	64	78								5	5000		hp		1	1																																																																										0
Naj's Light Plate	121	Naj's Ancient Set	ult	Hellforge Plate	7	64	71								5	5000		hp		1	1																																																																										0
Naj's Circlet	122	Naj's Ancient Set	ci0	Circlet	7	64	28								5	5000		hp		1	1																																																																										0
McAuley's Paragon	123	McAuley's Folly	cap	Cap	3	30	25	lpur	lpur						5	5000		hp		1	1																																																																										0
McAuley's Riprap	124	McAuley's Folly	vbt	Heavy Boots	7	30	20	lpur	lpur						5	5000		hp		1	1																																																																										0
McAuley's Taboo	125	McAuley's Folly	vgl	Heavy Gloves	7	30	28	lpur	lpur						5	5000		hp		1	1																																																																										0
McAuley's Superstition	126	McAuley's Folly	bwn	Bone Wand	7	30	25	lpur	lpur						5	5000		hp		1	1																																																																										0
