name	*order	type	type2	code	alternategfx	namestr	version	compactsave	rarity	spawnable	Transmogrify	TMogType	TMogMin	TMogMax	mindam	maxdam	1or2handed	2handed	2handmindam	2handmaxdam	minmisdam	maxmisdam	rangeadder	speed	StrBonus	DexBonus	reqstr	reqdex	durability	nodurability	level	ShowLevel	levelreq	cost	gamble cost	magic lvl	auto prefix	normcode	ubercode	ultracode	wclass	2handedwclass	component	hit class	invwidth	invheight	stackable	minstack	maxstack	spawnstack	flippyfile	invfile	uniqueinvfile	setinvfile	hasinv	gemsockets	gemapplytype	*comment	useable	dropsound	dropsfxframe	spelldesc	spelldescstr	spelldescstr2	spelldesccalc	spelldesccolor	usesound	unique	transparent	transtbl	*quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HratliMin	HratliMax	HratliMagicMin	HratliMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	AnyaMin	AnyaMax	AnyaMagicMin	AnyaMagicMax	AnyaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem	diablocloneweight
Wand	11	wand		wnd	wnd	wnd	0		1	1	0	xxx			12	24							2	10	100	100	70	70	180		3	1	0	205	3910	1	905	wnd	9wn	7wn	1hs	1hs	5	1hss	1	2					flpwnd	invwnd	invwndu	invwndu	1	1	0	magically charged	0	item_wand	12						item_wand	0	0	5	0	0	0			0	7	0	0	5					255					255	4	6	7	9	1					255					255			1	2	1					255					255					1					255					255					255					20					255					255					255					255	5	8	1	ywn	bwn	1	0	
Yew Wand	12	wand		ywn	ywn	ywn	0		1	1	0	xxx			18	36							2	10	100	100	90	85	180		16	1	0	745	17440	1	905	ywn	9yw	7yw	1hs	1hs	5	1hss	1	2					flpywn	invywn			1	1	0	magically charged	0	item_wand	12						item_wand	0	0	5	0	0	0			0	7	0	0	5					255					255	1	2	1	1	1					255					255	3	5	5	9	1					255					255	2	3	2	3	1					255					255					255					20				1	20					255					255					255	5	8	1	bwn	gwn	1	0	
Bone Wand	13	wand		bwn	bwn	bwn	0		1	1	0	xxx			22	44							2	10	100	100	116	100	180		25	1	0	1296	34828	1	905	bwn	9bw	7bw	1hs	1hs	5	1hss	1	2					flpbwn	invbwn	invbwnu	invbwnu	1	2	0	magically charged	0	item_wand	12						item_wand	0	0	5	0	0	0			0	7	0	0	5					255					255					255					255					255	1	3	1	3	1					255					255	3	5	5	7	1					255					255					255					20	3	4	2	3	20					255					255	3	4	2	3	20	1	2	1	xxx	xxx	1	0	
Grim Wand	14	wand		gwn	bwn	gwn	0		1	1	0	xxx			30	60							2	10	100	100	134	125	180		37	1	0	2098	70048	1	905	gwn	9gw	7gw	1hs	1hs	5	1hss	1	2					flpgwn	invgwn			1	2	0	magically charged	0	item_wand	12						item_wand	0	0	5	0	0	0			0	7	0	0	5					255					255					255					255					255										255					255	1	2		1	1					255					255					255					20	1	3	1	2	20					255					255	1	3	1	2	20	1	2	1	xxx	xxx	1	0	
Club	15	club		clb	clb	clb	0		1	1	0	xxx			12	24							2	10	100	100	70	70	180		1	1	0	32	3032		905	clb	9cl	7cl	1hs	1hs	5	club	1	3					flpclb	invclb	invclbu	invclbu	1	2	0		0	item_staff	12						item_staff	0	0	5	0	0	0			0	7	0	0	1					255	1	1	1	1	20					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	2	1	mac	mst	1	0	
Scepter	16	scep		scp	mac	scp	0		1	1	0	xxx			12	24							2	10	100	100	70	70	180		4	1	0	350	5050		905	scp	9sc	7sc	1hs	1hs	5	club	1	3					flpscp	invscp			1	2	0	magically charged	0	item_sword	12						item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255	2	4	2	4	1					255					255	2	3	3	5	1					255					255		1		1	1					255					255					255					20					255					255					255					20	2	2	1	gsc	wsp	1	0	
Grand Scepter	17	scep		gsc	mac	gsc	0		1	1	0	xxx			18	36							2	10	100	100	116	100	180		20	1	0	1109	26635		905	gsc	9qs	7qs	1hs	1hs	5	club	1	3					flpgsc	invgsc			1	3	0	magically charged	0	item_sword	12						item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255	1	3	1	3	1					255					255	3	5	3	5	1					255					255					255					20	1	2	1	1	20					255					255	2	3	1	2	20	2	2	1	xxx	wsp	1	0	
War Scepter	18	scep		wsp	whm	wsp	0		1	1	0	xxx			22	44							2	10	100	100	134	125	180		29	1	0	2323	61783		905	wsp	9ws	7ws	1hs	1hs	5	club	2	3					flpwsp	invwsp			1	4	0	magically charged	0	item_sword	12						item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255	1	3	1	3	1					255					255					255					20	1	2	1	2	20					255					255	1	2	1	1	20	2	2	1	xxx	xxx	1	0	
Spiked Club	19	club		spc	clb	spc	0		1	1	0	xxx			18	36							2	10	100	100	70	70	180		6	1	0	225	5400		905	spc	9sp	7sp	1hs	1hs	5	1hsl	1	3					flpspc	invspc	invspcu	invspcu	1	2	0		0	item_staff	12						item_staff	0	0	5	0	0	0			0	7	0	0	1		1		1	1	1	1	1	1	20					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	2	2	1	mac	mst	1	0	
Mace	20	mace		mac	mac	mac	0		1	1	0	xxx			12	24							2	10	100	100	90	85	180		10	1	0	463	10204		905	mac	9ma	7ma	1hs	1hs	5	1hsl	1	3					flpmac	invmac			1	2	0		0	item_sword	12						item_sword	0	0	5	0	0	0			0	7	0	0	3		1		1	1	1	1	1	1	20					255		1		1	20					255					255					255					255					255	1	2	1	1	1					255					255					255					255					255					255					255	2	2	1	mst	mau	1	0	
Morning Star	21	mace		mst	mac	mst	0		1	1	0	xxx			18	36							2	10	100	100	90	85	180		13	1	0	844	19972		905	mst	9mt	7mt	1hs	1hs	5	1hsl	1	3					flpmst	invmst	invmstu	invmstu	1	3	0		0	item_sword	12						item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1	1	1	20					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	1	xxx	fla	1	0	
Flail	22	mace		fla	fla	fla	0		1	1	0	xxx			22	44							2	10	100	100	116	100	180		26	1	0	1412	38828		905	fla	9fl	7fl	1hs	1hs	5	1hsl	2	3					flpfla	invfla			1	4	0		0	item_sword	12						item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1	1	1	20					255					255	1	1	1	1	20					255					255					255					255					255			1	1	20					255					255					255					255	2	2	1	xxx	gma	1	0	
War Hammer	23	hamm		whm	whm	whm	0		1	1	0	xxx			18	36							2	0	100	100	90	85	180		8	1	0	2081	67025		905	whm	9wh	7wh	1hs	1hs	5	1hsl	2	3					flpwhm	invwhm			1	4	0		0	item_sword	12						item_sword	0	0	5	0	0	0			178	7	0	0	3					255					255					255					255					255					255	1	1		1	20					255					255					255					255					255	1	1	1	1	20					255					255					255					255	2	2	1	mau	gma	1	0	
Maul	24	hamm		mau	mau	mau	0		1	1	0	xxx						1	70	95			2	10	100	100	134	125	180		29	1	0	1670	48070		905	mau	9m9	7m7	stf	stf	5	2hsl	2	4					flpmau	invmau	invmauu	invmauu	1	4	0		0	item_largemetalweapon	12						item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255	1	1	1	1	20					255					255					255					255	2	2	1	xxx	mau	1	0	
Great Maul	25	hamm		gma	mau	gma	0		1	1	0	xxx						1	100	127			2	10	100	100	147	130	180		46	1	0	3215	121380		905	gma	9gm	7gm	stf	stf	5	2hsl	2	3					flpgma	invgma	invgma	invgma	1	4	0		0	item_largemetalweapon	12						item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255	1	1	1	1	20					255			1	1	20					255					255	2	2	1	xxx	xxx	1	0	
Short Sword	26	swor		ssd	ssd	ssd	0		1	1	0	xxx			12	24							2	10	100	100	70	70	180		1	1	0	72	3072		905	ssd	9ss	7ss	1hs	1hs	5	1hsl	1	3					flpssd	invssd			1	2	0		0	item_sword	12						item_sword	0	0	5	0	0	0			0	7	0	0	3	1	1		1	1	1	1	1	1	20					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	1	2	1	scm	wsd	1	0	
Scimitar	27	swor		scm	scm	scm	0		1	1	0	xxx			18	36							2	10	100	100	70	70	180		7	1	0	274	6370		905	scm	9sm	7sm	1hs	1hs	5	1hsl	1	3					flpscm	invscm	invscmu	invscmu	1	2	0		0	item_sword	12						item_sword	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	1	1	1	1	1	20					255		1		1	20					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	1	2	1	sbr	lsd	1	0	
Saber	28	swor		sbr	scm	sbr	0		1	1	0	xxx			22	44							2	10	100	100	90	85	180		10	1	0	466	10228		905	sbr	9sb	7sb	1hs	1hs	5	1hsl	1	3					flpsbr	invsbr	inv9sbu	inv9sbu	1	2	0		0	item_sword	12						item_sword	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	1					255					255		1		1	20					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255	1	2	1	flc	bsd	1	0	
Falchion	29	swor		flc	flc	flc	0		1	1	0	xxx			30	60							2	10	100	100	90	85	180		14	1	0	683	15513		905	flc	9fc	7fc	1hs	1hs	5	1hsl	1	3					flpflc	invflc	invflcu	invflcu	1	2	0		0	item_sword	12						item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1		1	20					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	1	2	1	bsd	wsd	1	0	
Crystal Sword	30	swor		crs	crs	crs	0		1	1	0	xxx			40	80							2	10	100	100	90	85	180		14	1	0	2127	31397		905	crs	9cr	7cr	1hs	1hs	5	1hsl	2	3					flpcrs	invcrs	invcrsu	invcrsu	1	4	0		0	item_sword	12						item_sword	0	0	5	0	5	0			0	7	0	0	1					255					255					255					255					255				1	1					255					255				1	1					255					255					255					255			1	1	20			1	1	20					255					255	1	8	1	xxx	xxx	1	0	
Broad Sword	31	swor		bsd	bsd	bsd	0		1	1	0	xxx			42	82							2	10	100	100	116	100	180		20	1	0	1029	25435		905	bsd	9bs	7bs	1hs	1hs	5	1hsl	2	3					flpbsd	invbsd	invbsdu	invbsdu	1	4	0		0	item_sword	12						item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1	1	2	20					255					255			1	1	20					255					255					255	1	1	1	1	1	1	1	1	1	1					255					255					255					255					255	1	2	1	lsd	wsd	1	0	
Long Sword 	32	swor		lsd	lsd	lsd	0		1	1	0	xxx			45	85							2	10	100	100	134	120	180		28	1	0	1520	42900		905	lsd	9ls	7ls	1hs	1hs	5	1hsl	2	3					flplsd	invlsd	invlsdu	invlsdu	1	4	0		0	item_sword	12						item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255			1	2	20					255					255	1	1	1	2	20					255					255					255					255					255	1	1	1	2	20					255					255					255					255	1	2	1	wsd	wsd	1	0	
War Sword	33	swor		wsd	flc	wsd	0		1	1	0	xxx			50	90							2	10	100	100	147	130	180		38	1	0	1997	69919		905	wsd	9wd	7wd	1hs	1hs	5	1hsl	1	3					flpwsd	invwsd			1	3	0		0	item_sword	12						item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255	1	2	1	3	20					255	1	1	1	3	20					255			1	2	20	1	2	1	xxx	xxx	1	0	
Two-Handed Sword	34	swor		2hs	clm	2hs	0		1	1	0	xxx			22	44		1	90	101			2	10	100	100	90	85	180		13	1	0	644	13940		905	2hs	92h	72h	1hs	2hs	5	2hss	1	4					flp2hs	inv2hs	inv2hsu	inv2hsu	1	3	0		0	item_largemetalweapon	12						item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	1					255					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	1	2	1	clm	gis	1	0	
Claymore	35	swor		clm	clm	clm	0		1	1	0	xxx			30	60		1	120	125			2	10	100	100	116	100	180		23	1	0	1262	32454		905	clm	9cm	7cm	1hs	2hs	5	2hss	1	4					flpclm	invclm			1	4	0		0	item_largemetalweapon	12						item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1	1	2	20					255					255					255					255					255					255	1	1	1	1	1	1	1	1	1	1					255					255					255					255					255	1	2	1	gis	bsw	1	0	
Giant Sword	36	swor		gis	gsd	gis	0		1	1	0	xxx			40	80		1	101	135			2	10	100	100	134	125	180		29	1	0	1459	43639		905	gis	9gs	7gs	1hs	2hs	5	2hss	1	4					flpgis	invgis	invgisu	invgisu	1	4	0		0	item_largemetalweapon	12						item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255		1	1	2	20					255					255	1	1	1	1	20					255					255					255					255					255					255					255					255					255					255	1	2	1	bsw	flb	1	0	
Bastard Sword	37	swor		bsw	clm	bsw	0		1	1	0	xxx			50	90		1	114	152			2	0	100	100	134	125	180		34	1	0	1971	61804		905	bsw	9b9	7b7	1hs	2hs	5	2hss	1	4					flpbsw	invbsw	invbswu	invbswu	1	4	0		0	item_largemetalweapon	12						item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255		1	1	1	20					255		1	1	1	20					255					255	1	2	1	xxx	xxx	1	0	
Flamberge	38	swor		flb	clm	flb	0		1	1	0	xxx			60	100		1	145	169			2	0	100	100	147	130	180		38	1	0	2400	80800		905	flb	9fb	7fb	1hs	2hs	5	2hss	2	4					flpflb	invflb			1	4	0		0	item_largemetalweapon	12						item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255		1	1	1	20					255					255					255					255					255	1	1	1	2	20					255		1	1	2	20					255					255	1	2	1	xxx	xxx	1	0	
Great Sword	39	swor		gsd	gsd	gsd	0		1	1	0	xxx			70	110		1	160	186			2	0	100	100	147	130	180		47	1	0	3451	132883		905	gsd	9gd	7gd	1hs	2hs	5	2hss	2	4					flpgsd	invgsd	invgsdu	invgsdu	1	4	0		0	item_largemetalweapon	12						item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255	1	1	1	3	20					255		1	1	2	20					255					255	1	2	1	xxx	xxx	1	0	
Dagger	40	knif		dgr	dgr	dgr	0		1	1	0	xxx			12	24							2	0	100	100	70	70	180		4	1	0	60	4180		905	dgr	9dg	7dg	1ht	1ht	5	1ht	1	2					flpdgr	invdgr			1	1	0		0	item_smallmetalweapon	12						item_smallmetalweapon	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	1	1	1	1	1	20					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	1	2	1	kri	bld	1	0	
Dirk	41	knif		dir	dir	dir	0		1	1	0	xxx			18	36							2	0	100	100	90	85	180		11	1	0	532	11788		905	dir	9di	7di	1ht	1ht	5	1ht	1	2					flpdir	invdir			1	1	0		0	item_smallmetalweapon	12						item_smallmetalweapon	0	0	5	0	0	0			0	7	0	0	3		1		1	1					255					255	1	1	1	1	20					255					255					255					255					255	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1					255					255					255					255					255	1	2	1	kri	bld	1	0	
Kriss	42	knif		kri	dir	kri	0		1	1	0	xxx			22	44							2	0	100	100	116	100	180		23	1	0	1227	31859		905	kri	9kr	7kr	1ht	1ht	5	1ht	1	3					flpkrs	invkrs	invkrsu	invkrsu	1	3	0		0	item_smallmetalweapon	12						item_smallmetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1	1	1	20					255					255	1	1		1	20					255					255					255					255					255			1	2	20			1	1	20					255					255			1	1	20	1	2	1	xxx	xxx	1	0	
Blade	43	knif		bld	dgr	bld	0		1	1	0	xxx			30	60							2	0	100	100	134	125	180		32	1	0	1764	54572		905	bld	9bl	7bl	1ht	1ht	5	1ht	1	3					flpbld	invbld			1	2	0		0	item_smallmetalweapon	12						item_smallmetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255			1	2	20	1	1	1	1	20					255					255	1	1	1	1	20	1	2	1	xxx	xxx	1	0	
Throwing Knife	44	tkni		tkf	dgr	tkf	0		1	1	0	xxx			12	24					10	23	2	0	100	100	70	70	180		3	1	0	6	3512		905	tkf	9tk	7tk	1ht	1ht	5	1ht	1	2	1	60	300	300	flptkn	invtkn					0	primarily thrown	0	item_smallmetalweapon	12						item_smallmetalweapon	0	0	5	0	0	0			36	7	4	0	3	1	2			255	1	2			20					255					255					255					255					20					255					255	2	2			1					255					255					255					255					255					255			1	1	20	1	2	1	bkf	bkf	1	0	
Throwing Axe	45	taxe		tax	hax	tax	0		1	1	0	xxx			15	27					21	31	2	10	100	100	90	85	180		8	1	0	11	6077		905	tax	9ta	7ta	1hs	1hs	5	1hsl	1	2	1	24	300	300	flptax	invtax					0	primarily thrown	0	item_smallmetalweapon	12						item_smallmetalweapon	0	0	5	0	0	0			35	7	5	0	3	1	1			255	1	2			20					255	1	1			20					255					255					20					255					255	2	2			1					255					255					255					255					255					255			1	1	20	2	2	1	bal	bal	1	0	
Balanced Knife	46	tkni		bkf	dgr	bkf	0		1	1	0	xxx			18	36					16	29	2	10	100	100	90	85	180		17	1	0	15	9195		905	bkf	9bk	7bk	1ht	1ht	5	1ht	1	2	1	45	300	300	flpbkf	invbkf					0	primarily thrown	0	item_smallmetalweapon	12						item_smallmetalweapon	0	0	5	0	0	0			36	7	4	0	3					255					255					255	1	1	1	1	20					255					255					20					255					255					255	1	2			1	2	3			1	1	2	1	2	20					255					255					255			1	1	20	1	2	1	xxx	xxx	1	0	
Balanced Axe	47	taxe		bal	hax	bal	0		1	1	0	xxx			30	60					31	39	2	10	100	100	116	100	180		22	1	0	35	11060		905	bal	9b8	7b8	1hs	1hs	5	1hsl	2	3	1	24	300	300	flpbal	invbal					0	primarily thrown	0	item_sword	12						item_sword	0	0	5	0	0	0			35	7	5	0	3					255					255					255	1	1	1	1	20					255					255					20					255					255					255	1	2			1	2	3			1	1	2	1	2	20					255					255					255	1	1	1	1	20	2	2	1	xxx	xxx	1	0	
Javelin	48	jave		jav	jav	jav	0		1	1	0	xxx			12	24					12	32	2	10	100	100	70	70	180		1	1	0	5	3005		905	jav	9ja	7ja	1ht	1ht	5	1ht	1	3	1	45	300	300	flpjav	invjav			1	2	0	primarily thrown	0	item_javelins	12						item_javelins	0	0	5	0	0	0			1	7	2	0	3	2	3			255	1	2			20					255					255					255					255					20					255					255	1	2			1	1	1			255					255					255	1	1			255					255			1	1	20	1	1	1	1	20	5	8	1	glv	glv	1	0	
Pilum	49	jave		pil	pil	pil	0		1	1	0	xxx			18	36					18	52	2	10	100	100	90	85	180		13	1	0	18	7680		905	pil	9pi	7pi	1ht	1ht	5	1ht	1	3	1	40	300	300	flppil	invpil			1	2	0	primarily thrown	0	item_javelins	12						item_javelins	0	0	5	0	0	0			371	7	2	0	3					255	1	1			20					255	1	1			20					255					255					20					255					255	1	2			1	1	1			255	1	1			255	1	1	1	2	20	1	1			255					255			1	1	20	1	1	1	1	20	5	8	1	tsp	tsp	1	0	
